[2339, 1653]
[folio, [1007.0, 147.0, 474.0, 36.0], shoonya_7sUNGRZ9EDP1CF, 5685621]
[folio, [1007.0, 183.0, 474.0, 36.0], shoonya_7sUNGRZ9EDP1CF, 5685621]
[section-title, [323.0, 244.0, 230.0, 52.5], shoonya_5sW3O43FJYC4V1, 5685621]
[paragraph, [361.0, 311.0, 1137.0, 36.0], shoonya_0sH1GF3M48RVV0, 5685621]
[paragraph, [361.0, 347.0, 1137.0, 36.0], shoonya_0sH1GF3M48RVV0, 5685621]
[paragraph, [361.0, 383.0, 1137.0, 36.0], shoonya_0sH1GF3M48RVV0, 5685621]
[paragraph, [361.0, 419.0, 1137.0, 36.0], shoonya_0sH1GF3M48RVV0, 5685621]
[paragraph, [361.0, 455.0, 1137.0, 36.0], shoonya_0sH1GF3M48RVV0, 5685621]
[paragraph, [361.0, 491.0, 1137.0, 36.0], shoonya_0sH1GF3M48RVV0, 5685621]
[paragraph, [361.0, 527.0, 1137.0, 36.0], shoonya_0sH1GF3M48RVV0, 5685621]
[paragraph, [361.0, 563.0, 1137.0, 36.0], shoonya_0sH1GF3M48RVV0, 5685621]
[paragraph, [361.0, 599.0, 1137.0, 36.0], shoonya_0sH1GF3M48RVV0, 5685621]
[paragraph, [361.0, 635.0, 1137.0, 36.0], shoonya_0sH1GF3M48RVV0, 5685621]
[paragraph, [361.0, 671.0, 1137.0, 36.0], shoonya_0sH1GF3M48RVV0, 5685621]
[paragraph, [361.0, 707.0, 1137.0, 36.0], shoonya_0sH1GF3M48RVV0, 5685621]
[paragraph, [361.0, 743.0, 1137.0, 36.0], shoonya_0sH1GF3M48RVV0, 5685621]
[paragraph, [359.0, 887.0, 1139.0, 36.0], shoonya_6sMNHXI6DAR356, 5685621]
[paragraph, [359.0, 923.0, 1139.0, 36.0], shoonya_6sMNHXI6DAR356, 5685621]
[paragraph, [359.0, 959.0, 1139.0, 36.0], shoonya_6sMNHXI6DAR356, 5685621]
[paragraph, [359.0, 995.0, 1139.0, 36.0], shoonya_6sMNHXI6DAR356, 5685621]
[paragraph, [359.0, 1031.0, 1139.0, 36.0], shoonya_6sMNHXI6DAR356, 5685621]
[paragraph, [359.0, 1067.0, 1139.0, 36.0], shoonya_6sMNHXI6DAR356, 5685621]
[paragraph, [359.0, 1103.0, 1139.0, 36.0], shoonya_6sMNHXI6DAR356, 5685621]
[paragraph, [359.0, 1139.0, 1139.0, 36.0], shoonya_6sMNHXI6DAR356, 5685621]
[paragraph, [359.0, 1175.0, 1139.0, 36.0], shoonya_6sMNHXI6DAR356, 5685621]
[paragraph, [359.0, 1211.0, 1139.0, 36.0], shoonya_6sMNHXI6DAR356, 5685621]
[paragraph, [359.0, 1247.0, 1139.0, 36.0], shoonya_6sMNHXI6DAR356, 5685621]
[paragraph, [352.0, 1301.0, 1142.0, 36.0], shoonya_2s5KBG16TJ6RVX, 5685621]
[paragraph, [352.0, 1337.0, 1142.0, 36.0], shoonya_2s5KBG16TJ6RVX, 5685621]
[paragraph, [352.0, 1373.0, 1142.0, 36.0], shoonya_2s5KBG16TJ6RVX, 5685621]
[paragraph, [352.0, 1409.0, 1142.0, 36.0], shoonya_2s5KBG16TJ6RVX, 5685621]
[paragraph, [352.0, 1445.0, 1142.0, 36.0], shoonya_2s5KBG16TJ6RVX, 5685621]
[paragraph, [352.0, 1481.0, 1142.0, 36.0], shoonya_2s5KBG16TJ6RVX, 5685621]
[paragraph, [352.0, 1517.0, 1142.0, 36.0], shoonya_2s5KBG16TJ6RVX, 5685621]
[paragraph, [352.0, 1553.0, 1142.0, 36.0], shoonya_2s5KBG16TJ6RVX, 5685621]
[paragraph, [352.0, 1589.0, 1142.0, 36.0], shoonya_2s5KBG16TJ6RVX, 5685621]
[paragraph, [360.0, 1660.0, 1132.0, 36.0], shoonya_3sQAHXNW7SD47T, 5685621]
[paragraph, [360.0, 1696.0, 1132.0, 36.0], shoonya_3sQAHXNW7SD47T, 5685621]
[paragraph, [360.0, 1732.0, 1132.0, 36.0], shoonya_3sQAHXNW7SD47T, 5685621]
[paragraph, [360.0, 1768.0, 1132.0, 36.0], shoonya_3sQAHXNW7SD47T, 5685621]
[paragraph, [360.0, 1804.0, 1132.0, 36.0], shoonya_3sQAHXNW7SD47T, 5685621]
[section-title, [317.0, 1870.0, 244.0, 52.5], shoonya_4sH6EPZ7OXNMEQ, 5685621]
[paragraph, [361.0, 1940.0, 1124.0, 36.0], shoonya_8sFAEI8TM6V7PS, 5685621]
[paragraph, [361.0, 1976.0, 1124.0, 36.0], shoonya_8sFAEI8TM6V7PS, 5685621]
[paragraph, [361.0, 2012.0, 1124.0, 36.0], shoonya_8sFAEI8TM6V7PS, 5685621]
