[2339, 1653]
[folio, [1014.0, 160.0, 465.0, 36.0], shoonya_0sU1GY3SCJXY91, 5685419]
[ordered-list, [310.0, 245.0, 1204.0, 36.0], shoonya_2sDFRSO6QTVGTL, 5685419]
[ordered-list, [310.0, 281.0, 1204.0, 36.0], shoonya_2sDFRSO6QTVGTL, 5685419]
[ordered-list, [310.0, 317.0, 1204.0, 36.0], shoonya_2sDFRSO6QTVGTL, 5685419]
[ordered-list, [310.0, 353.0, 1204.0, 36.0], shoonya_2sDFRSO6QTVGTL, 5685419]
[ordered-list, [310.0, 389.0, 1204.0, 36.0], shoonya_2sDFRSO6QTVGTL, 5685419]
[ordered-list, [310.0, 425.0, 1204.0, 36.0], shoonya_2sDFRSO6QTVGTL, 5685419]
[ordered-list, [310.0, 461.0, 1204.0, 36.0], shoonya_2sDFRSO6QTVGTL, 5685419]
[paragraph, [308.0, 525.0, 1207.0, 36.0], shoonya_3s1HGB1QQRS5UK, 5685419]
[paragraph, [308.0, 561.0, 1207.0, 36.0], shoonya_3s1HGB1QQRS5UK, 5685419]
[paragraph, [308.0, 597.0, 1207.0, 36.0], shoonya_3s1HGB1QQRS5UK, 5685419]
[paragraph, [308.0, 633.0, 1207.0, 36.0], shoonya_3s1HGB1QQRS5UK, 5685419]
[paragraph, [308.0, 669.0, 1207.0, 36.0], shoonya_3s1HGB1QQRS5UK, 5685419]
[ordered-list, [311.0, 741.0, 1204.0, 36.0], shoonya_4sGS9B15DK3ZV2, 5685419]
[ordered-list, [311.0, 777.0, 1204.0, 36.0], shoonya_4sGS9B15DK3ZV2, 5685419]
[ordered-list, [311.0, 813.0, 1204.0, 36.0], shoonya_4sGS9B15DK3ZV2, 5685419]
[ordered-list, [311.0, 849.0, 1204.0, 36.0], shoonya_4sGS9B15DK3ZV2, 5685419]
[ordered-list, [311.0, 885.0, 1204.0, 36.0], shoonya_4sGS9B15DK3ZV2, 5685419]
[ordered-list, [311.0, 921.0, 1204.0, 36.0], shoonya_4sGS9B15DK3ZV2, 5685419]
[ordered-list, [311.0, 957.0, 1204.0, 36.0], shoonya_4sGS9B15DK3ZV2, 5685419]
[ordered-list, [311.0, 993.0, 1204.0, 36.0], shoonya_4sGS9B15DK3ZV2, 5685419]
[ordered-list, [311.0, 1029.0, 1204.0, 36.0], shoonya_4sGS9B15DK3ZV2, 5685419]
[ordered-list, [311.0, 1065.0, 1204.0, 36.0], shoonya_4sGS9B15DK3ZV2, 5685419]
[ordered-list, [311.0, 1101.0, 1204.0, 36.0], shoonya_4sGS9B15DK3ZV2, 5685419]
[ordered-list, [311.0, 1137.0, 1204.0, 36.0], shoonya_4sGS9B15DK3ZV2, 5685419]
[ordered-list, [311.0, 1173.0, 1204.0, 36.0], shoonya_4sGS9B15DK3ZV2, 5685419]
[ordered-list, [311.0, 1209.0, 1204.0, 36.0], shoonya_4sGS9B15DK3ZV2, 5685419]
[ordered-list, [311.0, 1245.0, 1204.0, 36.0], shoonya_4sGS9B15DK3ZV2, 5685419]
[ordered-list, [311.0, 1281.0, 1204.0, 36.0], shoonya_4sGS9B15DK3ZV2, 5685419]
