[1719, 1719]
[paragraph, [578.0, 70.0, 701.0, 36.0], Dos3bOTABG, 5780142]
[paragraph, [578.0, 106.0, 701.0, 36.0], Dos3bOTABG, 5780142]
[paragraph, [578.0, 142.0, 701.0, 36.0], Dos3bOTABG, 5780142]
[paragraph, [578.0, 178.0, 701.0, 36.0], Dos3bOTABG, 5780142]
[paragraph, [578.0, 214.0, 701.0, 36.0], Dos3bOTABG, 5780142]
[paragraph, [578.0, 250.0, 701.0, 36.0], Dos3bOTABG, 5780142]
[figure-caption, [1376.0, 210.0, 329.0, 36.0], MVGNwErehq, 5780142]
[figure-caption, [1376.0, 246.0, 329.0, 36.0], MVGNwErehq, 5780142]
[figure-caption, [1376.0, 282.0, 329.0, 36.0], MVGNwErehq, 5780142]
[figure-caption, [1376.0, 318.0, 329.0, 36.0], MVGNwErehq, 5780142]
[figure-caption, [1376.0, 354.0, 329.0, 36.0], MVGNwErehq, 5780142]
[unordered-list, [573.0, 287.0, 712.0, 36.0], shoonya_0sLWVQC8JIQP26, 5780142]
[unordered-list, [573.0, 323.0, 712.0, 36.0], shoonya_0sLWVQC8JIQP26, 5780142]
[unordered-list, [573.0, 359.0, 712.0, 36.0], shoonya_0sLWVQC8JIQP26, 5780142]
[unordered-list, [573.0, 395.0, 712.0, 36.0], shoonya_0sLWVQC8JIQP26, 5780142]
[unordered-list, [573.0, 431.0, 712.0, 36.0], shoonya_0sLWVQC8JIQP26, 5780142]
[unordered-list, [573.0, 467.0, 712.0, 36.0], shoonya_0sLWVQC8JIQP26, 5780142]
[figure-caption, [1118.0, 1323.0, 370.0, 36.0], S1OsX7otON, 5780142]
[figure-caption, [1118.0, 1359.0, 370.0, 36.0], S1OsX7otON, 5780142]
[figure-caption, [1118.0, 1395.0, 370.0, 36.0], S1OsX7otON, 5780142]
[figure-caption, [1118.0, 1431.0, 370.0, 36.0], S1OsX7otON, 5780142]
[figure-caption, [1118.0, 1467.0, 370.0, 36.0], S1OsX7otON, 5780142]
[figure-caption, [1118.0, 1503.0, 370.0, 36.0], S1OsX7otON, 5780142]
[figure-caption, [1118.0, 1539.0, 370.0, 36.0], S1OsX7otON, 5780142]
[figure-caption, [1118.0, 1575.0, 370.0, 36.0], S1OsX7otON, 5780142]
[figure-caption, [1118.0, 1611.0, 370.0, 36.0], S1OsX7otON, 5780142]
[figure-caption, [1118.0, 1647.0, 370.0, 36.0], S1OsX7otON, 5780142]
