[596, 840]
[section-title, [451.0, 47.0, 96.0, 30.0], shoonya_11sKXRWS9RAZWU, 5779486]
[section-title, [43.0, 52.0, 96.0, 30.0], shoonya_5sLHXPD4EVCXRN, 5779486]
[figure-caption, [561.0, 134.0, 48.0, 18.0], oVYY6G6--L, 5779486]
[figure-caption, [63.0, 161.0, 32.0, 18.0], shoonya_13sBFJIL38D7XA, 5779486]
[figure-caption, [645.0, 186.0, 44.0, 18.0], cSNU5iy_2O, 5779486]
[figure-caption, [66.0, 200.0, 36.0, 18.0], AsxOPEZX3h, 5779486]
[paragraph, [457.0, 284.0, 154.0, 18.0], shoonya_0s3VF00WQ2GFIN, 5779486]
[paragraph, [457.0, 302.0, 154.0, 18.0], shoonya_0s3VF00WQ2GFIN, 5779486]
[paragraph, [457.0, 320.0, 154.0, 18.0], shoonya_0s3VF00WQ2GFIN, 5779486]
[paragraph, [457.0, 338.0, 154.0, 18.0], shoonya_0s3VF00WQ2GFIN, 5779486]
[paragraph, [457.0, 356.0, 154.0, 18.0], shoonya_0s3VF00WQ2GFIN, 5779486]
[paragraph, [457.0, 374.0, 154.0, 18.0], shoonya_0s3VF00WQ2GFIN, 5779486]
[section-title, [462.0, 404.0, 134.0, 30.0], shoonya_8sL4UQYPOXHTXX, 5779486]
[unordered-list, [458.0, 439.0, 155.0, 18.0], shoonya_1sWNBBKADNFZRN, 5779486]
[unordered-list, [458.0, 457.0, 155.0, 18.0], shoonya_1sWNBBKADNFZRN, 5779486]
[unordered-list, [458.0, 475.0, 155.0, 18.0], shoonya_1sWNBBKADNFZRN, 5779486]
[unordered-list, [458.0, 493.0, 155.0, 18.0], shoonya_1sWNBBKADNFZRN, 5779486]
[unordered-list, [458.0, 511.0, 155.0, 18.0], shoonya_1sWNBBKADNFZRN, 5779486]
[unordered-list, [458.0, 529.0, 155.0, 18.0], shoonya_1sWNBBKADNFZRN, 5779486]
[unordered-list, [632.0, 440.0, 164.0, 18.0], shoonya_4sF8L956HQ23V6, 5779486]
[unordered-list, [632.0, 458.0, 164.0, 18.0], shoonya_4sF8L956HQ23V6, 5779486]
[unordered-list, [632.0, 476.0, 164.0, 18.0], shoonya_4sF8L956HQ23V6, 5779486]
[unordered-list, [632.0, 494.0, 164.0, 18.0], shoonya_4sF8L956HQ23V6, 5779486]
[unordered-list, [632.0, 512.0, 164.0, 18.0], shoonya_4sF8L956HQ23V6, 5779486]
