[851, 1134]
[folio, [44.0, 41.0, 292.0, 18.0], shoonya_0s4UC2KPIC1R7R, 5779410]
[folio, [44.0, 59.0, 292.0, 18.0], shoonya_0s4UC2KPIC1R7R, 5779410]
[figure-caption, [613.0, 310.0, 479.0, 18.0], TuqijuJYU0, 5779410]
[figure-caption, [613.0, 328.0, 479.0, 18.0], TuqijuJYU0, 5779410]
[figure-caption, [41.0, 312.0, 480.0, 18.0], a31ZDSRX77, 5779410]
[figure-caption, [41.0, 330.0, 480.0, 18.0], a31ZDSRX77, 5779410]
[figure-caption, [38.0, 500.0, 246.0, 18.0], bPhulTTPAb, 5779410]
[figure-caption, [38.0, 518.0, 246.0, 18.0], bPhulTTPAb, 5779410]
[figure-caption, [38.0, 536.0, 246.0, 18.0], bPhulTTPAb, 5779410]
[figure-caption, [38.0, 554.0, 246.0, 18.0], bPhulTTPAb, 5779410]
[figure-caption, [294.0, 500.0, 221.0, 18.0], 5YfB-sfn2Y, 5779410]
[figure-caption, [294.0, 518.0, 221.0, 18.0], 5YfB-sfn2Y, 5779410]
[figure-caption, [294.0, 536.0, 221.0, 18.0], 5YfB-sfn2Y, 5779410]
[figure-caption, [294.0, 554.0, 221.0, 18.0], 5YfB-sfn2Y, 5779410]
[figure-caption, [853.0, 503.0, 238.0, 18.0], o05Xcz6s_L, 5779410]
[figure-caption, [853.0, 521.0, 238.0, 18.0], o05Xcz6s_L, 5779410]
[figure-caption, [853.0, 539.0, 238.0, 18.0], o05Xcz6s_L, 5779410]
[figure-caption, [853.0, 557.0, 238.0, 18.0], o05Xcz6s_L, 5779410]
[figure-caption, [610.0, 506.0, 236.0, 18.0], sszbeqSUOW, 5779410]
[figure-caption, [610.0, 524.0, 236.0, 18.0], sszbeqSUOW, 5779410]
[figure-caption, [610.0, 542.0, 236.0, 18.0], sszbeqSUOW, 5779410]
[figure-caption, [844.0, 721.0, 249.0, 18.0], qChcCzsQiD, 5779410]
[figure-caption, [844.0, 739.0, 249.0, 18.0], qChcCzsQiD, 5779410]
[figure-caption, [844.0, 757.0, 249.0, 18.0], qChcCzsQiD, 5779410]
[figure-caption, [844.0, 775.0, 249.0, 18.0], qChcCzsQiD, 5779410]
[figure-caption, [45.0, 726.0, 233.0, 18.0], i4k1jHJ9bL, 5779410]
[figure-caption, [45.0, 744.0, 233.0, 18.0], i4k1jHJ9bL, 5779410]
[figure-caption, [45.0, 762.0, 233.0, 18.0], i4k1jHJ9bL, 5779410]
[figure-caption, [45.0, 780.0, 233.0, 18.0], i4k1jHJ9bL, 5779410]
[figure-caption, [287.0, 730.0, 232.0, 18.0], f8mpaxxd73, 5779410]
[figure-caption, [287.0, 748.0, 232.0, 18.0], f8mpaxxd73, 5779410]
[figure-caption, [287.0, 766.0, 232.0, 18.0], f8mpaxxd73, 5779410]
[figure-caption, [287.0, 784.0, 232.0, 18.0], f8mpaxxd73, 5779410]
[figure-caption, [610.0, 731.0, 238.0, 18.0], yxXrtfVJtA, 5779410]
[figure-caption, [610.0, 749.0, 238.0, 18.0], yxXrtfVJtA, 5779410]
[figure-caption, [610.0, 767.0, 238.0, 18.0], yxXrtfVJtA, 5779410]
[figure-caption, [610.0, 785.0, 238.0, 18.0], yxXrtfVJtA, 5779410]
