[1755, 1241]
[folio, [128.0, 175.0, 451.0, 36.0], n_T42fn_B_, 5705150]
[headline, [244.0, 277.0, 782.0, 37.5], shoonya_1sDDJXVWC3QA8J, 5705150]
[headline, [244.0, 314.5, 782.0, 37.5], shoonya_1sDDJXVWC3QA8J, 5705150]
[paragraph, [389.0, 383.0, 466.0, 36.0], eZMNPIt9Z0, 5705150]
[paragraph, [389.0, 419.0, 466.0, 36.0], eZMNPIt9Z0, 5705150]
[paragraph, [389.0, 455.0, 466.0, 36.0], eZMNPIt9Z0, 5705150]
[contact-info, [660.0, 543.0, 324.0, 36.0], KjXGW1Mf6s, 5705150]
[contact-info, [660.0, 579.0, 324.0, 36.0], KjXGW1Mf6s, 5705150]
[contact-info, [660.0, 615.0, 324.0, 36.0], KjXGW1Mf6s, 5705150]
[contact-info, [660.0, 651.0, 324.0, 36.0], KjXGW1Mf6s, 5705150]
[contact-info, [660.0, 687.0, 324.0, 36.0], KjXGW1Mf6s, 5705150]
[contact-info, [259.0, 546.0, 333.0, 36.0], kAIbklM38e, 5705150]
[contact-info, [259.0, 582.0, 333.0, 36.0], kAIbklM38e, 5705150]
[contact-info, [259.0, 618.0, 333.0, 36.0], kAIbklM38e, 5705150]
[contact-info, [259.0, 654.0, 333.0, 36.0], kAIbklM38e, 5705150]
[contact-info, [266.0, 797.0, 701.0, 36.0], _HMhteJLWN, 5705150]
[contact-info, [266.0, 833.0, 701.0, 36.0], _HMhteJLWN, 5705150]
[contact-info, [266.0, 869.0, 701.0, 36.0], _HMhteJLWN, 5705150]
[contact-info, [266.0, 905.0, 701.0, 36.0], _HMhteJLWN, 5705150]
[contact-info, [266.0, 941.0, 701.0, 36.0], _HMhteJLWN, 5705150]
[contact-info, [266.0, 977.0, 701.0, 36.0], _HMhteJLWN, 5705150]
[contact-info, [266.0, 1013.0, 701.0, 36.0], _HMhteJLWN, 5705150]
[contact-info, [266.0, 1049.0, 701.0, 36.0], _HMhteJLWN, 5705150]
[contact-info, [266.0, 1085.0, 701.0, 36.0], _HMhteJLWN, 5705150]
[contact-info, [266.0, 1121.0, 701.0, 36.0], _HMhteJLWN, 5705150]
[contact-info, [282.0, 1202.0, 691.0, 36.0], dhdezEnors, 5705150]
[contact-info, [282.0, 1238.0, 691.0, 36.0], dhdezEnors, 5705150]
[contact-info, [282.0, 1274.0, 691.0, 36.0], dhdezEnors, 5705150]
[contact-info, [282.0, 1310.0, 691.0, 36.0], dhdezEnors, 5705150]
[contact-info, [282.0, 1346.0, 691.0, 36.0], dhdezEnors, 5705150]
[website-link, [145.0, 1550.0, 295.0, 18.0], shoonya_0s34185MAKJUFQ, 5705150]
