[1755, 1241]
[folio, [144.0, 169.0, 436.0, 36.0], BtqDLG3nXQ, 5705044]
[section-title, [251.0, 376.0, 732.0, 49.5], dNOja-8NPS, 5705044]
[section-title, [251.0, 425.5, 732.0, 49.5], dNOja-8NPS, 5705044]
[contact-info, [232.0, 525.0, 786.0, 36.0], wpakmCDlE5, 5705044]
[contact-info, [232.0, 561.0, 786.0, 36.0], wpakmCDlE5, 5705044]
[contact-info, [232.0, 597.0, 786.0, 36.0], wpakmCDlE5, 5705044]
[contact-info, [232.0, 633.0, 786.0, 36.0], wpakmCDlE5, 5705044]
[folio, [353.0, 716.0, 534.0, 36.0], YblFs2mcht, 5705044]
[folio, [353.0, 752.0, 534.0, 36.0], YblFs2mcht, 5705044]
[folio, [353.0, 788.0, 534.0, 36.0], YblFs2mcht, 5705044]
[folio, [353.0, 824.0, 534.0, 36.0], YblFs2mcht, 5705044]
[folio, [353.0, 860.0, 534.0, 36.0], YblFs2mcht, 5705044]
[folio, [353.0, 896.0, 534.0, 36.0], YblFs2mcht, 5705044]
[contact-info, [342.0, 939.0, 602.0, 36.0], LLmZwIAWfM, 5705044]
[contact-info, [342.0, 975.0, 602.0, 36.0], LLmZwIAWfM, 5705044]
[contact-info, [342.0, 1011.0, 602.0, 36.0], LLmZwIAWfM, 5705044]
[paragraph, [160.0, 1111.0, 914.0, 36.0], M2xF9mbIlB, 5705044]
[paragraph, [160.0, 1147.0, 914.0, 36.0], M2xF9mbIlB, 5705044]
[paragraph, [160.0, 1183.0, 914.0, 36.0], M2xF9mbIlB, 5705044]
[paragraph, [160.0, 1219.0, 914.0, 36.0], M2xF9mbIlB, 5705044]
[paragraph, [160.0, 1255.0, 914.0, 36.0], M2xF9mbIlB, 5705044]
[paragraph, [160.0, 1291.0, 914.0, 36.0], M2xF9mbIlB, 5705044]
[contact-info, [299.0, 1336.0, 710.0, 36.0], oBe7HGMH6e, 5705044]
[contact-info, [299.0, 1372.0, 710.0, 36.0], oBe7HGMH6e, 5705044]
[contact-info, [299.0, 1408.0, 710.0, 36.0], oBe7HGMH6e, 5705044]
[contact-info, [299.0, 1444.0, 710.0, 36.0], oBe7HGMH6e, 5705044]
[contact-info, [121.0, 1548.0, 339.0, 36.0], bpYULLAMIc, 5705044]
[website-link, [171.0, 1550.0, 269.0, 18.0], shoonya_1sY3MSMKLQWF9B, 5705044]
