[1755, 1241]
[folio, [130.0, 166.0, 450.0, 36.0], akgZ1gCYmD, 5705242]
[contact-info, [549.0, 291.0, 456.0, 36.0], h3s72aZkwe, 5705242]
[contact-info, [549.0, 327.0, 456.0, 36.0], h3s72aZkwe, 5705242]
[contact-info, [549.0, 363.0, 456.0, 36.0], h3s72aZkwe, 5705242]
[contact-info, [549.0, 399.0, 456.0, 36.0], h3s72aZkwe, 5705242]
[contact-info, [549.0, 435.0, 456.0, 36.0], h3s72aZkwe, 5705242]
[contact-info, [549.0, 471.0, 456.0, 36.0], h3s72aZkwe, 5705242]
[contact-info, [764.0, 542.0, 262.0, 36.0], C8PXs5U9Wr, 5705242]
[contact-info, [764.0, 578.0, 262.0, 36.0], C8PXs5U9Wr, 5705242]
[contact-info, [764.0, 614.0, 262.0, 36.0], C8PXs5U9Wr, 5705242]
[contact-info, [764.0, 650.0, 262.0, 36.0], C8PXs5U9Wr, 5705242]
[contact-info, [764.0, 686.0, 262.0, 36.0], C8PXs5U9Wr, 5705242]
[contact-info, [200.0, 545.0, 274.0, 36.0], tVLq3xMDN8, 5705242]
[contact-info, [200.0, 581.0, 274.0, 36.0], tVLq3xMDN8, 5705242]
[contact-info, [200.0, 617.0, 274.0, 36.0], tVLq3xMDN8, 5705242]
[contact-info, [200.0, 653.0, 274.0, 36.0], tVLq3xMDN8, 5705242]
[contact-info, [200.0, 689.0, 274.0, 36.0], tVLq3xMDN8, 5705242]
[contact-info, [200.0, 725.0, 274.0, 36.0], tVLq3xMDN8, 5705242]
[contact-info, [483.0, 547.0, 274.0, 36.0], GG0JXgEVYe, 5705242]
[contact-info, [483.0, 583.0, 274.0, 36.0], GG0JXgEVYe, 5705242]
[contact-info, [483.0, 619.0, 274.0, 36.0], GG0JXgEVYe, 5705242]
[contact-info, [483.0, 655.0, 274.0, 36.0], GG0JXgEVYe, 5705242]
[contact-info, [483.0, 691.0, 274.0, 36.0], GG0JXgEVYe, 5705242]
[contact-info, [483.0, 727.0, 274.0, 36.0], GG0JXgEVYe, 5705242]
[paragraph, [266.0, 762.0, 709.0, 36.0], 6-vFrGhQ0h, 5705242]
[contact-info, [574.0, 890.0, 437.0, 36.0], 2jEfYSgqlj, 5705242]
[contact-info, [574.0, 926.0, 437.0, 36.0], 2jEfYSgqlj, 5705242]
[contact-info, [414.0, 966.0, 613.0, 36.0], dYUk-QEIRI, 5705242]
[contact-info, [414.0, 1002.0, 613.0, 36.0], dYUk-QEIRI, 5705242]
[contact-info, [414.0, 1038.0, 613.0, 36.0], dYUk-QEIRI, 5705242]
[contact-info, [414.0, 1074.0, 613.0, 36.0], dYUk-QEIRI, 5705242]
[contact-info, [414.0, 1110.0, 613.0, 36.0], dYUk-QEIRI, 5705242]
[contact-info, [232.0, 1198.0, 519.0, 36.0], uOn7PIgV2l, 5705242]
[contact-info, [232.0, 1234.0, 519.0, 36.0], uOn7PIgV2l, 5705242]
[contact-info, [232.0, 1270.0, 519.0, 36.0], uOn7PIgV2l, 5705242]
[contact-info, [232.0, 1306.0, 519.0, 36.0], uOn7PIgV2l, 5705242]
[contact-info, [232.0, 1342.0, 519.0, 36.0], uOn7PIgV2l, 5705242]
[contact-info, [759.0, 1213.0, 252.0, 36.0], 6yFKixwdTa, 5705242]
[contact-info, [759.0, 1249.0, 252.0, 36.0], 6yFKixwdTa, 5705242]
[contact-info, [759.0, 1285.0, 252.0, 36.0], 6yFKixwdTa, 5705242]
[contact-info, [759.0, 1321.0, 252.0, 36.0], 6yFKixwdTa, 5705242]
[contact-info, [759.0, 1357.0, 252.0, 36.0], 6yFKixwdTa, 5705242]
[website-link, [138.0, 1547.0, 323.0, 18.0], 9EPOSZMvyq, 5705242]
