[2250, 1470]
[ordered-list, [132.0, 167.0, 1251.0, 36.0], fseFT2lK4z, 5656487]
[ordered-list, [132.0, 203.0, 1251.0, 36.0], fseFT2lK4z, 5656487]
[ordered-list, [69.0, 264.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 300.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 336.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 372.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 408.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 444.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 480.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 516.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 552.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 588.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 624.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 660.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 696.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 732.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 768.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 804.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 840.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 876.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 912.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 948.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 984.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1020.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1056.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1092.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1128.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1164.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1200.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1236.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1272.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1308.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1344.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1380.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1416.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1452.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1488.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1524.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1560.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1596.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1632.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[ordered-list, [69.0, 1668.0, 1332.0, 36.0], euP-2R9o6C, 5656487]
[paragraph, [145.0, 337.0, 1236.0, 36.0], shoonya_0sUCZA5UEEL9KA, 5656487]
[paragraph, [145.0, 373.0, 1236.0, 36.0], shoonya_0sUCZA5UEEL9KA, 5656487]
[paragraph, [145.0, 409.0, 1236.0, 36.0], shoonya_0sUCZA5UEEL9KA, 5656487]
[paragraph, [145.0, 445.0, 1236.0, 36.0], shoonya_0sUCZA5UEEL9KA, 5656487]
[sub-ordered-list, [146.0, 578.0, 1198.0, 36.0], u2s0AhzyMy, 5656487]
[sub-ordered-list, [146.0, 614.0, 1198.0, 36.0], u2s0AhzyMy, 5656487]
[sub-ordered-list, [146.0, 650.0, 1198.0, 36.0], u2s0AhzyMy, 5656487]
[sub-ordered-list, [146.0, 686.0, 1198.0, 36.0], u2s0AhzyMy, 5656487]
[sub-ordered-list, [146.0, 722.0, 1198.0, 36.0], u2s0AhzyMy, 5656487]
[sub-ordered-list, [146.0, 758.0, 1198.0, 36.0], u2s0AhzyMy, 5656487]
[sub-ordered-list, [146.0, 794.0, 1198.0, 36.0], u2s0AhzyMy, 5656487]
[sub-ordered-list, [146.0, 830.0, 1198.0, 36.0], u2s0AhzyMy, 5656487]
[sub-ordered-list, [137.0, 970.0, 1249.0, 36.0], Q4CkHlSp67, 5656487]
