[2339, 1609]
[folio, [231.0, 114.0, 389.0, 36.0], 7pVdhOoGUZ, 5657251]
[folio, [831.0, 118.0, 546.0, 36.0], kx0guyv63o, 5657251]
[folio, [831.0, 154.0, 546.0, 36.0], kx0guyv63o, 5657251]
[chapter-title, [391.0, 227.0, 807.0, 70.5], G9UENmL01X, 5657251]
[chapter-title, [391.0, 297.5, 807.0, 70.5], G9UENmL01X, 5657251]
[dateline, [618.0, 436.0, 460.0, 64.5], LWEBf-f0u4, 5657251]
[section-title, [650.0, 557.0, 305.0, 52.5], shoonya_10s0R5XWHEU48G, 5657251]
[paragraph, [122.0, 772.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [122.0, 808.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [122.0, 844.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [122.0, 880.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [122.0, 916.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [122.0, 952.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [122.0, 988.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [122.0, 1024.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [122.0, 1060.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [122.0, 1096.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [122.0, 1132.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [122.0, 1168.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [122.0, 1204.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [122.0, 1240.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [122.0, 1276.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [122.0, 1312.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [122.0, 1348.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [122.0, 1384.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [122.0, 1420.0, 1359.0, 36.0], shoonya_0sVYDG5PNZEZFE, 5657251]
[paragraph, [145.0, 1576.0, 1316.0, 36.0], shoonya_4sTXR7D9UG44M5, 5657251]
[paragraph, [145.0, 1612.0, 1316.0, 36.0], shoonya_4sTXR7D9UG44M5, 5657251]
[paragraph, [145.0, 1648.0, 1316.0, 36.0], shoonya_4sTXR7D9UG44M5, 5657251]
[paragraph, [145.0, 1684.0, 1316.0, 36.0], shoonya_4sTXR7D9UG44M5, 5657251]
[paragraph, [145.0, 1720.0, 1316.0, 36.0], shoonya_4sTXR7D9UG44M5, 5657251]
[paragraph, [145.0, 1756.0, 1316.0, 36.0], shoonya_4sTXR7D9UG44M5, 5657251]
[paragraph, [97.0, 1905.0, 1387.0, 36.0], shoonya_2s322BJFH8E5T3, 5657251]
[paragraph, [97.0, 1941.0, 1387.0, 36.0], shoonya_2s322BJFH8E5T3, 5657251]
[paragraph, [97.0, 1977.0, 1387.0, 36.0], shoonya_2s322BJFH8E5T3, 5657251]
[paragraph, [97.0, 2013.0, 1387.0, 36.0], shoonya_2s322BJFH8E5T3, 5657251]
[paragraph, [97.0, 2049.0, 1387.0, 36.0], shoonya_2s322BJFH8E5T3, 5657251]
[footnote, [887.0, 2132.0, 578.0, 36.0], 3EyZcNEpu5, 5657251]
[footnote, [887.0, 2168.0, 578.0, 36.0], 3EyZcNEpu5, 5657251]
[footnote, [150.0, 2149.0, 533.0, 36.0], shoonya_9sOSLR8AFNVATV, 5657251]
