[2339, 1656]
[folio, [105.0, 24.0, 688.0, 36.0], TQg3V9wmaH, 5656982]
[folio, [105.0, 60.0, 688.0, 36.0], TQg3V9wmaH, 5656982]
[paragraph, [92.0, 113.0, 709.0, 36.0], shoonya_8sCLMHHJY71XTF, 5656982]
[paragraph, [92.0, 149.0, 709.0, 36.0], shoonya_8sCLMHHJY71XTF, 5656982]
[paragraph, [92.0, 185.0, 709.0, 36.0], shoonya_8sCLMHHJY71XTF, 5656982]
[paragraph, [92.0, 221.0, 709.0, 36.0], shoonya_8sCLMHHJY71XTF, 5656982]
[paragraph, [92.0, 257.0, 709.0, 36.0], shoonya_8sCLMHHJY71XTF, 5656982]
[paragraph, [92.0, 293.0, 709.0, 36.0], shoonya_8sCLMHHJY71XTF, 5656982]
[paragraph, [92.0, 329.0, 709.0, 36.0], shoonya_8sCLMHHJY71XTF, 5656982]
[paragraph, [92.0, 365.0, 709.0, 36.0], shoonya_8sCLMHHJY71XTF, 5656982]
[paragraph, [92.0, 401.0, 709.0, 36.0], shoonya_8sCLMHHJY71XTF, 5656982]
[paragraph, [92.0, 437.0, 709.0, 36.0], shoonya_8sCLMHHJY71XTF, 5656982]
[paragraph, [92.0, 473.0, 709.0, 36.0], shoonya_8sCLMHHJY71XTF, 5656982]
[paragraph, [843.0, 119.0, 706.0, 36.0], shoonya_5sCZDO1U2JF30F, 5656982]
[paragraph, [843.0, 155.0, 706.0, 36.0], shoonya_5sCZDO1U2JF30F, 5656982]
[paragraph, [843.0, 191.0, 706.0, 36.0], shoonya_5sCZDO1U2JF30F, 5656982]
[paragraph, [843.0, 227.0, 706.0, 36.0], shoonya_5sCZDO1U2JF30F, 5656982]
[paragraph, [843.0, 263.0, 706.0, 36.0], shoonya_5sCZDO1U2JF30F, 5656982]
[paragraph, [843.0, 299.0, 706.0, 36.0], shoonya_5sCZDO1U2JF30F, 5656982]
[paragraph, [843.0, 335.0, 706.0, 36.0], shoonya_5sCZDO1U2JF30F, 5656982]
[paragraph, [843.0, 371.0, 706.0, 36.0], shoonya_5sCZDO1U2JF30F, 5656982]
[paragraph, [843.0, 407.0, 706.0, 36.0], shoonya_5sCZDO1U2JF30F, 5656982]
[paragraph, [76.0, 584.0, 734.0, 36.0], shoonya_2sOLB22OPY48T7, 5656982]
[paragraph, [76.0, 620.0, 734.0, 36.0], shoonya_2sOLB22OPY48T7, 5656982]
[paragraph, [76.0, 656.0, 734.0, 36.0], shoonya_2sOLB22OPY48T7, 5656982]
[paragraph, [76.0, 692.0, 734.0, 36.0], shoonya_2sOLB22OPY48T7, 5656982]
[paragraph, [76.0, 728.0, 734.0, 36.0], shoonya_2sOLB22OPY48T7, 5656982]
[paragraph, [76.0, 764.0, 734.0, 36.0], shoonya_2sOLB22OPY48T7, 5656982]
[paragraph, [76.0, 800.0, 734.0, 36.0], shoonya_2sOLB22OPY48T7, 5656982]
[paragraph, [76.0, 836.0, 734.0, 36.0], shoonya_2sOLB22OPY48T7, 5656982]
[paragraph, [76.0, 872.0, 734.0, 36.0], shoonya_2sOLB22OPY48T7, 5656982]
[figure-caption, [855.0, 868.0, 144.0, 36.0], L_hWl5D_VI, 5656982]
[paragraph, [841.0, 973.0, 709.0, 36.0], shoonya_7sDN5JV6JB3QN4, 5656982]
[paragraph, [841.0, 1009.0, 709.0, 36.0], shoonya_7sDN5JV6JB3QN4, 5656982]
[paragraph, [841.0, 1045.0, 709.0, 36.0], shoonya_7sDN5JV6JB3QN4, 5656982]
[paragraph, [841.0, 1081.0, 709.0, 36.0], shoonya_7sDN5JV6JB3QN4, 5656982]
[paragraph, [841.0, 1117.0, 709.0, 36.0], shoonya_7sDN5JV6JB3QN4, 5656982]
