[1191, 842]
[section-title, [335.0, 0.0, 189.0, 30.0], shoonya_21sAI27J7SDAI0, 5657057]
[section-title, [335.0, 30.0, 189.0, 30.0], shoonya_21sAI27J7SDAI0, 5657057]
[section-title, [335.0, 60.0, 189.0, 30.0], shoonya_21sAI27J7SDAI0, 5657057]
[section-title, [335.0, 90.0, 189.0, 30.0], shoonya_21sAI27J7SDAI0, 5657057]
[section-title, [335.0, 120.0, 189.0, 30.0], shoonya_21sAI27J7SDAI0, 5657057]
[section-title, [335.0, 150.0, 189.0, 30.0], shoonya_21sAI27J7SDAI0, 5657057]
[section-title, [335.0, 180.0, 189.0, 30.0], shoonya_21sAI27J7SDAI0, 5657057]
[figure-caption, [329.0, 438.0, 181.0, 18.0], shoonya_6s07UNDAPHTZX1, 5657057]
[figure-caption, [329.0, 456.0, 181.0, 18.0], shoonya_6s07UNDAPHTZX1, 5657057]
[figure-caption, [131.0, 440.0, 194.0, 18.0], shoonya_2s57A2S00R3QXG, 5657057]
[figure-caption, [131.0, 458.0, 194.0, 18.0], shoonya_2s57A2S00R3QXG, 5657057]
[figure-caption, [513.0, 440.0, 191.0, 18.0], shoonya_8sE7C47EMGECY1, 5657057]
[figure-caption, [513.0, 458.0, 191.0, 18.0], shoonya_8sE7C47EMGECY1, 5657057]
[figure-caption, [324.0, 659.0, 191.0, 18.0], shoonya_1sAKZAIKW7HWAM, 5657057]
[figure-caption, [324.0, 677.0, 191.0, 18.0], shoonya_1sAKZAIKW7HWAM, 5657057]
[figure-caption, [145.0, 664.0, 166.0, 18.0], shoonya_9sV6TFQH6IAQ9M, 5657057]
[figure-caption, [518.0, 664.0, 185.0, 18.0], shoonya_4sNZQQEHZ2CSMM, 5657057]
[figure-caption, [518.0, 682.0, 185.0, 18.0], shoonya_4sNZQQEHZ2CSMM, 5657057]
[figure-caption, [527.0, 886.0, 169.0, 18.0], shoonya_12s8S72BZE2A0Q, 5657057]
[figure-caption, [148.0, 888.0, 171.0, 18.0], shoonya_0sIU7F9UN8OD3V, 5657057]
[figure-caption, [148.0, 906.0, 171.0, 18.0], shoonya_0sIU7F9UN8OD3V, 5657057]
[figure-caption, [364.0, 891.0, 117.0, 18.0], shoonya_23s3NSIVI1M3EJ, 5657057]
[figure-caption, [400.0, 978.0, 110.0, 18.0], s3H7mJJLOb, 5657057]
[figure-caption, [400.0, 996.0, 110.0, 18.0], s3H7mJJLOb, 5657057]
[figure-caption, [400.0, 1014.0, 110.0, 18.0], s3H7mJJLOb, 5657057]
[folio, [634.0, 1092.0, 70.0, 18.0], shoonya_24sXVGD72YSI33, 5657057]
[folio, [634.0, 1110.0, 70.0, 18.0], shoonya_24sXVGD72YSI33, 5657057]
[folio, [634.0, 1128.0, 70.0, 18.0], shoonya_24sXVGD72YSI33, 5657057]
[folio, [634.0, 1146.0, 70.0, 18.0], shoonya_24sXVGD72YSI33, 5657057]
[folio, [295.0, 1116.0, 153.0, 18.0], shoonya_5s7SZ36AO54KC9, 5657057]
[folio, [295.0, 1134.0, 153.0, 18.0], shoonya_5s7SZ36AO54KC9, 5657057]
[folio, [128.0, 1125.0, 136.0, 18.0], I0a2aIofFm, 5657057]
[website-link, [463.0, 1129.0, 154.0, 18.0], shoonya_25s3DXUFNGEZLG, 5657057]
