[540, 960]
[section-title, [49.0, 1.0, 854.0, 30.0], shoonya_2sADWDYCN6MWV2, 5715774]
[unordered-list, [37.0, 113.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 131.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 149.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 167.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 185.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 203.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 221.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 239.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 257.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 275.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 293.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 311.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 329.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 347.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 365.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 383.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 401.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 419.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 437.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[unordered-list, [37.0, 455.0, 872.0, 18.0], shoonya_0sCG71Y8L6EJVP, 5715774]
[folio, [0.0, 506.0, 121.0, 18.0], skZippTsf5, 5715774]
