[540, 960]
[section-title, [109.0, 49.0, 813.0, 30.0], shoonya_2s7WBU6Q2HSMTK, 5715678]
[section-title, [109.0, 79.0, 813.0, 30.0], shoonya_2s7WBU6Q2HSMTK, 5715678]
[section-title, [109.0, 109.0, 813.0, 30.0], shoonya_2s7WBU6Q2HSMTK, 5715678]
[paragraph, [22.0, 167.0, 494.0, 18.0], shoonya_4s68KPOLFKEGVK, 5715678]
[paragraph, [22.0, 185.0, 494.0, 18.0], shoonya_4s68KPOLFKEGVK, 5715678]
[paragraph, [22.0, 203.0, 494.0, 18.0], shoonya_4s68KPOLFKEGVK, 5715678]
[paragraph, [22.0, 221.0, 494.0, 18.0], shoonya_4s68KPOLFKEGVK, 5715678]
[paragraph, [22.0, 239.0, 494.0, 18.0], shoonya_4s68KPOLFKEGVK, 5715678]
[paragraph, [22.0, 257.0, 494.0, 18.0], shoonya_4s68KPOLFKEGVK, 5715678]
[paragraph, [22.0, 275.0, 494.0, 18.0], shoonya_4s68KPOLFKEGVK, 5715678]
[paragraph, [22.0, 293.0, 494.0, 18.0], shoonya_4s68KPOLFKEGVK, 5715678]
[paragraph, [22.0, 311.0, 494.0, 18.0], shoonya_4s68KPOLFKEGVK, 5715678]
[paragraph, [22.0, 329.0, 494.0, 18.0], shoonya_4s68KPOLFKEGVK, 5715678]
[paragraph, [22.0, 347.0, 494.0, 18.0], shoonya_4s68KPOLFKEGVK, 5715678]
[paragraph, [22.0, 365.0, 494.0, 18.0], shoonya_4s68KPOLFKEGVK, 5715678]
[paragraph, [22.0, 383.0, 494.0, 18.0], shoonya_4s68KPOLFKEGVK, 5715678]
[paragraph, [22.0, 401.0, 494.0, 18.0], shoonya_4s68KPOLFKEGVK, 5715678]
[paragraph, [22.0, 419.0, 494.0, 18.0], shoonya_4s68KPOLFKEGVK, 5715678]
[folio, [864.0, 466.0, 94.0, 18.0], shoonya_0s9FF0HEO7MFHC, 5715678]
[folio, [864.0, 484.0, 94.0, 18.0], shoonya_0s9FF0HEO7MFHC, 5715678]
[folio, [864.0, 502.0, 94.0, 18.0], shoonya_0s9FF0HEO7MFHC, 5715678]
[folio, [6.0, 494.0, 107.0, 18.0], shoonya_1sQ3DC0D99T018, 5715678]
[folio, [6.0, 512.0, 107.0, 18.0], shoonya_1sQ3DC0D99T018, 5715678]
