[1394, 1376]
[headline, [70.0, 910.0, 505.0, 25.5], lQIGIZZVNB, 5725817]
[headline, [70.0, 935.5, 505.0, 25.5], lQIGIZZVNB, 5725817]
[headline, [70.0, 961.0, 505.0, 25.5], lQIGIZZVNB, 5725817]
[headline, [70.0, 986.5, 505.0, 25.5], lQIGIZZVNB, 5725817]
[headline, [658.0, 912.0, 460.0, 25.5], j35TwlBXe4, 5725817]
[headline, [658.0, 937.5, 460.0, 25.5], j35TwlBXe4, 5725817]
[paragraph, [646.0, 980.0, 534.0, 18.0], h4HdVnamcN, 5725817]
[paragraph, [646.0, 998.0, 534.0, 18.0], h4HdVnamcN, 5725817]
[paragraph, [646.0, 1016.0, 534.0, 18.0], h4HdVnamcN, 5725817]
[paragraph, [646.0, 1034.0, 534.0, 18.0], h4HdVnamcN, 5725817]
[paragraph, [646.0, 1052.0, 534.0, 18.0], h4HdVnamcN, 5725817]
[paragraph, [646.0, 1070.0, 534.0, 18.0], h4HdVnamcN, 5725817]
[paragraph, [73.0, 1032.0, 531.0, 18.0], y98aJHiqHx, 5725817]
[paragraph, [73.0, 1050.0, 531.0, 18.0], y98aJHiqHx, 5725817]
[paragraph, [73.0, 1068.0, 531.0, 18.0], y98aJHiqHx, 5725817]
[paragraph, [73.0, 1086.0, 531.0, 18.0], y98aJHiqHx, 5725817]
[paragraph, [73.0, 1104.0, 531.0, 18.0], y98aJHiqHx, 5725817]
[folio, [1202.0, 1057.0, 116.0, 18.0], shoonya_0s9ADFFO3G2LQ8, 5725817]
[folio, [1202.0, 1075.0, 116.0, 18.0], shoonya_0s9ADFFO3G2LQ8, 5725817]
[folio, [1202.0, 1093.0, 116.0, 18.0], shoonya_0s9ADFFO3G2LQ8, 5725817]
[folio, [1202.0, 1111.0, 116.0, 18.0], shoonya_0s9ADFFO3G2LQ8, 5725817]
[folio, [1202.0, 1129.0, 116.0, 18.0], shoonya_0s9ADFFO3G2LQ8, 5725817]
[folio, [1202.0, 1147.0, 116.0, 18.0], shoonya_0s9ADFFO3G2LQ8, 5725817]
[folio, [1202.0, 1165.0, 116.0, 18.0], shoonya_0s9ADFFO3G2LQ8, 5725817]
[folio, [1202.0, 1183.0, 116.0, 18.0], shoonya_0s9ADFFO3G2LQ8, 5725817]
[folio, [1202.0, 1201.0, 116.0, 18.0], shoonya_0s9ADFFO3G2LQ8, 5725817]
[folio, [1202.0, 1219.0, 116.0, 18.0], shoonya_0s9ADFFO3G2LQ8, 5725817]
[paragraph, [70.0, 1127.0, 538.0, 18.0], IA7l0hyLZX, 5725817]
[paragraph, [70.0, 1145.0, 538.0, 18.0], IA7l0hyLZX, 5725817]
[paragraph, [70.0, 1163.0, 538.0, 18.0], IA7l0hyLZX, 5725817]
[paragraph, [70.0, 1181.0, 538.0, 18.0], IA7l0hyLZX, 5725817]
[paragraph, [70.0, 1199.0, 538.0, 18.0], IA7l0hyLZX, 5725817]
[headline, [653.0, 1127.0, 473.0, 25.5], kPvEF0lpJb, 5725817]
[headline, [653.0, 1152.5, 473.0, 25.5], kPvEF0lpJb, 5725817]
[paragraph, [650.0, 1196.0, 531.0, 18.0], coXrOM5S9k, 5725817]
[paragraph, [650.0, 1214.0, 531.0, 18.0], coXrOM5S9k, 5725817]
[paragraph, [650.0, 1232.0, 531.0, 18.0], coXrOM5S9k, 5725817]
[paragraph, [650.0, 1250.0, 531.0, 18.0], coXrOM5S9k, 5725817]
[paragraph, [650.0, 1268.0, 531.0, 18.0], coXrOM5S9k, 5725817]
