[884, 638]
[paragraph, [35.0, 126.0, 256.0, 18.0], ts6KX6rYZ3, 5725676]
[paragraph, [35.0, 144.0, 256.0, 18.0], ts6KX6rYZ3, 5725676]
[paragraph, [36.0, 219.0, 247.0, 18.0], Jims1oe1YH, 5725676]
[paragraph, [37.0, 258.0, 254.0, 18.0], shoonya_0s25SEITXT4VJ8, 5725676]
[paragraph, [37.0, 276.0, 254.0, 18.0], shoonya_0s25SEITXT4VJ8, 5725676]
[section-title, [369.0, 328.0, 208.0, 30.0], Kn-BngNrQK, 5725676]
[paragraph, [37.0, 348.0, 226.0, 18.0], boYVpQoAGs, 5725676]
[paragraph, [34.0, 371.0, 249.0, 18.0], KpRP9yDVIi, 5725676]
[paragraph, [34.0, 389.0, 249.0, 18.0], KpRP9yDVIi, 5725676]
[paragraph, [34.0, 407.0, 249.0, 18.0], KpRP9yDVIi, 5725676]
[paragraph, [34.0, 425.0, 249.0, 18.0], KpRP9yDVIi, 5725676]
[paragraph, [34.0, 443.0, 249.0, 18.0], KpRP9yDVIi, 5725676]
[paragraph, [339.0, 395.0, 271.0, 18.0], shoonya_5sQLWA6OO65SPO, 5725676]
[paragraph, [339.0, 413.0, 271.0, 18.0], shoonya_5sQLWA6OO65SPO, 5725676]
[paragraph, [339.0, 431.0, 271.0, 18.0], shoonya_5sQLWA6OO65SPO, 5725676]
[paragraph, [339.0, 449.0, 271.0, 18.0], shoonya_5sQLWA6OO65SPO, 5725676]
[contact-info, [34.0, 463.0, 214.0, 18.0], TMvpRWD-Hc, 5725676]
[folio, [358.0, 609.0, 234.0, 18.0], Qrkq3cgk2I, 5725676]
[folio, [422.0, 633.0, 108.0, 18.0], 0tAStv4J4P, 5725676]
[contact-info, [12.0, 686.0, 201.0, 18.0], shoonya_3s9LYY9T7O96GU, 5725676]
[contact-info, [12.0, 704.0, 201.0, 18.0], shoonya_3s9LYY9T7O96GU, 5725676]
[contact-info, [12.0, 722.0, 201.0, 18.0], shoonya_3s9LYY9T7O96GU, 5725676]
[contact-info, [12.0, 740.0, 201.0, 18.0], shoonya_3s9LYY9T7O96GU, 5725676]
[contact-info, [12.0, 758.0, 201.0, 18.0], shoonya_3s9LYY9T7O96GU, 5725676]
[contact-info, [12.0, 776.0, 201.0, 18.0], shoonya_3s9LYY9T7O96GU, 5725676]
[contact-info, [12.0, 794.0, 201.0, 18.0], shoonya_3s9LYY9T7O96GU, 5725676]
