[792, 612]
[folio, [184.0, 7.0, 218.0, 18.0], shoonya_0s4KTAANSRPXI5, 5726065]
[ordered-list, [49.0, 70.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 88.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 106.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 124.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 142.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 160.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 178.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 196.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 214.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 232.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 250.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 268.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 286.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 304.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 322.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 340.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 358.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 376.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 394.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 412.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 430.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 448.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 466.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 484.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 502.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 520.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 538.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 556.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 574.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 592.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 610.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 628.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 646.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 664.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 682.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[ordered-list, [49.0, 700.0, 513.0, 18.0], JtGkW78XMQ, 5726065]
[sub-ordered-list, [54.0, 208.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 226.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 244.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 262.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 280.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 298.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 316.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 334.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 352.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 370.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 388.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 406.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 424.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 442.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 460.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 478.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 496.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 514.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 532.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 550.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 568.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 586.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 604.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 622.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 640.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 658.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 676.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[sub-ordered-list, [54.0, 694.0, 504.0, 18.0], 7TEGxjZfmU, 5726065]
[folio, [64.0, 750.0, 467.0, 18.0], fic_18eLO4, 5726065]
