[2339, 1653]
[folio, [239.0, 323.0, 271.0, 36.0], xn-3Vyz2_z, 5736038]
[folio, [1275.0, 334.0, 138.0, 36.0], -mrjW0cbvU, 5736038]
[sidebar, [59.0, 662.0, 148.0, 36.0], nMBIZF4vC2, 5736038]
[sidebar, [59.0, 698.0, 148.0, 36.0], nMBIZF4vC2, 5736038]
[figure-caption, [509.0, 1157.0, 644.0, 36.0], shoonya_3sJW0YKOAZ7TM4, 5736038]
[paragraph, [836.0, 1226.0, 580.0, 36.0], shoonya_2s1B4OCSSS3XLS, 5736038]
[paragraph, [836.0, 1262.0, 580.0, 36.0], shoonya_2s1B4OCSSS3XLS, 5736038]
[paragraph, [836.0, 1298.0, 580.0, 36.0], shoonya_2s1B4OCSSS3XLS, 5736038]
[paragraph, [836.0, 1334.0, 580.0, 36.0], shoonya_2s1B4OCSSS3XLS, 5736038]
[paragraph, [836.0, 1370.0, 580.0, 36.0], shoonya_2s1B4OCSSS3XLS, 5736038]
[paragraph, [836.0, 1406.0, 580.0, 36.0], shoonya_2s1B4OCSSS3XLS, 5736038]
[paragraph, [235.0, 1228.0, 582.0, 36.0], shoonya_1sRB5OTYL7RANJ, 5736038]
[paragraph, [235.0, 1264.0, 582.0, 36.0], shoonya_1sRB5OTYL7RANJ, 5736038]
[paragraph, [235.0, 1300.0, 582.0, 36.0], shoonya_1sRB5OTYL7RANJ, 5736038]
[paragraph, [235.0, 1336.0, 582.0, 36.0], shoonya_1sRB5OTYL7RANJ, 5736038]
[paragraph, [235.0, 1372.0, 582.0, 36.0], shoonya_1sRB5OTYL7RANJ, 5736038]
[paragraph, [235.0, 1408.0, 582.0, 36.0], shoonya_1sRB5OTYL7RANJ, 5736038]
[paragraph, [235.0, 1444.0, 582.0, 36.0], shoonya_1sRB5OTYL7RANJ, 5736038]
[paragraph, [235.0, 1480.0, 582.0, 36.0], shoonya_1sRB5OTYL7RANJ, 5736038]
[paragraph, [235.0, 1516.0, 582.0, 36.0], shoonya_1sRB5OTYL7RANJ, 5736038]
[author, [1276.0, 1449.0, 138.0, 36.0], shoonya_7s1QCZWKCTXZP1, 5736038]
[reference, [866.0, 1500.0, 299.0, 36.0], shoonya_9sFF3Q0MSW4ZXH, 5736038]
[folio, [1165.0, 1968.0, 265.0, 36.0], mopsbXI6MJ, 5736038]
