[2067, 1567]
[folio, [1250.0, 191.0, 117.0, 36.0], 2ut-6n9QxI, 5735427]
[folio, [191.0, 193.0, 314.0, 36.0], shoonya_7s5MN6QA9GOE43, 5735427]
[paragraph, [192.0, 251.0, 580.0, 36.0], shoonya_1s9T1AIPY7Z9VA, 5735427]
[paragraph, [192.0, 287.0, 580.0, 36.0], shoonya_1s9T1AIPY7Z9VA, 5735427]
[paragraph, [192.0, 323.0, 580.0, 36.0], shoonya_1s9T1AIPY7Z9VA, 5735427]
[paragraph, [192.0, 359.0, 580.0, 36.0], shoonya_1s9T1AIPY7Z9VA, 5735427]
[paragraph, [192.0, 395.0, 580.0, 36.0], shoonya_1s9T1AIPY7Z9VA, 5735427]
[paragraph, [192.0, 431.0, 580.0, 36.0], shoonya_1s9T1AIPY7Z9VA, 5735427]
[paragraph, [192.0, 467.0, 580.0, 36.0], shoonya_1s9T1AIPY7Z9VA, 5735427]
[paragraph, [192.0, 503.0, 580.0, 36.0], shoonya_1s9T1AIPY7Z9VA, 5735427]
[paragraph, [192.0, 539.0, 580.0, 36.0], shoonya_1s9T1AIPY7Z9VA, 5735427]
[paragraph, [192.0, 575.0, 580.0, 36.0], shoonya_1s9T1AIPY7Z9VA, 5735427]
[paragraph, [192.0, 611.0, 580.0, 36.0], shoonya_1s9T1AIPY7Z9VA, 5735427]
[paragraph, [792.0, 251.0, 579.0, 36.0], shoonya_3s4Z9YT9OBQH9F, 5735427]
[paragraph, [792.0, 287.0, 579.0, 36.0], shoonya_3s4Z9YT9OBQH9F, 5735427]
[paragraph, [792.0, 323.0, 579.0, 36.0], shoonya_3s4Z9YT9OBQH9F, 5735427]
[paragraph, [792.0, 359.0, 579.0, 36.0], shoonya_3s4Z9YT9OBQH9F, 5735427]
[paragraph, [792.0, 395.0, 579.0, 36.0], shoonya_3s4Z9YT9OBQH9F, 5735427]
[paragraph, [792.0, 431.0, 579.0, 36.0], shoonya_3s4Z9YT9OBQH9F, 5735427]
[paragraph, [792.0, 467.0, 579.0, 36.0], shoonya_3s4Z9YT9OBQH9F, 5735427]
[paragraph, [792.0, 503.0, 579.0, 36.0], shoonya_3s4Z9YT9OBQH9F, 5735427]
[paragraph, [792.0, 539.0, 579.0, 36.0], shoonya_3s4Z9YT9OBQH9F, 5735427]
[paragraph, [790.0, 607.0, 581.0, 36.0], shoonya_0s0KEUNEOJWH0X, 5735427]
[paragraph, [790.0, 643.0, 581.0, 36.0], shoonya_0s0KEUNEOJWH0X, 5735427]
[paragraph, [790.0, 679.0, 581.0, 36.0], shoonya_0s0KEUNEOJWH0X, 5735427]
[paragraph, [790.0, 715.0, 581.0, 36.0], shoonya_0s0KEUNEOJWH0X, 5735427]
[paragraph, [790.0, 751.0, 581.0, 36.0], shoonya_0s0KEUNEOJWH0X, 5735427]
[paragraph, [790.0, 787.0, 581.0, 36.0], shoonya_0s0KEUNEOJWH0X, 5735427]
[paragraph, [790.0, 823.0, 581.0, 36.0], shoonya_0s0KEUNEOJWH0X, 5735427]
[paragraph, [790.0, 859.0, 581.0, 36.0], shoonya_0s0KEUNEOJWH0X, 5735427]
[paragraph, [790.0, 895.0, 581.0, 36.0], shoonya_0s0KEUNEOJWH0X, 5735427]
[paragraph, [790.0, 931.0, 581.0, 36.0], shoonya_0s0KEUNEOJWH0X, 5735427]
[paragraph, [790.0, 967.0, 581.0, 36.0], shoonya_0s0KEUNEOJWH0X, 5735427]
[paragraph, [790.0, 1003.0, 581.0, 36.0], shoonya_0s0KEUNEOJWH0X, 5735427]
[paragraph, [790.0, 1039.0, 581.0, 36.0], shoonya_0s0KEUNEOJWH0X, 5735427]
[paragraph, [790.0, 1075.0, 581.0, 36.0], shoonya_0s0KEUNEOJWH0X, 5735427]
[paragraph, [790.0, 1111.0, 581.0, 36.0], shoonya_0s0KEUNEOJWH0X, 5735427]
[paragraph, [790.0, 1147.0, 581.0, 36.0], shoonya_0s0KEUNEOJWH0X, 5735427]
[paragraph, [194.0, 650.0, 577.0, 36.0], shoonya_2sXH45QLRIQSD7, 5735427]
[paragraph, [194.0, 686.0, 577.0, 36.0], shoonya_2sXH45QLRIQSD7, 5735427]
[paragraph, [194.0, 722.0, 577.0, 36.0], shoonya_2sXH45QLRIQSD7, 5735427]
[paragraph, [194.0, 758.0, 577.0, 36.0], shoonya_2sXH45QLRIQSD7, 5735427]
[paragraph, [194.0, 794.0, 577.0, 36.0], shoonya_2sXH45QLRIQSD7, 5735427]
[paragraph, [194.0, 830.0, 577.0, 36.0], shoonya_2sXH45QLRIQSD7, 5735427]
[paragraph, [194.0, 866.0, 577.0, 36.0], shoonya_2sXH45QLRIQSD7, 5735427]
[paragraph, [194.0, 902.0, 577.0, 36.0], shoonya_2sXH45QLRIQSD7, 5735427]
[paragraph, [194.0, 938.0, 577.0, 36.0], shoonya_2sXH45QLRIQSD7, 5735427]
[paragraph, [194.0, 974.0, 577.0, 36.0], shoonya_2sXH45QLRIQSD7, 5735427]
[paragraph, [194.0, 1010.0, 577.0, 36.0], shoonya_2sXH45QLRIQSD7, 5735427]
[sidebar, [23.0, 968.0, 129.0, 36.0], shoonya_8sOXTYTGFAQTQH, 5735427]
[author, [600.0, 1050.0, 172.0, 36.0], shoonya_6sY14XDC4234Y2, 5735427]
[paragraph, [790.0, 1181.0, 583.0, 36.0], shoonya_4s5PK38KGUAVSF, 5735427]
[paragraph, [790.0, 1217.0, 583.0, 36.0], shoonya_4s5PK38KGUAVSF, 5735427]
[paragraph, [790.0, 1253.0, 583.0, 36.0], shoonya_4s5PK38KGUAVSF, 5735427]
[paragraph, [790.0, 1289.0, 583.0, 36.0], shoonya_4s5PK38KGUAVSF, 5735427]
[paragraph, [790.0, 1325.0, 583.0, 36.0], shoonya_4s5PK38KGUAVSF, 5735427]
[paragraph, [790.0, 1361.0, 583.0, 36.0], shoonya_4s5PK38KGUAVSF, 5735427]
[paragraph, [790.0, 1397.0, 583.0, 36.0], shoonya_4s5PK38KGUAVSF, 5735427]
[paragraph, [790.0, 1433.0, 583.0, 36.0], shoonya_4s5PK38KGUAVSF, 5735427]
[paragraph, [790.0, 1469.0, 583.0, 36.0], shoonya_4s5PK38KGUAVSF, 5735427]
[paragraph, [790.0, 1505.0, 583.0, 36.0], shoonya_4s5PK38KGUAVSF, 5735427]
[paragraph, [189.0, 1187.0, 285.0, 36.0], MYQRMUnCz-, 5735427]
[paragraph, [179.0, 1274.0, 428.0, 36.0], Vp-uIhMhkL, 5735427]
[paragraph, [451.0, 1323.0, 326.0, 36.0], 2tcS-EUNpt, 5735427]
[paragraph, [451.0, 1359.0, 326.0, 36.0], 2tcS-EUNpt, 5735427]
[paragraph, [451.0, 1395.0, 326.0, 36.0], 2tcS-EUNpt, 5735427]
