[2067, 1567]
[folio, [187.0, 195.0, 301.0, 36.0], Wv9TAVLPev, 5735560]
[folio, [1248.0, 195.0, 133.0, 36.0], TNfmaM3CmU, 5735560]
[paragraph, [790.0, 250.0, 581.0, 36.0], shoonya_3sUOO7UBKKDJ09, 5735560]
[paragraph, [790.0, 286.0, 581.0, 36.0], shoonya_3sUOO7UBKKDJ09, 5735560]
[paragraph, [790.0, 322.0, 581.0, 36.0], shoonya_3sUOO7UBKKDJ09, 5735560]
[paragraph, [790.0, 358.0, 581.0, 36.0], shoonya_3sUOO7UBKKDJ09, 5735560]
[paragraph, [790.0, 394.0, 581.0, 36.0], shoonya_3sUOO7UBKKDJ09, 5735560]
[paragraph, [790.0, 430.0, 581.0, 36.0], shoonya_3sUOO7UBKKDJ09, 5735560]
[paragraph, [790.0, 466.0, 581.0, 36.0], shoonya_3sUOO7UBKKDJ09, 5735560]
[paragraph, [790.0, 502.0, 581.0, 36.0], shoonya_3sUOO7UBKKDJ09, 5735560]
[paragraph, [790.0, 538.0, 581.0, 36.0], shoonya_3sUOO7UBKKDJ09, 5735560]
[paragraph, [194.0, 293.0, 156.0, 36.0], shoonya_9sZ309FG718LNZ, 5735560]
[author, [202.0, 341.0, 213.0, 36.0], shoonya_10sDD6XF6BLCR1, 5735560]
[paragraph, [452.0, 385.0, 319.0, 36.0], shoonya_7sM6PVBDC4MAI7, 5735560]
[paragraph, [452.0, 421.0, 319.0, 36.0], shoonya_7sM6PVBDC4MAI7, 5735560]
[paragraph, [452.0, 457.0, 319.0, 36.0], shoonya_7sM6PVBDC4MAI7, 5735560]
[paragraph, [452.0, 493.0, 319.0, 36.0], shoonya_7sM6PVBDC4MAI7, 5735560]
[paragraph, [452.0, 529.0, 319.0, 36.0], shoonya_7sM6PVBDC4MAI7, 5735560]
[paragraph, [452.0, 565.0, 319.0, 36.0], shoonya_7sM6PVBDC4MAI7, 5735560]
[paragraph, [452.0, 601.0, 319.0, 36.0], shoonya_7sM6PVBDC4MAI7, 5735560]
[paragraph, [452.0, 637.0, 319.0, 36.0], shoonya_7sM6PVBDC4MAI7, 5735560]
[paragraph, [452.0, 673.0, 319.0, 36.0], shoonya_7sM6PVBDC4MAI7, 5735560]
[paragraph, [791.0, 604.0, 581.0, 36.0], shoonya_1sPH5PSWMRXDI9, 5735560]
[paragraph, [791.0, 640.0, 581.0, 36.0], shoonya_1sPH5PSWMRXDI9, 5735560]
[paragraph, [791.0, 676.0, 581.0, 36.0], shoonya_1sPH5PSWMRXDI9, 5735560]
[paragraph, [791.0, 712.0, 581.0, 36.0], shoonya_1sPH5PSWMRXDI9, 5735560]
[paragraph, [791.0, 748.0, 581.0, 36.0], shoonya_1sPH5PSWMRXDI9, 5735560]
[paragraph, [791.0, 784.0, 581.0, 36.0], shoonya_1sPH5PSWMRXDI9, 5735560]
[paragraph, [791.0, 820.0, 581.0, 36.0], shoonya_1sPH5PSWMRXDI9, 5735560]
[paragraph, [791.0, 856.0, 581.0, 36.0], shoonya_1sPH5PSWMRXDI9, 5735560]
[paragraph, [791.0, 892.0, 581.0, 36.0], shoonya_1sPH5PSWMRXDI9, 5735560]
[paragraph, [791.0, 928.0, 581.0, 36.0], shoonya_1sPH5PSWMRXDI9, 5735560]
[paragraph, [791.0, 964.0, 581.0, 36.0], shoonya_1sPH5PSWMRXDI9, 5735560]
[paragraph, [193.0, 737.0, 578.0, 36.0], shoonya_0s9XDXLBBPVR8E, 5735560]
[paragraph, [193.0, 773.0, 578.0, 36.0], shoonya_0s9XDXLBBPVR8E, 5735560]
[paragraph, [193.0, 809.0, 578.0, 36.0], shoonya_0s9XDXLBBPVR8E, 5735560]
[paragraph, [193.0, 845.0, 578.0, 36.0], shoonya_0s9XDXLBBPVR8E, 5735560]
[paragraph, [193.0, 881.0, 578.0, 36.0], shoonya_0s9XDXLBBPVR8E, 5735560]
[paragraph, [193.0, 917.0, 578.0, 36.0], shoonya_0s9XDXLBBPVR8E, 5735560]
[paragraph, [193.0, 953.0, 578.0, 36.0], shoonya_0s9XDXLBBPVR8E, 5735560]
[paragraph, [193.0, 989.0, 578.0, 36.0], shoonya_0s9XDXLBBPVR8E, 5735560]
