[1545, 2000]
[section-title, [106.0, 192.0, 458.0, 49.5], shoonya_0s7R6V8PW60RRO, 6513889]
[section-title, [106.0, 241.5, 458.0, 49.5], shoonya_0s7R6V8PW60RRO, 6513889]
[section-title, [106.0, 291.0, 458.0, 49.5], shoonya_0s7R6V8PW60RRO, 6513889]
[section-title, [106.0, 340.5, 458.0, 49.5], shoonya_0s7R6V8PW60RRO, 6513889]
[section-title, [106.0, 390.0, 458.0, 49.5], shoonya_0s7R6V8PW60RRO, 6513889]
[section-title, [1488.0, 249.0, 339.0, 49.5], UexIrTc1wY, 6513889]
[section-title, [1488.0, 298.5, 339.0, 49.5], UexIrTc1wY, 6513889]
[paragraph, [122.0, 470.0, 430.0, 36.0], XK60qMLTAM, 6513889]
[paragraph, [122.0, 506.0, 430.0, 36.0], XK60qMLTAM, 6513889]
[contact-info, [779.0, 599.0, 426.0, 36.0], OlGjnoUMQs, 6513889]
[contact-info, [779.0, 635.0, 426.0, 36.0], OlGjnoUMQs, 6513889]
[contact-info, [779.0, 671.0, 426.0, 36.0], OlGjnoUMQs, 6513889]
[contact-info, [779.0, 707.0, 426.0, 36.0], OlGjnoUMQs, 6513889]
[contact-info, [779.0, 743.0, 426.0, 36.0], OlGjnoUMQs, 6513889]
[contact-info, [779.0, 779.0, 426.0, 36.0], OlGjnoUMQs, 6513889]
[contact-info, [779.0, 815.0, 426.0, 36.0], OlGjnoUMQs, 6513889]
[contact-info, [779.0, 851.0, 426.0, 36.0], OlGjnoUMQs, 6513889]
[contact-info, [779.0, 887.0, 426.0, 36.0], OlGjnoUMQs, 6513889]
[contact-info, [779.0, 923.0, 426.0, 36.0], OlGjnoUMQs, 6513889]
[contact-info, [779.0, 959.0, 426.0, 36.0], OlGjnoUMQs, 6513889]
[paragraph, [307.0, 750.0, 251.0, 36.0], yWUVm8s3bz, 6513889]
[website-link, [805.0, 852.0, 379.0, 18.0], DE5RgbiiWW, 6513889]
[quote, [94.0, 1165.0, 459.0, 36.0], ImcS-g5E-8, 6513889]
[quote, [94.0, 1201.0, 459.0, 36.0], ImcS-g5E-8, 6513889]
[quote, [94.0, 1237.0, 459.0, 36.0], ImcS-g5E-8, 6513889]
[quote, [94.0, 1273.0, 459.0, 36.0], ImcS-g5E-8, 6513889]
