[2876, 2048]
[paragraph, [1022.0, 322.0, 853.0, 46.5], L9PG9P8biy, 6473977]
[paragraph, [1022.0, 368.5, 853.0, 46.5], L9PG9P8biy, 6473977]
[paragraph, [1022.0, 415.0, 853.0, 46.5], L9PG9P8biy, 6473977]
[paragraph, [1022.0, 461.5, 853.0, 46.5], L9PG9P8biy, 6473977]
[paragraph, [1022.0, 508.0, 853.0, 46.5], L9PG9P8biy, 6473977]
[paragraph, [1022.0, 554.5, 853.0, 46.5], L9PG9P8biy, 6473977]
[paragraph, [1022.0, 601.0, 853.0, 46.5], L9PG9P8biy, 6473977]
[paragraph, [1022.0, 647.5, 853.0, 46.5], L9PG9P8biy, 6473977]
[paragraph, [1022.0, 694.0, 853.0, 46.5], L9PG9P8biy, 6473977]
[paragraph, [168.0, 332.0, 816.0, 46.5], shoonya_0sWWF3XYXE5IP5, 6473977]
[paragraph, [168.0, 378.5, 816.0, 46.5], shoonya_0sWWF3XYXE5IP5, 6473977]
[paragraph, [168.0, 425.0, 816.0, 46.5], shoonya_0sWWF3XYXE5IP5, 6473977]
[paragraph, [168.0, 471.5, 816.0, 46.5], shoonya_0sWWF3XYXE5IP5, 6473977]
[paragraph, [168.0, 518.0, 816.0, 46.5], shoonya_0sWWF3XYXE5IP5, 6473977]
[paragraph, [168.0, 564.5, 816.0, 46.5], shoonya_0sWWF3XYXE5IP5, 6473977]
[paragraph, [168.0, 611.0, 816.0, 46.5], shoonya_0sWWF3XYXE5IP5, 6473977]
[paragraph, [168.0, 657.5, 816.0, 46.5], shoonya_0sWWF3XYXE5IP5, 6473977]
[paragraph, [168.0, 704.0, 816.0, 46.5], shoonya_0sWWF3XYXE5IP5, 6473977]
[paragraph, [168.0, 750.5, 816.0, 46.5], shoonya_0sWWF3XYXE5IP5, 6473977]
[paragraph, [168.0, 797.0, 816.0, 46.5], shoonya_0sWWF3XYXE5IP5, 6473977]
[paragraph, [168.0, 843.5, 816.0, 46.5], shoonya_0sWWF3XYXE5IP5, 6473977]
[paragraph, [168.0, 890.0, 816.0, 46.5], shoonya_0sWWF3XYXE5IP5, 6473977]
[paragraph, [168.0, 936.5, 816.0, 46.5], shoonya_0sWWF3XYXE5IP5, 6473977]
[paragraph, [168.0, 983.0, 816.0, 46.5], shoonya_0sWWF3XYXE5IP5, 6473977]
[paragraph, [1020.0, 802.0, 838.0, 46.5], O6fhetrMar, 6473977]
[paragraph, [1020.0, 848.5, 838.0, 46.5], O6fhetrMar, 6473977]
[paragraph, [1020.0, 895.0, 838.0, 46.5], O6fhetrMar, 6473977]
[paragraph, [1020.0, 941.5, 838.0, 46.5], O6fhetrMar, 6473977]
[paragraph, [1020.0, 988.0, 838.0, 46.5], O6fhetrMar, 6473977]
[paragraph, [1020.0, 1034.5, 838.0, 46.5], O6fhetrMar, 6473977]
[paragraph, [1020.0, 1081.0, 838.0, 46.5], O6fhetrMar, 6473977]
[paragraph, [1020.0, 1127.5, 838.0, 46.5], O6fhetrMar, 6473977]
[paragraph, [1020.0, 1174.0, 838.0, 46.5], O6fhetrMar, 6473977]
[paragraph, [1020.0, 1220.5, 838.0, 46.5], O6fhetrMar, 6473977]
[paragraph, [1020.0, 1267.0, 838.0, 46.5], O6fhetrMar, 6473977]
[paragraph, [1020.0, 1313.5, 838.0, 46.5], O6fhetrMar, 6473977]
[paragraph, [163.0, 1066.0, 833.0, 46.5], OPS-J5dO1J, 6473977]
[paragraph, [163.0, 1112.5, 833.0, 46.5], OPS-J5dO1J, 6473977]
[paragraph, [163.0, 1159.0, 833.0, 46.5], OPS-J5dO1J, 6473977]
[paragraph, [163.0, 1205.5, 833.0, 46.5], OPS-J5dO1J, 6473977]
[paragraph, [163.0, 1252.0, 833.0, 46.5], OPS-J5dO1J, 6473977]
[paragraph, [163.0, 1298.5, 833.0, 46.5], OPS-J5dO1J, 6473977]
[paragraph, [163.0, 1345.0, 833.0, 46.5], OPS-J5dO1J, 6473977]
[paragraph, [163.0, 1391.5, 833.0, 46.5], OPS-J5dO1J, 6473977]
[paragraph, [163.0, 1438.0, 833.0, 46.5], OPS-J5dO1J, 6473977]
[paragraph, [163.0, 1484.5, 833.0, 46.5], OPS-J5dO1J, 6473977]
[paragraph, [163.0, 1531.0, 833.0, 46.5], OPS-J5dO1J, 6473977]
[paragraph, [163.0, 1577.5, 833.0, 46.5], OPS-J5dO1J, 6473977]
[figure-caption, [1488.0, 2633.0, 383.0, 46.5], kgNQ8Ko1U1, 6473977]
