[2480, 1748]
[headline, [247.0, 138.0, 1252.0, 67.5], shoonya_4sIYG1C3B6AEKI, 6474004]
[headline, [247.0, 205.5, 1252.0, 67.5], shoonya_4sIYG1C3B6AEKI, 6474004]
[headline, [247.0, 273.0, 1252.0, 67.5], shoonya_4sIYG1C3B6AEKI, 6474004]
[paragraph, [133.0, 1466.0, 1481.0, 36.0], O3RaN22wbz, 6474004]
[paragraph, [133.0, 1502.0, 1481.0, 36.0], O3RaN22wbz, 6474004]
[paragraph, [133.0, 1538.0, 1481.0, 36.0], O3RaN22wbz, 6474004]
[paragraph, [133.0, 1574.0, 1481.0, 36.0], O3RaN22wbz, 6474004]
[paragraph, [133.0, 1610.0, 1481.0, 36.0], O3RaN22wbz, 6474004]
[paragraph, [133.0, 1646.0, 1481.0, 36.0], O3RaN22wbz, 6474004]
[paragraph, [133.0, 1682.0, 1481.0, 36.0], O3RaN22wbz, 6474004]
[paragraph, [133.0, 1718.0, 1481.0, 36.0], O3RaN22wbz, 6474004]
[paragraph, [133.0, 1754.0, 1481.0, 36.0], O3RaN22wbz, 6474004]
[paragraph, [133.0, 1790.0, 1481.0, 36.0], O3RaN22wbz, 6474004]
[paragraph, [133.0, 1826.0, 1481.0, 36.0], O3RaN22wbz, 6474004]
[paragraph, [135.0, 1896.0, 1470.0, 36.0], GW95-5bqwJ, 6474004]
[paragraph, [135.0, 1932.0, 1470.0, 36.0], GW95-5bqwJ, 6474004]
[paragraph, [135.0, 1968.0, 1470.0, 36.0], GW95-5bqwJ, 6474004]
[paragraph, [141.0, 2053.0, 1442.0, 36.0], c5YDgVd0tQ, 6474004]
[paragraph, [141.0, 2089.0, 1442.0, 36.0], c5YDgVd0tQ, 6474004]
[paragraph, [141.0, 2125.0, 1442.0, 36.0], c5YDgVd0tQ, 6474004]
[paragraph, [141.0, 2161.0, 1442.0, 36.0], c5YDgVd0tQ, 6474004]
[paragraph, [141.0, 2197.0, 1442.0, 36.0], c5YDgVd0tQ, 6474004]
[paragraph, [141.0, 2233.0, 1442.0, 36.0], c5YDgVd0tQ, 6474004]
[paragraph, [141.0, 2269.0, 1442.0, 36.0], c5YDgVd0tQ, 6474004]
[paragraph, [141.0, 2305.0, 1442.0, 36.0], c5YDgVd0tQ, 6474004]
