[1790, 1276]
[paragraph, [94.0, 149.0, 1083.0, 36.0], MpqmuFYicN, 5744570]
[paragraph, [94.0, 185.0, 1083.0, 36.0], MpqmuFYicN, 5744570]
[paragraph, [92.0, 246.0, 1078.0, 36.0], qJLVG4-9LP, 5744570]
[paragraph, [92.0, 282.0, 1078.0, 36.0], qJLVG4-9LP, 5744570]
[paragraph, [92.0, 318.0, 1078.0, 36.0], qJLVG4-9LP, 5744570]
[ordered-list, [100.0, 368.0, 1075.0, 36.0], shoonya_13s4RCR26HP1ZK, 5744570]
[ordered-list, [97.0, 416.0, 775.0, 36.0], wjFO_ouuDG, 5744570]
[ordered-list, [97.0, 452.0, 775.0, 36.0], wjFO_ouuDG, 5744570]
[ordered-list, [97.0, 488.0, 775.0, 36.0], wjFO_ouuDG, 5744570]
[ordered-list, [97.0, 524.0, 775.0, 36.0], wjFO_ouuDG, 5744570]
[ordered-list, [97.0, 560.0, 775.0, 36.0], wjFO_ouuDG, 5744570]
[ordered-list, [97.0, 596.0, 775.0, 36.0], wjFO_ouuDG, 5744570]
[ordered-list, [97.0, 632.0, 775.0, 36.0], wjFO_ouuDG, 5744570]
[ordered-list, [390.0, 707.0, 482.0, 36.0], shoonya_5s8IAY0P2PMIMA, 5744570]
[ordered-list, [390.0, 743.0, 482.0, 36.0], shoonya_5s8IAY0P2PMIMA, 5744570]
[ordered-list, [395.0, 783.0, 784.0, 36.0], shoonya_10sP2FABY52VSD, 5744570]
[ordered-list, [395.0, 819.0, 784.0, 36.0], shoonya_10sP2FABY52VSD, 5744570]
[ordered-list, [396.0, 883.0, 780.0, 36.0], shoonya_9sH6WSZ6ZFSDOV, 5744570]
[ordered-list, [396.0, 919.0, 780.0, 36.0], shoonya_9sH6WSZ6ZFSDOV, 5744570]
[ordered-list, [141.0, 980.0, 1039.0, 36.0], y-ef_jt2r9, 5744570]
[ordered-list, [141.0, 1016.0, 1039.0, 36.0], y-ef_jt2r9, 5744570]
[ordered-list, [141.0, 1052.0, 1039.0, 36.0], y-ef_jt2r9, 5744570]
[ordered-list, [91.0, 1097.0, 1089.0, 36.0], shoonya_7sKK3NWBWKCEBB, 5744570]
[ordered-list, [91.0, 1133.0, 1089.0, 36.0], shoonya_7sKK3NWBWKCEBB, 5744570]
[section-title, [116.0, 1243.0, 802.0, 49.5], SG3Hcs8kb0, 5744570]
[ordered-list, [96.0, 1324.0, 1087.0, 36.0], shoonya_12sTP61WPXPRXC, 5744570]
[ordered-list, [96.0, 1360.0, 1087.0, 36.0], shoonya_12sTP61WPXPRXC, 5744570]
[ordered-list, [96.0, 1396.0, 1087.0, 36.0], shoonya_12sTP61WPXPRXC, 5744570]
[ordered-list, [96.0, 1432.0, 1087.0, 36.0], shoonya_12sTP61WPXPRXC, 5744570]
[ordered-list, [96.0, 1468.0, 1087.0, 36.0], shoonya_12sTP61WPXPRXC, 5744570]
[ordered-list, [96.0, 1504.0, 1087.0, 36.0], shoonya_12sTP61WPXPRXC, 5744570]
[ordered-list, [96.0, 1540.0, 1087.0, 36.0], shoonya_12sTP61WPXPRXC, 5744570]
[ordered-list, [96.0, 1576.0, 1087.0, 36.0], shoonya_12sTP61WPXPRXC, 5744570]
