[720, 1667]
[unordered-list, [1119.0, 51.0, 437.0, 18.0], pzV11VYHsC, 5744592]
[unordered-list, [1119.0, 69.0, 437.0, 18.0], pzV11VYHsC, 5744592]
[unordered-list, [1119.0, 87.0, 437.0, 18.0], pzV11VYHsC, 5744592]
[unordered-list, [1119.0, 105.0, 437.0, 18.0], pzV11VYHsC, 5744592]
[unordered-list, [1119.0, 123.0, 437.0, 18.0], pzV11VYHsC, 5744592]
[unordered-list, [1119.0, 141.0, 437.0, 18.0], pzV11VYHsC, 5744592]
[unordered-list, [1119.0, 159.0, 437.0, 18.0], pzV11VYHsC, 5744592]
[unordered-list, [1119.0, 177.0, 437.0, 18.0], pzV11VYHsC, 5744592]
[unordered-list, [1119.0, 195.0, 437.0, 18.0], pzV11VYHsC, 5744592]
[unordered-list, [1119.0, 213.0, 437.0, 18.0], pzV11VYHsC, 5744592]
[headline, [104.0, 54.0, 402.0, 25.5], _9wzbGMXSO, 5744592]
[headline, [104.0, 79.5, 402.0, 25.5], _9wzbGMXSO, 5744592]
[headline, [104.0, 105.0, 402.0, 25.5], _9wzbGMXSO, 5744592]
[unordered-list, [1123.0, 261.0, 447.0, 18.0], xF3a4typDP, 5744592]
[unordered-list, [1123.0, 279.0, 447.0, 18.0], xF3a4typDP, 5744592]
[unordered-list, [1123.0, 297.0, 447.0, 18.0], xF3a4typDP, 5744592]
[unordered-list, [1123.0, 315.0, 447.0, 18.0], xF3a4typDP, 5744592]
[unordered-list, [1123.0, 333.0, 447.0, 18.0], xF3a4typDP, 5744592]
[unordered-list, [1123.0, 351.0, 447.0, 18.0], xF3a4typDP, 5744592]
[unordered-list, [1123.0, 369.0, 447.0, 18.0], xF3a4typDP, 5744592]
[unordered-list, [1123.0, 387.0, 447.0, 18.0], xF3a4typDP, 5744592]
[sidebar, [1617.0, 291.0, 47.0, 18.0], -YeRW78Lo0, 5744592]
[sidebar, [1617.0, 309.0, 47.0, 18.0], -YeRW78Lo0, 5744592]
[sidebar, [1617.0, 327.0, 47.0, 18.0], -YeRW78Lo0, 5744592]
[sidebar, [1617.0, 345.0, 47.0, 18.0], -YeRW78Lo0, 5744592]
[sidebar, [1617.0, 363.0, 47.0, 18.0], -YeRW78Lo0, 5744592]
[sidebar, [1617.0, 381.0, 47.0, 18.0], -YeRW78Lo0, 5744592]
[paragraph, [1216.0, 418.0, 239.0, 18.0], Hw6yBZlfbP, 5744592]
[paragraph, [1216.0, 436.0, 239.0, 18.0], Hw6yBZlfbP, 5744592]
[paragraph, [1216.0, 454.0, 239.0, 18.0], Hw6yBZlfbP, 5744592]
[paragraph, [1216.0, 472.0, 239.0, 18.0], Hw6yBZlfbP, 5744592]
[figure-caption, [79.0, 472.0, 158.0, 18.0], qJM6lTZYTM, 5744592]
[figure-caption, [79.0, 490.0, 158.0, 18.0], qJM6lTZYTM, 5744592]
[figure-caption, [79.0, 508.0, 158.0, 18.0], qJM6lTZYTM, 5744592]
[figure-caption, [79.0, 526.0, 158.0, 18.0], qJM6lTZYTM, 5744592]
[figure-caption, [79.0, 544.0, 158.0, 18.0], qJM6lTZYTM, 5744592]
[figure-caption, [79.0, 562.0, 158.0, 18.0], qJM6lTZYTM, 5744592]
[unordered-list, [1117.0, 486.0, 284.0, 18.0], Kn3-IEHKF2, 5744592]
[unordered-list, [1117.0, 504.0, 284.0, 18.0], Kn3-IEHKF2, 5744592]
[unordered-list, [1117.0, 522.0, 284.0, 18.0], Kn3-IEHKF2, 5744592]
[unordered-list, [1117.0, 540.0, 284.0, 18.0], Kn3-IEHKF2, 5744592]
[unordered-list, [1117.0, 558.0, 284.0, 18.0], Kn3-IEHKF2, 5744592]
[unordered-list, [1117.0, 576.0, 284.0, 18.0], Kn3-IEHKF2, 5744592]
[unordered-list, [1117.0, 594.0, 284.0, 18.0], Kn3-IEHKF2, 5744592]
