[842, 595]
[paragraph, [379.0, 240.0, 125.0, 18.0], cFIZxuGDDn, 5744723]
[paragraph, [379.0, 258.0, 125.0, 18.0], cFIZxuGDDn, 5744723]
[paragraph, [379.0, 276.0, 125.0, 18.0], cFIZxuGDDn, 5744723]
[paragraph, [379.0, 294.0, 125.0, 18.0], cFIZxuGDDn, 5744723]
[paragraph, [379.0, 312.0, 125.0, 18.0], cFIZxuGDDn, 5744723]
[paragraph, [379.0, 330.0, 125.0, 18.0], cFIZxuGDDn, 5744723]
[paragraph, [379.0, 348.0, 125.0, 18.0], cFIZxuGDDn, 5744723]
[paragraph, [379.0, 366.0, 125.0, 18.0], cFIZxuGDDn, 5744723]
[paragraph, [379.0, 384.0, 125.0, 18.0], cFIZxuGDDn, 5744723]
[sidebar, [93.0, 408.0, 91.0, 18.0], shoonya_2sMF7VWBH17MI6, 5744723]
[sidebar, [93.0, 426.0, 91.0, 18.0], shoonya_2sMF7VWBH17MI6, 5744723]
[sidebar, [93.0, 444.0, 91.0, 18.0], shoonya_2sMF7VWBH17MI6, 5744723]
[sidebar, [93.0, 462.0, 91.0, 18.0], shoonya_2sMF7VWBH17MI6, 5744723]
[sidebar, [93.0, 480.0, 91.0, 18.0], shoonya_2sMF7VWBH17MI6, 5744723]
[sidebar, [93.0, 498.0, 91.0, 18.0], shoonya_2sMF7VWBH17MI6, 5744723]
[sidebar, [93.0, 516.0, 91.0, 18.0], shoonya_2sMF7VWBH17MI6, 5744723]
[paragraph, [192.0, 414.0, 313.0, 18.0], shoonya_5sPRYB2LWLCMSD, 5744723]
[unordered-list, [193.0, 442.0, 314.0, 18.0], shoonya_1sCMKY2WIS7J6O, 5744723]
[unordered-list, [193.0, 460.0, 314.0, 18.0], shoonya_1sCMKY2WIS7J6O, 5744723]
[unordered-list, [193.0, 478.0, 314.0, 18.0], shoonya_1sCMKY2WIS7J6O, 5744723]
[unordered-list, [193.0, 496.0, 314.0, 18.0], shoonya_1sCMKY2WIS7J6O, 5744723]
[unordered-list, [193.0, 514.0, 314.0, 18.0], shoonya_1sCMKY2WIS7J6O, 5744723]
[unordered-list, [193.0, 532.0, 314.0, 18.0], shoonya_1sCMKY2WIS7J6O, 5744723]
[unordered-list, [193.0, 550.0, 314.0, 18.0], shoonya_1sCMKY2WIS7J6O, 5744723]
[unordered-list, [193.0, 568.0, 314.0, 18.0], shoonya_1sCMKY2WIS7J6O, 5744723]
[unordered-list, [193.0, 586.0, 314.0, 18.0], shoonya_1sCMKY2WIS7J6O, 5744723]
[unordered-list, [193.0, 604.0, 314.0, 18.0], shoonya_1sCMKY2WIS7J6O, 5744723]
[unordered-list, [193.0, 622.0, 314.0, 18.0], shoonya_1sCMKY2WIS7J6O, 5744723]
[contact-info, [97.0, 627.0, 83.0, 18.0], HsXo3AXdRM, 5744723]
[contact-info, [97.0, 645.0, 83.0, 18.0], HsXo3AXdRM, 5744723]
[footnote, [239.0, 684.0, 246.0, 18.0], 1yO5yWZu3A, 5744723]
