[842, 596]
[section-title, [262.0, 41.0, 69.0, 30.0], C2QBuHbygi, 5744553]
[paragraph, [45.0, 451.0, 497.0, 18.0], shoonya_2s0S899GHHB390, 5744553]
[unordered-list, [51.0, 532.0, 491.0, 18.0], shoonya_5sT2ONARJZHUTN, 5744553]
[unordered-list, [51.0, 550.0, 491.0, 18.0], shoonya_5sT2ONARJZHUTN, 5744553]
[unordered-list, [51.0, 568.0, 491.0, 18.0], shoonya_5sT2ONARJZHUTN, 5744553]
[unordered-list, [51.0, 586.0, 491.0, 18.0], shoonya_5sT2ONARJZHUTN, 5744553]
[paragraph, [46.0, 625.0, 317.0, 18.0], dGIaaIfTQx, 5744553]
[section-title, [51.0, 649.0, 101.0, 30.0], shoonya_6sPI3PQM88P3CW, 5744553]
[paragraph, [48.0, 679.0, 327.0, 18.0], shoonya_7sGA3QZHE8UVGX, 5744553]
[paragraph, [48.0, 697.0, 327.0, 18.0], shoonya_7sGA3QZHE8UVGX, 5744553]
[paragraph, [43.0, 764.0, 505.0, 18.0], klpH0ouUHj, 5744553]
