[842, 596]
[paragraph, [49.0, 39.0, 301.0, 18.0], shoonya_4sLDTDUG1O49RH, 5744506]
[paragraph, [49.0, 57.0, 301.0, 18.0], shoonya_4sLDTDUG1O49RH, 5744506]
[paragraph, [49.0, 75.0, 301.0, 18.0], shoonya_4sLDTDUG1O49RH, 5744506]
[paragraph, [49.0, 93.0, 301.0, 18.0], shoonya_4sLDTDUG1O49RH, 5744506]
[paragraph, [49.0, 111.0, 301.0, 18.0], shoonya_4sLDTDUG1O49RH, 5744506]
[paragraph, [49.0, 129.0, 301.0, 18.0], shoonya_4sLDTDUG1O49RH, 5744506]
[paragraph, [49.0, 147.0, 301.0, 18.0], shoonya_4sLDTDUG1O49RH, 5744506]
[paragraph, [49.0, 165.0, 301.0, 18.0], shoonya_4sLDTDUG1O49RH, 5744506]
[paragraph, [49.0, 183.0, 301.0, 18.0], shoonya_4sLDTDUG1O49RH, 5744506]
[paragraph, [49.0, 201.0, 301.0, 18.0], shoonya_4sLDTDUG1O49RH, 5744506]
[paragraph, [49.0, 219.0, 301.0, 18.0], shoonya_4sLDTDUG1O49RH, 5744506]
[paragraph, [50.0, 264.0, 298.0, 18.0], shoonya_2sIW3YO5KV1DSU, 5744506]
[paragraph, [50.0, 282.0, 298.0, 18.0], shoonya_2sIW3YO5KV1DSU, 5744506]
[paragraph, [50.0, 300.0, 298.0, 18.0], shoonya_2sIW3YO5KV1DSU, 5744506]
[paragraph, [50.0, 318.0, 298.0, 18.0], shoonya_2sIW3YO5KV1DSU, 5744506]
[paragraph, [50.0, 336.0, 298.0, 18.0], shoonya_2sIW3YO5KV1DSU, 5744506]
[paragraph, [49.0, 362.0, 494.0, 18.0], shoonya_5sU16YUSJEFJOF, 5744506]
[paragraph, [49.0, 380.0, 494.0, 18.0], shoonya_5sU16YUSJEFJOF, 5744506]
[paragraph, [49.0, 398.0, 494.0, 18.0], shoonya_5sU16YUSJEFJOF, 5744506]
[section-title, [228.0, 435.0, 136.0, 30.0], YND3QSCEfh, 5744506]
[paragraph, [49.0, 477.0, 286.0, 18.0], shoonya_0sY2CQDI4IEXMN, 5744506]
[paragraph, [49.0, 495.0, 286.0, 18.0], shoonya_0sY2CQDI4IEXMN, 5744506]
[paragraph, [49.0, 513.0, 286.0, 18.0], shoonya_0sY2CQDI4IEXMN, 5744506]
[paragraph, [49.0, 531.0, 286.0, 18.0], shoonya_0sY2CQDI4IEXMN, 5744506]
[paragraph, [49.0, 549.0, 286.0, 18.0], shoonya_0sY2CQDI4IEXMN, 5744506]
[paragraph, [49.0, 567.0, 286.0, 18.0], shoonya_0sY2CQDI4IEXMN, 5744506]
[paragraph, [49.0, 585.0, 286.0, 18.0], shoonya_0sY2CQDI4IEXMN, 5744506]
[paragraph, [49.0, 603.0, 286.0, 18.0], shoonya_0sY2CQDI4IEXMN, 5744506]
[paragraph, [49.0, 621.0, 286.0, 18.0], shoonya_0sY2CQDI4IEXMN, 5744506]
[paragraph, [49.0, 639.0, 286.0, 18.0], shoonya_0sY2CQDI4IEXMN, 5744506]
[paragraph, [49.0, 657.0, 286.0, 18.0], shoonya_0sY2CQDI4IEXMN, 5744506]
[paragraph, [49.0, 675.0, 286.0, 18.0], shoonya_0sY2CQDI4IEXMN, 5744506]
[paragraph, [49.0, 703.0, 286.0, 18.0], shoonya_7sZIZSOVC6V5M4, 5744506]
[paragraph, [49.0, 721.0, 286.0, 18.0], shoonya_7sZIZSOVC6V5M4, 5744506]
[paragraph, [49.0, 739.0, 286.0, 18.0], shoonya_7sZIZSOVC6V5M4, 5744506]
[paragraph, [49.0, 757.0, 286.0, 18.0], shoonya_7sZIZSOVC6V5M4, 5744506]
[paragraph, [49.0, 775.0, 286.0, 18.0], shoonya_7sZIZSOVC6V5M4, 5744506]
