[2200, 1700]
[folio, [1336.0, 59.0, 278.0, 36.0], shoonya_0s6X6BPP562GJD, 5754858]
[dateline, [142.0, 131.0, 403.0, 64.5], QqAiUugRrD, 5754858]
[folio, [1306.0, 140.0, 246.0, 36.0], 8ZUqlXzgvT, 5754858]
[placeholder-text, [881.0, 359.0, 456.0, 18.0], cqvv2Amco-, 5754858]
[placeholder-text, [881.0, 377.0, 456.0, 18.0], cqvv2Amco-, 5754858]
[placeholder-text, [881.0, 395.0, 456.0, 18.0], cqvv2Amco-, 5754858]
[placeholder-text, [881.0, 413.0, 456.0, 18.0], cqvv2Amco-, 5754858]
[placeholder-text, [881.0, 431.0, 456.0, 18.0], cqvv2Amco-, 5754858]
[placeholder-text, [881.0, 449.0, 456.0, 18.0], cqvv2Amco-, 5754858]
[placeholder-text, [881.0, 467.0, 456.0, 18.0], cqvv2Amco-, 5754858]
[placeholder-text, [881.0, 485.0, 456.0, 18.0], cqvv2Amco-, 5754858]
[placeholder-text, [881.0, 503.0, 456.0, 18.0], cqvv2Amco-, 5754858]
[placeholder-text, [881.0, 521.0, 456.0, 18.0], cqvv2Amco-, 5754858]
[placeholder-text, [881.0, 539.0, 456.0, 18.0], cqvv2Amco-, 5754858]
[placeholder-text, [881.0, 557.0, 456.0, 18.0], cqvv2Amco-, 5754858]
[placeholder-text, [881.0, 575.0, 456.0, 18.0], cqvv2Amco-, 5754858]
[placeholder-text, [881.0, 593.0, 456.0, 18.0], cqvv2Amco-, 5754858]
[placeholder-text, [881.0, 611.0, 456.0, 18.0], cqvv2Amco-, 5754858]
[options, [214.0, 420.0, 580.0, 36.0], AsLNwN76Wh, 5754858]
[options, [214.0, 456.0, 580.0, 36.0], AsLNwN76Wh, 5754858]
[options, [214.0, 492.0, 580.0, 36.0], AsLNwN76Wh, 5754858]
[options, [214.0, 528.0, 580.0, 36.0], AsLNwN76Wh, 5754858]
[options, [214.0, 564.0, 580.0, 36.0], AsLNwN76Wh, 5754858]
[options, [214.0, 600.0, 580.0, 36.0], AsLNwN76Wh, 5754858]
