[2280, 1780]
[options, [226.0, 260.0, 1370.0, 36.0], jE_DugKfRO, 5755548]
[options, [242.0, 409.0, 427.0, 36.0], 181GiCjpnR, 5755548]
[options, [242.0, 445.0, 427.0, 36.0], 181GiCjpnR, 5755548]
[options, [242.0, 481.0, 427.0, 36.0], 181GiCjpnR, 5755548]
[options, [242.0, 517.0, 427.0, 36.0], 181GiCjpnR, 5755548]
[options, [242.0, 553.0, 427.0, 36.0], 181GiCjpnR, 5755548]
[options, [242.0, 589.0, 427.0, 36.0], 181GiCjpnR, 5755548]
[options, [242.0, 625.0, 427.0, 36.0], 181GiCjpnR, 5755548]
[options, [231.0, 740.0, 1355.0, 36.0], vpMhWICupL, 5755548]
[options, [231.0, 776.0, 1355.0, 36.0], vpMhWICupL, 5755548]
[options, [235.0, 887.0, 1352.0, 36.0], 5mYoTKvcJj, 5755548]
[options, [235.0, 923.0, 1352.0, 36.0], 5mYoTKvcJj, 5755548]
[options, [224.0, 1047.0, 1368.0, 36.0], h9tcGQHWFX, 5755548]
[options, [253.0, 1185.0, 1308.0, 36.0], lmXXEodZda, 5755548]
[options, [244.0, 1323.0, 1355.0, 36.0], oD0FqyBh3z, 5755548]
[ordered-list, [166.0, 1594.0, 1352.0, 36.0], esYaHGgvaL, 5755548]
[ordered-list, [166.0, 1630.0, 1352.0, 36.0], esYaHGgvaL, 5755548]
[ordered-list, [166.0, 1666.0, 1352.0, 36.0], esYaHGgvaL, 5755548]
[ordered-list, [166.0, 1702.0, 1352.0, 36.0], esYaHGgvaL, 5755548]
[ordered-list, [166.0, 1738.0, 1352.0, 36.0], esYaHGgvaL, 5755548]
[ordered-list, [166.0, 1774.0, 1352.0, 36.0], esYaHGgvaL, 5755548]
[ordered-list, [166.0, 1810.0, 1352.0, 36.0], esYaHGgvaL, 5755548]
[ordered-list, [166.0, 1846.0, 1352.0, 36.0], esYaHGgvaL, 5755548]
[ordered-list, [166.0, 1882.0, 1352.0, 36.0], esYaHGgvaL, 5755548]
[ordered-list, [166.0, 1918.0, 1352.0, 36.0], esYaHGgvaL, 5755548]
[ordered-list, [166.0, 1954.0, 1352.0, 36.0], esYaHGgvaL, 5755548]
[placeholder-text, [433.0, 1619.0, 1083.0, 18.0], bcIvEaMSfM, 5755548]
[placeholder-text, [433.0, 1637.0, 1083.0, 18.0], bcIvEaMSfM, 5755548]
[placeholder-text, [439.0, 1719.0, 1079.0, 18.0], OaVyNhdFSb, 5755548]
[placeholder-text, [439.0, 1737.0, 1079.0, 18.0], OaVyNhdFSb, 5755548]
[placeholder-text, [436.0, 1840.0, 1081.0, 18.0], QD69-dK1hP, 5755548]
[placeholder-text, [436.0, 1858.0, 1081.0, 18.0], QD69-dK1hP, 5755548]
[placeholder-text, [436.0, 1876.0, 1081.0, 18.0], QD69-dK1hP, 5755548]
[placeholder-text, [425.0, 1941.0, 1087.0, 18.0], wcV3De7H3v, 5755548]
[placeholder-text, [425.0, 1959.0, 1087.0, 18.0], wcV3De7H3v, 5755548]
[folio, [745.0, 2122.0, 211.0, 36.0], 3kjcbzLvFx, 5755548]
[folio, [691.0, 2173.0, 391.0, 36.0], CiB9EwOybL, 5755548]
