[2278, 1778]
[folio, [93.0, 46.0, 288.0, 36.0], 02keTaFit7, 5755213]
[folio, [1453.0, 120.0, 196.0, 36.0], shoonya_0s1HEEW7KGLPG6, 5755213]
[folio, [1453.0, 156.0, 196.0, 36.0], shoonya_0s1HEEW7KGLPG6, 5755213]
[section-title, [691.0, 248.0, 451.0, 52.5], yH6IwPsq7R, 5755213]
[options, [308.0, 680.0, 1256.0, 36.0], shoonya_8s5YMW6R753X6L, 5755213]
[options, [308.0, 716.0, 1256.0, 36.0], shoonya_8s5YMW6R753X6L, 5755213]
[options, [308.0, 752.0, 1256.0, 36.0], shoonya_8s5YMW6R753X6L, 5755213]
[options, [904.0, 971.0, 704.0, 36.0], XWzQAur41f, 5755213]
[options, [904.0, 1007.0, 704.0, 36.0], XWzQAur41f, 5755213]
[options, [904.0, 1043.0, 704.0, 36.0], XWzQAur41f, 5755213]
[options, [904.0, 1079.0, 704.0, 36.0], XWzQAur41f, 5755213]
[options, [904.0, 1115.0, 704.0, 36.0], XWzQAur41f, 5755213]
[options, [904.0, 1151.0, 704.0, 36.0], XWzQAur41f, 5755213]
[options, [904.0, 1187.0, 704.0, 36.0], XWzQAur41f, 5755213]
[options, [904.0, 1223.0, 704.0, 36.0], XWzQAur41f, 5755213]
[options, [904.0, 1259.0, 704.0, 36.0], XWzQAur41f, 5755213]
[options, [904.0, 1295.0, 704.0, 36.0], XWzQAur41f, 5755213]
[options, [904.0, 1331.0, 704.0, 36.0], XWzQAur41f, 5755213]
[options, [260.0, 973.0, 571.0, 36.0], ihh7nGzU-V, 5755213]
[options, [260.0, 1009.0, 571.0, 36.0], ihh7nGzU-V, 5755213]
[options, [260.0, 1045.0, 571.0, 36.0], ihh7nGzU-V, 5755213]
[options, [260.0, 1081.0, 571.0, 36.0], ihh7nGzU-V, 5755213]
[options, [260.0, 1117.0, 571.0, 36.0], ihh7nGzU-V, 5755213]
[options, [260.0, 1153.0, 571.0, 36.0], ihh7nGzU-V, 5755213]
[options, [260.0, 1189.0, 571.0, 36.0], ihh7nGzU-V, 5755213]
[options, [260.0, 1225.0, 571.0, 36.0], ihh7nGzU-V, 5755213]
[options, [260.0, 1261.0, 571.0, 36.0], ihh7nGzU-V, 5755213]
[options, [260.0, 1297.0, 571.0, 36.0], ihh7nGzU-V, 5755213]
[options, [260.0, 1333.0, 571.0, 36.0], ihh7nGzU-V, 5755213]
[options, [260.0, 1369.0, 571.0, 36.0], ihh7nGzU-V, 5755213]
[placeholder-text, [255.0, 1544.0, 1357.0, 18.0], 7UglhZiy6X, 5755213]
[placeholder-text, [255.0, 1562.0, 1357.0, 18.0], 7UglhZiy6X, 5755213]
[placeholder-text, [255.0, 1580.0, 1357.0, 18.0], 7UglhZiy6X, 5755213]
[placeholder-text, [255.0, 1598.0, 1357.0, 18.0], 7UglhZiy6X, 5755213]
[placeholder-text, [255.0, 1616.0, 1357.0, 18.0], 7UglhZiy6X, 5755213]
[placeholder-text, [255.0, 1634.0, 1357.0, 18.0], 7UglhZiy6X, 5755213]
[placeholder-text, [1255.0, 1755.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 1773.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 1791.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 1809.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 1827.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 1845.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 1863.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 1881.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 1899.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 1917.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 1935.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 1953.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 1971.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 1989.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 2007.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
[placeholder-text, [1255.0, 2025.0, 262.0, 18.0], zMrwZPIScZ, 5755213]
