[1447, 1063]
[folio, [681.0, 101.0, 281.0, 18.0], 5LW_Ya2fT2, 5763079]
[folio, [681.0, 119.0, 281.0, 18.0], 5LW_Ya2fT2, 5763079]
[section-title, [140.0, 332.0, 355.0, 30.0], shoonya_0sMTSDZK3C3F2H, 5763079]
[paragraph, [107.0, 389.0, 857.0, 18.0], tW4pUKm3yL, 5763079]
[paragraph, [107.0, 407.0, 857.0, 18.0], tW4pUKm3yL, 5763079]
[paragraph, [107.0, 425.0, 857.0, 18.0], tW4pUKm3yL, 5763079]
[paragraph, [107.0, 443.0, 857.0, 18.0], tW4pUKm3yL, 5763079]
[paragraph, [107.0, 461.0, 857.0, 18.0], tW4pUKm3yL, 5763079]
[paragraph, [107.0, 479.0, 857.0, 18.0], tW4pUKm3yL, 5763079]
[paragraph, [107.0, 497.0, 857.0, 18.0], tW4pUKm3yL, 5763079]
[paragraph, [107.0, 515.0, 857.0, 18.0], tW4pUKm3yL, 5763079]
[paragraph, [107.0, 533.0, 857.0, 18.0], tW4pUKm3yL, 5763079]
[paragraph, [113.0, 592.0, 845.0, 18.0], shoonya_1s2Z0Y9M8FEQZ1, 5763079]
[paragraph, [113.0, 610.0, 845.0, 18.0], shoonya_1s2Z0Y9M8FEQZ1, 5763079]
[paragraph, [113.0, 628.0, 845.0, 18.0], shoonya_1s2Z0Y9M8FEQZ1, 5763079]
[paragraph, [113.0, 646.0, 845.0, 18.0], shoonya_1s2Z0Y9M8FEQZ1, 5763079]
[paragraph, [113.0, 664.0, 845.0, 18.0], shoonya_1s2Z0Y9M8FEQZ1, 5763079]
[paragraph, [113.0, 682.0, 845.0, 18.0], shoonya_1s2Z0Y9M8FEQZ1, 5763079]
[paragraph, [113.0, 700.0, 845.0, 18.0], shoonya_1s2Z0Y9M8FEQZ1, 5763079]
[paragraph, [113.0, 718.0, 845.0, 18.0], shoonya_1s2Z0Y9M8FEQZ1, 5763079]
[paragraph, [113.0, 736.0, 845.0, 18.0], shoonya_1s2Z0Y9M8FEQZ1, 5763079]
[paragraph, [113.0, 754.0, 845.0, 18.0], shoonya_1s2Z0Y9M8FEQZ1, 5763079]
[paragraph, [113.0, 772.0, 845.0, 18.0], shoonya_1s2Z0Y9M8FEQZ1, 5763079]
[paragraph, [113.0, 790.0, 845.0, 18.0], shoonya_1s2Z0Y9M8FEQZ1, 5763079]
[paragraph, [113.0, 808.0, 845.0, 18.0], shoonya_1s2Z0Y9M8FEQZ1, 5763079]
[paragraph, [113.0, 826.0, 845.0, 18.0], shoonya_1s2Z0Y9M8FEQZ1, 5763079]
[paragraph, [113.0, 844.0, 845.0, 18.0], shoonya_1s2Z0Y9M8FEQZ1, 5763079]
[paragraph, [107.0, 901.0, 848.0, 18.0], shoonya_3sM3WN2GANX2C0, 5763079]
[paragraph, [107.0, 919.0, 848.0, 18.0], shoonya_3sM3WN2GANX2C0, 5763079]
[paragraph, [107.0, 937.0, 848.0, 18.0], shoonya_3sM3WN2GANX2C0, 5763079]
[paragraph, [107.0, 955.0, 848.0, 18.0], shoonya_3sM3WN2GANX2C0, 5763079]
[paragraph, [107.0, 973.0, 848.0, 18.0], shoonya_3sM3WN2GANX2C0, 5763079]
[paragraph, [107.0, 991.0, 848.0, 18.0], shoonya_3sM3WN2GANX2C0, 5763079]
[contact-info, [600.0, 1090.0, 379.0, 18.0], Xwuodr_jGL, 5763079]
[contact-info, [600.0, 1108.0, 379.0, 18.0], Xwuodr_jGL, 5763079]
[contact-info, [600.0, 1126.0, 379.0, 18.0], Xwuodr_jGL, 5763079]
[contact-info, [600.0, 1144.0, 379.0, 18.0], Xwuodr_jGL, 5763079]
[contact-info, [600.0, 1162.0, 379.0, 18.0], Xwuodr_jGL, 5763079]
