[576, 757]
[folio, [23.0, 32.0, 94.0, 18.0], shoonya_3sELYAJYMXYP8V, 5762973]
[folio, [23.0, 50.0, 94.0, 18.0], shoonya_3sELYAJYMXYP8V, 5762973]
[section-title, [295.0, 34.0, 172.0, 30.0], khf-UARevp, 5762973]
[folio, [295.0, 109.0, 250.0, 18.0], UkvHWjIU6l, 5762973]
[folio, [295.0, 127.0, 250.0, 18.0], UkvHWjIU6l, 5762973]
[paragraph, [298.0, 177.0, 304.0, 18.0], shoonya_2sH9TC232ZB4KQ, 5762973]
[paragraph, [298.0, 195.0, 304.0, 18.0], shoonya_2sH9TC232ZB4KQ, 5762973]
[paragraph, [298.0, 213.0, 304.0, 18.0], shoonya_2sH9TC232ZB4KQ, 5762973]
[paragraph, [298.0, 248.0, 305.0, 18.0], H_8ugf9pKY, 5762973]
[paragraph, [298.0, 266.0, 305.0, 18.0], H_8ugf9pKY, 5762973]
[paragraph, [298.0, 284.0, 305.0, 18.0], H_8ugf9pKY, 5762973]
[unordered-list, [297.0, 344.0, 315.0, 18.0], shoonya_0sJ1BG688QQS16, 5762973]
[unordered-list, [297.0, 362.0, 315.0, 18.0], shoonya_0sJ1BG688QQS16, 5762973]
[unordered-list, [297.0, 380.0, 315.0, 18.0], shoonya_0sJ1BG688QQS16, 5762973]
[unordered-list, [297.0, 398.0, 315.0, 18.0], shoonya_0sJ1BG688QQS16, 5762973]
[unordered-list, [297.0, 416.0, 315.0, 18.0], shoonya_0sJ1BG688QQS16, 5762973]
