[576, 757]
[headline, [40.0, 35.0, 296.0, 25.5], Ck08TadNbg, 5763033]
[headline, [40.0, 60.5, 296.0, 25.5], Ck08TadNbg, 5763033]
[paragraph, [37.0, 115.0, 601.0, 18.0], jpQBUEjeja, 5763033]
[ordered-list, [38.0, 160.0, 395.0, 18.0], Ztmb_RH26s, 5763033]
[ordered-list, [38.0, 178.0, 395.0, 18.0], Ztmb_RH26s, 5763033]
[unordered-list, [36.0, 217.0, 667.0, 18.0], dFTLVwheVJ, 5763033]
[unordered-list, [36.0, 235.0, 667.0, 18.0], dFTLVwheVJ, 5763033]
[unordered-list, [36.0, 253.0, 667.0, 18.0], dFTLVwheVJ, 5763033]
[unordered-list, [36.0, 271.0, 667.0, 18.0], dFTLVwheVJ, 5763033]
[unordered-list, [36.0, 289.0, 667.0, 18.0], dFTLVwheVJ, 5763033]
[unordered-list, [36.0, 307.0, 667.0, 18.0], dFTLVwheVJ, 5763033]
[unordered-list, [38.0, 348.0, 665.0, 18.0], DQk8Pa6dal, 5763033]
[unordered-list, [38.0, 366.0, 665.0, 18.0], DQk8Pa6dal, 5763033]
[unordered-list, [38.0, 384.0, 665.0, 18.0], DQk8Pa6dal, 5763033]
[unordered-list, [38.0, 402.0, 665.0, 18.0], DQk8Pa6dal, 5763033]
[unordered-list, [38.0, 420.0, 665.0, 18.0], DQk8Pa6dal, 5763033]
[unordered-list, [38.0, 438.0, 665.0, 18.0], DQk8Pa6dal, 5763033]
[unordered-list, [37.0, 488.0, 671.0, 18.0], WNvThF8eeJ, 5763033]
[unordered-list, [37.0, 506.0, 671.0, 18.0], WNvThF8eeJ, 5763033]
[unordered-list, [37.0, 524.0, 671.0, 18.0], WNvThF8eeJ, 5763033]
