[1725, 1313]
[paragraph, [740.0, 140.0, 450.0, 36.0], shoonya_6sWU2BZZ709NAD, 5771835]
[paragraph, [740.0, 176.0, 450.0, 36.0], shoonya_6sWU2BZZ709NAD, 5771835]
[paragraph, [740.0, 212.0, 450.0, 36.0], shoonya_6sWU2BZZ709NAD, 5771835]
[paragraph, [740.0, 248.0, 450.0, 36.0], shoonya_6sWU2BZZ709NAD, 5771835]
[paragraph, [740.0, 284.0, 450.0, 36.0], shoonya_6sWU2BZZ709NAD, 5771835]
[paragraph, [741.0, 387.0, 448.0, 36.0], shoonya_5sNNCX24TWXWJG, 5771835]
[paragraph, [741.0, 423.0, 448.0, 36.0], shoonya_5sNNCX24TWXWJG, 5771835]
[paragraph, [741.0, 459.0, 448.0, 36.0], shoonya_5sNNCX24TWXWJG, 5771835]
[paragraph, [741.0, 495.0, 448.0, 36.0], shoonya_5sNNCX24TWXWJG, 5771835]
[paragraph, [741.0, 531.0, 448.0, 36.0], shoonya_5sNNCX24TWXWJG, 5771835]
[paragraph, [741.0, 567.0, 448.0, 36.0], shoonya_5sNNCX24TWXWJG, 5771835]
[paragraph, [741.0, 603.0, 448.0, 36.0], shoonya_5sNNCX24TWXWJG, 5771835]
[paragraph, [742.0, 680.0, 448.0, 36.0], shoonya_4sW0WBYY5YA86Z, 5771835]
[paragraph, [742.0, 716.0, 448.0, 36.0], shoonya_4sW0WBYY5YA86Z, 5771835]
[paragraph, [742.0, 752.0, 448.0, 36.0], shoonya_4sW0WBYY5YA86Z, 5771835]
[paragraph, [742.0, 788.0, 448.0, 36.0], shoonya_4sW0WBYY5YA86Z, 5771835]
[paragraph, [119.0, 824.0, 530.0, 36.0], shoonya_3sXTO87C8NLQM5, 5771835]
[paragraph, [119.0, 860.0, 530.0, 36.0], shoonya_3sXTO87C8NLQM5, 5771835]
[paragraph, [119.0, 896.0, 530.0, 36.0], shoonya_3sXTO87C8NLQM5, 5771835]
[paragraph, [119.0, 932.0, 530.0, 36.0], shoonya_3sXTO87C8NLQM5, 5771835]
[paragraph, [657.0, 837.0, 534.0, 36.0], shoonya_7sF79ZC78R802N, 5771835]
[paragraph, [657.0, 873.0, 534.0, 36.0], shoonya_7sF79ZC78R802N, 5771835]
[paragraph, [657.0, 909.0, 534.0, 36.0], shoonya_7sF79ZC78R802N, 5771835]
[paragraph, [657.0, 945.0, 534.0, 36.0], shoonya_7sF79ZC78R802N, 5771835]
[paragraph, [657.0, 981.0, 534.0, 36.0], shoonya_7sF79ZC78R802N, 5771835]
[paragraph, [657.0, 1017.0, 534.0, 36.0], shoonya_7sF79ZC78R802N, 5771835]
[paragraph, [657.0, 1053.0, 534.0, 36.0], shoonya_7sF79ZC78R802N, 5771835]
[paragraph, [657.0, 1089.0, 534.0, 36.0], shoonya_7sF79ZC78R802N, 5771835]
[paragraph, [118.0, 986.0, 529.0, 36.0], shoonya_8s49D2Z2YD7LTK, 5771835]
[paragraph, [118.0, 1022.0, 529.0, 36.0], shoonya_8s49D2Z2YD7LTK, 5771835]
[paragraph, [118.0, 1058.0, 529.0, 36.0], shoonya_8s49D2Z2YD7LTK, 5771835]
[paragraph, [118.0, 1118.0, 443.0, 36.0], shoonya_10sL20MCGMRGCU, 5771835]
[paragraph, [118.0, 1154.0, 443.0, 36.0], shoonya_10sL20MCGMRGCU, 5771835]
[paragraph, [117.0, 1215.0, 444.0, 36.0], shoonya_2sQP1OEXKEMHO2, 5771835]
[paragraph, [117.0, 1251.0, 444.0, 36.0], shoonya_2sQP1OEXKEMHO2, 5771835]
[paragraph, [117.0, 1287.0, 444.0, 36.0], shoonya_2sQP1OEXKEMHO2, 5771835]
[paragraph, [117.0, 1323.0, 444.0, 36.0], shoonya_2sQP1OEXKEMHO2, 5771835]
[paragraph, [117.0, 1359.0, 444.0, 36.0], shoonya_2sQP1OEXKEMHO2, 5771835]
[paragraph, [117.0, 1395.0, 444.0, 36.0], shoonya_2sQP1OEXKEMHO2, 5771835]
[paragraph, [117.0, 1431.0, 444.0, 36.0], shoonya_2sQP1OEXKEMHO2, 5771835]
[paragraph, [117.0, 1467.0, 444.0, 36.0], shoonya_2sQP1OEXKEMHO2, 5771835]
[paragraph, [117.0, 1503.0, 444.0, 36.0], shoonya_2sQP1OEXKEMHO2, 5771835]
[folio, [573.0, 1572.0, 154.0, 36.0], shoonya_12sFA9D53ZO8X3, 5771835]
