[1736, 1323]
[paragraph, [125.0, 196.0, 538.0, 36.0], vb6MllbwGl, 5771556]
[paragraph, [125.0, 232.0, 538.0, 36.0], vb6MllbwGl, 5771556]
[paragraph, [125.0, 268.0, 538.0, 36.0], vb6MllbwGl, 5771556]
[paragraph, [125.0, 304.0, 538.0, 36.0], vb6MllbwGl, 5771556]
[paragraph, [125.0, 340.0, 538.0, 36.0], vb6MllbwGl, 5771556]
[paragraph, [120.0, 404.0, 538.0, 36.0], jRNnM8d9K8, 5771556]
[paragraph, [120.0, 440.0, 538.0, 36.0], jRNnM8d9K8, 5771556]
[paragraph, [120.0, 476.0, 538.0, 36.0], jRNnM8d9K8, 5771556]
[paragraph, [120.0, 512.0, 538.0, 36.0], jRNnM8d9K8, 5771556]
[paragraph, [120.0, 548.0, 538.0, 36.0], jRNnM8d9K8, 5771556]
[paragraph, [120.0, 584.0, 538.0, 36.0], jRNnM8d9K8, 5771556]
[paragraph, [120.0, 620.0, 538.0, 36.0], jRNnM8d9K8, 5771556]
[paragraph, [120.0, 656.0, 538.0, 36.0], jRNnM8d9K8, 5771556]
[paragraph, [662.0, 491.0, 534.0, 36.0], AgPhAQGrKO, 5771556]
[paragraph, [662.0, 527.0, 534.0, 36.0], AgPhAQGrKO, 5771556]
[paragraph, [662.0, 563.0, 534.0, 36.0], AgPhAQGrKO, 5771556]
[paragraph, [662.0, 599.0, 534.0, 36.0], AgPhAQGrKO, 5771556]
[paragraph, [662.0, 635.0, 534.0, 36.0], AgPhAQGrKO, 5771556]
[paragraph, [129.0, 1084.0, 516.0, 36.0], o2HVTI6eHL, 5771556]
[paragraph, [129.0, 1120.0, 516.0, 36.0], o2HVTI6eHL, 5771556]
[paragraph, [662.0, 1133.0, 542.0, 36.0], PDyePXUH3S, 5771556]
[paragraph, [662.0, 1169.0, 542.0, 36.0], PDyePXUH3S, 5771556]
[paragraph, [662.0, 1205.0, 542.0, 36.0], PDyePXUH3S, 5771556]
[paragraph, [662.0, 1241.0, 542.0, 36.0], PDyePXUH3S, 5771556]
[paragraph, [119.0, 1166.0, 534.0, 36.0], kqNQh4gRBb, 5771556]
[paragraph, [119.0, 1202.0, 534.0, 36.0], kqNQh4gRBb, 5771556]
[paragraph, [119.0, 1238.0, 534.0, 36.0], kqNQh4gRBb, 5771556]
[paragraph, [119.0, 1274.0, 534.0, 36.0], kqNQh4gRBb, 5771556]
[paragraph, [659.0, 1338.0, 536.0, 36.0], GsHUMmSXRO, 5771556]
[paragraph, [659.0, 1374.0, 536.0, 36.0], GsHUMmSXRO, 5771556]
[paragraph, [659.0, 1410.0, 536.0, 36.0], GsHUMmSXRO, 5771556]
[paragraph, [659.0, 1446.0, 536.0, 36.0], GsHUMmSXRO, 5771556]
[paragraph, [659.0, 1482.0, 536.0, 36.0], GsHUMmSXRO, 5771556]
[paragraph, [119.0, 1391.0, 538.0, 36.0], iaw1UIp5gN, 5771556]
[paragraph, [119.0, 1427.0, 538.0, 36.0], iaw1UIp5gN, 5771556]
[paragraph, [128.0, 1509.0, 536.0, 36.0], ZiGCp8_-1F, 5771556]
[folio, [594.0, 1578.0, 152.0, 36.0], C_YL3lj9lK, 5771556]
[folio, [74.0, 1684.0, 159.0, 36.0], shoonya_0sW6XV51P1UK6C, 5771556]
