[1725, 1313]
[headline, [147.0, 203.0, 475.0, 37.5], shoonya_7sYA6C30GKXP3B, 5771300]
[headline, [147.0, 240.5, 475.0, 37.5], shoonya_7sYA6C30GKXP3B, 5771300]
[headline, [147.0, 278.0, 475.0, 37.5], shoonya_7sYA6C30GKXP3B, 5771300]
[headline, [147.0, 315.5, 475.0, 37.5], shoonya_7sYA6C30GKXP3B, 5771300]
[headline, [147.0, 353.0, 475.0, 37.5], shoonya_7sYA6C30GKXP3B, 5771300]
[headline, [147.0, 390.5, 475.0, 37.5], shoonya_7sYA6C30GKXP3B, 5771300]
[headline, [147.0, 428.0, 475.0, 37.5], shoonya_7sYA6C30GKXP3B, 5771300]
[headline, [147.0, 465.5, 475.0, 37.5], shoonya_7sYA6C30GKXP3B, 5771300]
[paragraph, [120.0, 561.0, 530.0, 36.0], shoonya_1sWX2BTPR5UV5Q, 5771300]
[paragraph, [120.0, 597.0, 530.0, 36.0], shoonya_1sWX2BTPR5UV5Q, 5771300]
[paragraph, [120.0, 633.0, 530.0, 36.0], shoonya_1sWX2BTPR5UV5Q, 5771300]
[paragraph, [120.0, 669.0, 530.0, 36.0], shoonya_1sWX2BTPR5UV5Q, 5771300]
[paragraph, [120.0, 705.0, 530.0, 36.0], shoonya_1sWX2BTPR5UV5Q, 5771300]
[paragraph, [120.0, 741.0, 530.0, 36.0], shoonya_1sWX2BTPR5UV5Q, 5771300]
[paragraph, [663.0, 623.0, 534.0, 36.0], shoonya_2sIY4A8CKJDYQO, 5771300]
[paragraph, [663.0, 659.0, 534.0, 36.0], shoonya_2sIY4A8CKJDYQO, 5771300]
[paragraph, [663.0, 695.0, 534.0, 36.0], shoonya_2sIY4A8CKJDYQO, 5771300]
[paragraph, [663.0, 731.0, 534.0, 36.0], shoonya_2sIY4A8CKJDYQO, 5771300]
[paragraph, [663.0, 767.0, 534.0, 36.0], shoonya_2sIY4A8CKJDYQO, 5771300]
[paragraph, [663.0, 803.0, 534.0, 36.0], shoonya_2sIY4A8CKJDYQO, 5771300]
[paragraph, [121.0, 810.0, 527.0, 36.0], shoonya_0s9OD758GHTPZ9, 5771300]
[paragraph, [121.0, 846.0, 527.0, 36.0], shoonya_0s9OD758GHTPZ9, 5771300]
[paragraph, [121.0, 882.0, 527.0, 36.0], shoonya_0s9OD758GHTPZ9, 5771300]
[paragraph, [121.0, 918.0, 527.0, 36.0], shoonya_0s9OD758GHTPZ9, 5771300]
[paragraph, [121.0, 954.0, 527.0, 36.0], shoonya_0s9OD758GHTPZ9, 5771300]
