[1823, 1375]
[folio, [607.0, 96.0, 156.0, 36.0], shoonya_5sA52D5NLI6ZI7, 5683992]
[paragraph, [688.0, 161.0, 587.0, 36.0], shoonya_7s9TYCD331SWA4, 5683992]
[paragraph, [688.0, 197.0, 587.0, 36.0], shoonya_7s9TYCD331SWA4, 5683992]
[paragraph, [688.0, 233.0, 587.0, 36.0], shoonya_7s9TYCD331SWA4, 5683992]
[paragraph, [688.0, 269.0, 587.0, 36.0], shoonya_7s9TYCD331SWA4, 5683992]
[paragraph, [688.0, 305.0, 587.0, 36.0], shoonya_7s9TYCD331SWA4, 5683992]
[paragraph, [688.0, 341.0, 587.0, 36.0], shoonya_7s9TYCD331SWA4, 5683992]
[paragraph, [688.0, 377.0, 587.0, 36.0], shoonya_7s9TYCD331SWA4, 5683992]
[paragraph, [102.0, 164.0, 575.0, 36.0], shoonya_2sR5QCBCRKG1N1, 5683992]
[paragraph, [102.0, 200.0, 575.0, 36.0], shoonya_2sR5QCBCRKG1N1, 5683992]
[paragraph, [102.0, 236.0, 575.0, 36.0], shoonya_2sR5QCBCRKG1N1, 5683992]
[paragraph, [102.0, 272.0, 575.0, 36.0], shoonya_2sR5QCBCRKG1N1, 5683992]
[paragraph, [102.0, 308.0, 575.0, 36.0], shoonya_2sR5QCBCRKG1N1, 5683992]
[paragraph, [102.0, 344.0, 575.0, 36.0], shoonya_2sR5QCBCRKG1N1, 5683992]
[paragraph, [102.0, 380.0, 575.0, 36.0], shoonya_2sR5QCBCRKG1N1, 5683992]
[paragraph, [102.0, 416.0, 575.0, 36.0], shoonya_2sR5QCBCRKG1N1, 5683992]
[paragraph, [102.0, 452.0, 575.0, 36.0], shoonya_2sR5QCBCRKG1N1, 5683992]
[paragraph, [102.0, 488.0, 575.0, 36.0], shoonya_2sR5QCBCRKG1N1, 5683992]
[paragraph, [102.0, 524.0, 575.0, 36.0], shoonya_2sR5QCBCRKG1N1, 5683992]
[paragraph, [102.0, 560.0, 575.0, 36.0], shoonya_2sR5QCBCRKG1N1, 5683992]
[paragraph, [102.0, 596.0, 575.0, 36.0], shoonya_2sR5QCBCRKG1N1, 5683992]
[paragraph, [690.0, 426.0, 587.0, 36.0], shoonya_3sL4NCQAG377Q4, 5683992]
[paragraph, [690.0, 462.0, 587.0, 36.0], shoonya_3sL4NCQAG377Q4, 5683992]
[paragraph, [690.0, 498.0, 587.0, 36.0], shoonya_3sL4NCQAG377Q4, 5683992]
[paragraph, [690.0, 534.0, 587.0, 36.0], shoonya_3sL4NCQAG377Q4, 5683992]
[paragraph, [690.0, 570.0, 587.0, 36.0], shoonya_3sL4NCQAG377Q4, 5683992]
