[1606, 1056]
[folio, [446.0, 103.0, 160.0, 36.0], shoonya_1s146UPJF7DZKI, 5684154]
[paragraph, [105.0, 158.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 194.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 230.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 266.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 302.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 338.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 374.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 410.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 446.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 482.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 518.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 554.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 590.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 626.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 662.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 698.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 734.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 770.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 806.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 842.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 878.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 914.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 950.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 986.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 1022.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 1058.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 1094.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 1130.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 1166.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 1202.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 1238.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 1274.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 1310.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 1346.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 1382.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 1418.0, 848.0, 36.0], C6jM0O30bK, 5684154]
[paragraph, [105.0, 1454.0, 848.0, 36.0], C6jM0O30bK, 5684154]
