[1606, 1056]
[folio, [437.0, 100.0, 167.0, 36.0], shoonya_0sFCKL95VHP6B1, 5683550]
[paragraph, [246.0, 163.0, 449.0, 36.0], yhvBBUQ6z4, 5683550]
[paragraph, [246.0, 199.0, 449.0, 36.0], yhvBBUQ6z4, 5683550]
[paragraph, [246.0, 235.0, 449.0, 36.0], yhvBBUQ6z4, 5683550]
[paragraph, [246.0, 271.0, 449.0, 36.0], yhvBBUQ6z4, 5683550]
[paragraph, [246.0, 307.0, 449.0, 36.0], yhvBBUQ6z4, 5683550]
[paragraph, [246.0, 343.0, 449.0, 36.0], yhvBBUQ6z4, 5683550]
[paragraph, [246.0, 379.0, 449.0, 36.0], yhvBBUQ6z4, 5683550]
[paragraph, [246.0, 415.0, 449.0, 36.0], yhvBBUQ6z4, 5683550]
[paragraph, [246.0, 451.0, 449.0, 36.0], yhvBBUQ6z4, 5683550]
[paragraph, [246.0, 487.0, 449.0, 36.0], yhvBBUQ6z4, 5683550]
[paragraph, [246.0, 523.0, 449.0, 36.0], yhvBBUQ6z4, 5683550]
[paragraph, [246.0, 559.0, 449.0, 36.0], yhvBBUQ6z4, 5683550]
[paragraph, [246.0, 595.0, 449.0, 36.0], yhvBBUQ6z4, 5683550]
[paragraph, [246.0, 631.0, 449.0, 36.0], yhvBBUQ6z4, 5683550]
[paragraph, [246.0, 667.0, 449.0, 36.0], yhvBBUQ6z4, 5683550]
[paragraph, [246.0, 703.0, 449.0, 36.0], yhvBBUQ6z4, 5683550]
[section-title, [237.0, 784.0, 577.0, 49.5], 4CZAz2aUF0, 5683550]
[sub-section-title, [475.0, 857.0, 97.0, 36.0], 81EPLarf5i, 5683550]
[paragraph, [258.0, 920.0, 410.0, 36.0], 8AxQ00HSu-, 5683550]
[paragraph, [258.0, 956.0, 410.0, 36.0], 8AxQ00HSu-, 5683550]
[paragraph, [258.0, 992.0, 410.0, 36.0], 8AxQ00HSu-, 5683550]
[paragraph, [258.0, 1028.0, 410.0, 36.0], 8AxQ00HSu-, 5683550]
[paragraph, [258.0, 1064.0, 410.0, 36.0], 8AxQ00HSu-, 5683550]
[paragraph, [258.0, 1100.0, 410.0, 36.0], 8AxQ00HSu-, 5683550]
[paragraph, [258.0, 1136.0, 410.0, 36.0], 8AxQ00HSu-, 5683550]
[paragraph, [258.0, 1172.0, 410.0, 36.0], 8AxQ00HSu-, 5683550]
[paragraph, [258.0, 1208.0, 410.0, 36.0], 8AxQ00HSu-, 5683550]
[paragraph, [258.0, 1244.0, 410.0, 36.0], 8AxQ00HSu-, 5683550]
[paragraph, [258.0, 1280.0, 410.0, 36.0], 8AxQ00HSu-, 5683550]
[paragraph, [258.0, 1316.0, 410.0, 36.0], 8AxQ00HSu-, 5683550]
[paragraph, [258.0, 1352.0, 410.0, 36.0], 8AxQ00HSu-, 5683550]
[paragraph, [258.0, 1388.0, 410.0, 36.0], 8AxQ00HSu-, 5683550]
[paragraph, [258.0, 1424.0, 410.0, 36.0], 8AxQ00HSu-, 5683550]
[paragraph, [258.0, 1460.0, 410.0, 36.0], 8AxQ00HSu-, 5683550]
