[1606, 1056]
[folio, [448.0, 93.0, 161.0, 36.0], shoonya_3sQMRTWYDXV661, 5683956]
[folio, [101.0, 98.0, 233.0, 36.0], 3URfmbFfXe, 5683956]
[paragraph, [99.0, 152.0, 857.0, 36.0], shoonya_0sTG5A3PIN5U1A, 5683956]
[paragraph, [99.0, 188.0, 857.0, 36.0], shoonya_0sTG5A3PIN5U1A, 5683956]
[paragraph, [99.0, 224.0, 857.0, 36.0], shoonya_0sTG5A3PIN5U1A, 5683956]
[paragraph, [99.0, 260.0, 857.0, 36.0], shoonya_0sTG5A3PIN5U1A, 5683956]
[paragraph, [99.0, 296.0, 857.0, 36.0], shoonya_0sTG5A3PIN5U1A, 5683956]
[paragraph, [99.0, 332.0, 857.0, 36.0], shoonya_0sTG5A3PIN5U1A, 5683956]
[paragraph, [99.0, 368.0, 857.0, 36.0], shoonya_0sTG5A3PIN5U1A, 5683956]
[paragraph, [99.0, 404.0, 857.0, 36.0], shoonya_0sTG5A3PIN5U1A, 5683956]
[paragraph, [99.0, 440.0, 857.0, 36.0], shoonya_0sTG5A3PIN5U1A, 5683956]
[paragraph, [99.0, 476.0, 857.0, 36.0], shoonya_0sTG5A3PIN5U1A, 5683956]
[paragraph, [99.0, 512.0, 857.0, 36.0], shoonya_0sTG5A3PIN5U1A, 5683956]
[paragraph, [99.0, 548.0, 857.0, 36.0], shoonya_0sTG5A3PIN5U1A, 5683956]
[paragraph, [99.0, 584.0, 857.0, 36.0], shoonya_0sTG5A3PIN5U1A, 5683956]
[paragraph, [99.0, 620.0, 857.0, 36.0], shoonya_0sTG5A3PIN5U1A, 5683956]
[paragraph, [98.0, 651.0, 855.0, 36.0], shoonya_2s98EAETCON79F, 5683956]
[paragraph, [98.0, 687.0, 855.0, 36.0], shoonya_2s98EAETCON79F, 5683956]
[paragraph, [98.0, 723.0, 855.0, 36.0], shoonya_2s98EAETCON79F, 5683956]
[paragraph, [98.0, 759.0, 855.0, 36.0], shoonya_2s98EAETCON79F, 5683956]
[paragraph, [98.0, 795.0, 855.0, 36.0], shoonya_2s98EAETCON79F, 5683956]
[paragraph, [98.0, 831.0, 855.0, 36.0], shoonya_2s98EAETCON79F, 5683956]
[paragraph, [98.0, 867.0, 855.0, 36.0], shoonya_2s98EAETCON79F, 5683956]
[paragraph, [99.0, 912.0, 852.0, 36.0], shoonya_1sCBTBWJO5HF9J, 5683956]
[paragraph, [99.0, 948.0, 852.0, 36.0], shoonya_1sCBTBWJO5HF9J, 5683956]
[paragraph, [99.0, 984.0, 852.0, 36.0], shoonya_1sCBTBWJO5HF9J, 5683956]
[paragraph, [99.0, 1020.0, 852.0, 36.0], shoonya_1sCBTBWJO5HF9J, 5683956]
[paragraph, [99.0, 1056.0, 852.0, 36.0], shoonya_1sCBTBWJO5HF9J, 5683956]
[paragraph, [99.0, 1092.0, 852.0, 36.0], shoonya_1sCBTBWJO5HF9J, 5683956]
[paragraph, [99.0, 1128.0, 852.0, 36.0], shoonya_1sCBTBWJO5HF9J, 5683956]
[paragraph, [99.0, 1164.0, 852.0, 36.0], shoonya_1sCBTBWJO5HF9J, 5683956]
[paragraph, [99.0, 1200.0, 852.0, 36.0], shoonya_1sCBTBWJO5HF9J, 5683956]
[paragraph, [92.0, 1240.0, 864.0, 36.0], JyUsWiZxns, 5683956]
[paragraph, [92.0, 1276.0, 864.0, 36.0], JyUsWiZxns, 5683956]
[paragraph, [92.0, 1312.0, 864.0, 36.0], JyUsWiZxns, 5683956]
[paragraph, [92.0, 1348.0, 864.0, 36.0], JyUsWiZxns, 5683956]
[paragraph, [92.0, 1384.0, 864.0, 36.0], JyUsWiZxns, 5683956]
[paragraph, [92.0, 1420.0, 864.0, 36.0], JyUsWiZxns, 5683956]
[paragraph, [92.0, 1456.0, 864.0, 36.0], JyUsWiZxns, 5683956]
