[3968, 2806]
[paragraph, [163.0, 226.0, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 278.5, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 331.0, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 383.5, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 436.0, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 488.5, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 541.0, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 593.5, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 646.0, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 698.5, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 751.0, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 803.5, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 856.0, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 908.5, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 961.0, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 1013.5, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 1066.0, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 1118.5, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 1171.0, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 1223.5, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 1276.0, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
[paragraph, [163.0, 1328.5, 1191.0, 52.5], shoonya_0s98YFOS0TVE7O, 5683505]
