[2512, 1948]
[paragraph, [28.0, 0.0, 1897.0, 46.5], shoonya_0sGUIQIO9AL213, 5684123]
[paragraph, [28.0, 46.5, 1897.0, 46.5], shoonya_0sGUIQIO9AL213, 5684123]
[paragraph, [28.0, 93.0, 1897.0, 46.5], shoonya_0sGUIQIO9AL213, 5684123]
[paragraph, [28.0, 139.5, 1897.0, 46.5], shoonya_0sGUIQIO9AL213, 5684123]
[paragraph, [28.0, 186.0, 1897.0, 46.5], shoonya_0sGUIQIO9AL213, 5684123]
[paragraph, [28.0, 232.5, 1897.0, 46.5], shoonya_0sGUIQIO9AL213, 5684123]
[paragraph, [28.0, 279.0, 1897.0, 46.5], shoonya_0sGUIQIO9AL213, 5684123]
[paragraph, [28.0, 325.5, 1897.0, 46.5], shoonya_0sGUIQIO9AL213, 5684123]
[paragraph, [24.0, 385.0, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 431.5, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 478.0, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 524.5, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 571.0, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 617.5, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 664.0, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 710.5, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 757.0, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 803.5, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 850.0, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 896.5, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 943.0, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 989.5, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 1036.0, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 1082.5, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 1129.0, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 1175.5, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 1222.0, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 1268.5, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 1315.0, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 1361.5, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 1408.0, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 1454.5, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 1501.0, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 1547.5, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 1594.0, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [24.0, 1640.5, 1906.0, 46.5], syVvQQZOCr, 5684123]
[paragraph, [0.0, 1743.0, 1918.0, 46.5], u8M6YPyDnr, 5684123]
[paragraph, [0.0, 1789.5, 1918.0, 46.5], u8M6YPyDnr, 5684123]
[paragraph, [0.0, 1836.0, 1918.0, 46.5], u8M6YPyDnr, 5684123]
[paragraph, [0.0, 1882.5, 1918.0, 46.5], u8M6YPyDnr, 5684123]
[paragraph, [0.0, 1929.0, 1918.0, 46.5], u8M6YPyDnr, 5684123]
[paragraph, [0.0, 1975.5, 1918.0, 46.5], u8M6YPyDnr, 5684123]
[paragraph, [0.0, 2022.0, 1918.0, 46.5], u8M6YPyDnr, 5684123]
[paragraph, [0.0, 2068.5, 1918.0, 46.5], u8M6YPyDnr, 5684123]
[paragraph, [0.0, 2115.0, 1918.0, 46.5], u8M6YPyDnr, 5684123]
[author, [1191.0, 2251.0, 649.0, 46.5], ByhfhFD8Y0, 5684123]
[author, [1191.0, 2297.5, 649.0, 46.5], ByhfhFD8Y0, 5684123]
[author, [1191.0, 2344.0, 649.0, 46.5], ByhfhFD8Y0, 5684123]
