[690, 512]
[folio, [188.0, 27.0, 110.0, 18.0], 9zJG1r4XcU, 6491189]
[paragraph, [21.0, 47.0, 222.0, 18.0], shoonya_6sNC5S15SZUZ1E, 6491189]
[paragraph, [243.0, 49.0, 229.0, 18.0], shoonya_1sDMP29L1WFOZ2, 6491189]
[paragraph, [243.0, 67.0, 229.0, 18.0], shoonya_1sDMP29L1WFOZ2, 6491189]
[paragraph, [243.0, 85.0, 229.0, 18.0], shoonya_1sDMP29L1WFOZ2, 6491189]
[paragraph, [243.0, 103.0, 229.0, 18.0], shoonya_1sDMP29L1WFOZ2, 6491189]
[paragraph, [243.0, 121.0, 229.0, 18.0], shoonya_1sDMP29L1WFOZ2, 6491189]
[paragraph, [243.0, 139.0, 229.0, 18.0], shoonya_1sDMP29L1WFOZ2, 6491189]
[paragraph, [243.0, 157.0, 229.0, 18.0], shoonya_1sDMP29L1WFOZ2, 6491189]
[paragraph, [243.0, 175.0, 229.0, 18.0], shoonya_1sDMP29L1WFOZ2, 6491189]
[paragraph, [243.0, 193.0, 229.0, 18.0], shoonya_1sDMP29L1WFOZ2, 6491189]
[paragraph, [243.0, 211.0, 229.0, 18.0], shoonya_1sDMP29L1WFOZ2, 6491189]
[paragraph, [243.0, 229.0, 229.0, 18.0], shoonya_1sDMP29L1WFOZ2, 6491189]
[paragraph, [243.0, 247.0, 229.0, 18.0], shoonya_1sDMP29L1WFOZ2, 6491189]
[paragraph, [243.0, 265.0, 229.0, 18.0], shoonya_1sDMP29L1WFOZ2, 6491189]
[paragraph, [243.0, 283.0, 229.0, 18.0], shoonya_1sDMP29L1WFOZ2, 6491189]
[paragraph, [21.0, 80.0, 216.0, 18.0], shoonya_3sORLGSOIUVLVW, 6491189]
[paragraph, [21.0, 98.0, 216.0, 18.0], shoonya_3sORLGSOIUVLVW, 6491189]
[paragraph, [21.0, 116.0, 216.0, 18.0], shoonya_3sORLGSOIUVLVW, 6491189]
[paragraph, [21.0, 134.0, 216.0, 18.0], shoonya_3sORLGSOIUVLVW, 6491189]
[paragraph, [21.0, 152.0, 216.0, 18.0], shoonya_3sORLGSOIUVLVW, 6491189]
[paragraph, [21.0, 170.0, 216.0, 18.0], shoonya_3sORLGSOIUVLVW, 6491189]
[paragraph, [21.0, 188.0, 216.0, 18.0], shoonya_3sORLGSOIUVLVW, 6491189]
[paragraph, [21.0, 206.0, 216.0, 18.0], shoonya_3sORLGSOIUVLVW, 6491189]
[paragraph, [21.0, 224.0, 216.0, 18.0], shoonya_3sORLGSOIUVLVW, 6491189]
[paragraph, [21.0, 242.0, 216.0, 18.0], shoonya_3sORLGSOIUVLVW, 6491189]
[paragraph, [21.0, 260.0, 216.0, 18.0], shoonya_3sORLGSOIUVLVW, 6491189]
[paragraph, [21.0, 278.0, 216.0, 18.0], shoonya_3sORLGSOIUVLVW, 6491189]
[paragraph, [21.0, 296.0, 216.0, 18.0], shoonya_3sORLGSOIUVLVW, 6491189]
[paragraph, [21.0, 314.0, 216.0, 18.0], shoonya_3sORLGSOIUVLVW, 6491189]
[paragraph, [21.0, 332.0, 216.0, 18.0], shoonya_3sORLGSOIUVLVW, 6491189]
[paragraph, [21.0, 350.0, 216.0, 18.0], shoonya_3sORLGSOIUVLVW, 6491189]
[paragraph, [21.0, 368.0, 216.0, 18.0], shoonya_3sORLGSOIUVLVW, 6491189]
[paragraph, [244.0, 300.0, 221.0, 18.0], shoonya_2sHJQCTZF90IEQ, 6491189]
[paragraph, [244.0, 318.0, 221.0, 18.0], shoonya_2sHJQCTZF90IEQ, 6491189]
[paragraph, [244.0, 336.0, 221.0, 18.0], shoonya_2sHJQCTZF90IEQ, 6491189]
[paragraph, [244.0, 354.0, 221.0, 18.0], shoonya_2sHJQCTZF90IEQ, 6491189]
[paragraph, [244.0, 372.0, 221.0, 18.0], shoonya_2sHJQCTZF90IEQ, 6491189]
[paragraph, [244.0, 390.0, 221.0, 18.0], shoonya_2sHJQCTZF90IEQ, 6491189]
[paragraph, [244.0, 408.0, 221.0, 18.0], shoonya_2sHJQCTZF90IEQ, 6491189]
[paragraph, [244.0, 426.0, 221.0, 18.0], shoonya_2sHJQCTZF90IEQ, 6491189]
[paragraph, [244.0, 444.0, 221.0, 18.0], shoonya_2sHJQCTZF90IEQ, 6491189]
[paragraph, [244.0, 462.0, 221.0, 18.0], shoonya_2sHJQCTZF90IEQ, 6491189]
[paragraph, [244.0, 480.0, 221.0, 18.0], shoonya_2sHJQCTZF90IEQ, 6491189]
[paragraph, [244.0, 498.0, 221.0, 18.0], shoonya_2sHJQCTZF90IEQ, 6491189]
[paragraph, [244.0, 516.0, 221.0, 18.0], shoonya_2sHJQCTZF90IEQ, 6491189]
[paragraph, [244.0, 534.0, 221.0, 18.0], shoonya_2sHJQCTZF90IEQ, 6491189]
[paragraph, [20.0, 386.0, 221.0, 18.0], shoonya_0sEC509IF3SGZV, 6491189]
[paragraph, [20.0, 404.0, 221.0, 18.0], shoonya_0sEC509IF3SGZV, 6491189]
[paragraph, [20.0, 422.0, 221.0, 18.0], shoonya_0sEC509IF3SGZV, 6491189]
[paragraph, [20.0, 440.0, 221.0, 18.0], shoonya_0sEC509IF3SGZV, 6491189]
[paragraph, [20.0, 458.0, 221.0, 18.0], shoonya_0sEC509IF3SGZV, 6491189]
[paragraph, [20.0, 476.0, 221.0, 18.0], shoonya_0sEC509IF3SGZV, 6491189]
[paragraph, [20.0, 494.0, 221.0, 18.0], shoonya_0sEC509IF3SGZV, 6491189]
[paragraph, [20.0, 512.0, 221.0, 18.0], shoonya_0sEC509IF3SGZV, 6491189]
[paragraph, [20.0, 530.0, 221.0, 18.0], shoonya_0sEC509IF3SGZV, 6491189]
[paragraph, [20.0, 548.0, 221.0, 18.0], shoonya_0sEC509IF3SGZV, 6491189]
[paragraph, [20.0, 566.0, 221.0, 18.0], shoonya_0sEC509IF3SGZV, 6491189]
[paragraph, [247.0, 560.0, 218.0, 18.0], shoonya_4sEPKV9F4MWSKZ, 6491189]
[paragraph, [247.0, 578.0, 218.0, 18.0], shoonya_4sEPKV9F4MWSKZ, 6491189]
[paragraph, [247.0, 596.0, 218.0, 18.0], shoonya_4sEPKV9F4MWSKZ, 6491189]
[paragraph, [247.0, 614.0, 218.0, 18.0], shoonya_4sEPKV9F4MWSKZ, 6491189]
[paragraph, [19.0, 587.0, 219.0, 18.0], shoonya_5sZ8ZFI5A3NZY6, 6491189]
[paragraph, [19.0, 605.0, 219.0, 18.0], shoonya_5sZ8ZFI5A3NZY6, 6491189]
[paragraph, [19.0, 623.0, 219.0, 18.0], shoonya_5sZ8ZFI5A3NZY6, 6491189]
