[690, 512]
[folio, [202.0, 39.0, 100.0, 18.0], jDkBOTQJgw, 6492251]
[paragraph, [29.0, 62.0, 215.0, 18.0], HMpHFRxZvF, 6492251]
[paragraph, [29.0, 80.0, 215.0, 18.0], HMpHFRxZvF, 6492251]
[paragraph, [29.0, 98.0, 215.0, 18.0], HMpHFRxZvF, 6492251]
[paragraph, [29.0, 116.0, 215.0, 18.0], HMpHFRxZvF, 6492251]
[paragraph, [29.0, 134.0, 215.0, 18.0], HMpHFRxZvF, 6492251]
[paragraph, [29.0, 152.0, 215.0, 18.0], HMpHFRxZvF, 6492251]
[paragraph, [29.0, 170.0, 215.0, 18.0], HMpHFRxZvF, 6492251]
[paragraph, [29.0, 188.0, 215.0, 18.0], HMpHFRxZvF, 6492251]
[paragraph, [29.0, 206.0, 215.0, 18.0], HMpHFRxZvF, 6492251]
[paragraph, [29.0, 224.0, 215.0, 18.0], HMpHFRxZvF, 6492251]
[paragraph, [29.0, 242.0, 215.0, 18.0], HMpHFRxZvF, 6492251]
[paragraph, [29.0, 260.0, 215.0, 18.0], HMpHFRxZvF, 6492251]
[paragraph, [29.0, 278.0, 215.0, 18.0], HMpHFRxZvF, 6492251]
[paragraph, [29.0, 296.0, 215.0, 18.0], HMpHFRxZvF, 6492251]
[paragraph, [29.0, 314.0, 215.0, 18.0], HMpHFRxZvF, 6492251]
[paragraph, [254.0, 62.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 80.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 98.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 116.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 134.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 152.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 170.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 188.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 206.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 224.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 242.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 260.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 278.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 296.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 314.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 332.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 350.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 368.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 386.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 404.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 422.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 440.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 458.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 476.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 494.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 512.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 530.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 548.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 566.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 584.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 602.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [254.0, 620.0, 220.0, 18.0], dTGyZDzj-6, 6492251]
[paragraph, [29.0, 344.0, 215.0, 18.0], lZIKs6ozmi, 6492251]
[paragraph, [29.0, 362.0, 215.0, 18.0], lZIKs6ozmi, 6492251]
[paragraph, [29.0, 380.0, 215.0, 18.0], lZIKs6ozmi, 6492251]
[paragraph, [29.0, 398.0, 215.0, 18.0], lZIKs6ozmi, 6492251]
[paragraph, [29.0, 416.0, 215.0, 18.0], lZIKs6ozmi, 6492251]
[paragraph, [29.0, 434.0, 215.0, 18.0], lZIKs6ozmi, 6492251]
[paragraph, [29.0, 452.0, 215.0, 18.0], lZIKs6ozmi, 6492251]
[paragraph, [29.0, 470.0, 215.0, 18.0], lZIKs6ozmi, 6492251]
[paragraph, [29.0, 488.0, 215.0, 18.0], lZIKs6ozmi, 6492251]
[paragraph, [29.0, 506.0, 215.0, 18.0], lZIKs6ozmi, 6492251]
[paragraph, [29.0, 524.0, 215.0, 18.0], lZIKs6ozmi, 6492251]
[paragraph, [29.0, 542.0, 215.0, 18.0], lZIKs6ozmi, 6492251]
[paragraph, [29.0, 560.0, 215.0, 18.0], lZIKs6ozmi, 6492251]
[paragraph, [29.0, 578.0, 215.0, 18.0], lZIKs6ozmi, 6492251]
[paragraph, [29.0, 596.0, 215.0, 18.0], lZIKs6ozmi, 6492251]
[paragraph, [29.0, 614.0, 215.0, 18.0], lZIKs6ozmi, 6492251]
