[1320, 1176]
[folio, [941.0, 45.0, 163.0, 18.0], 3vq5gh6rMS, 5694268]
[folio, [941.0, 63.0, 163.0, 18.0], 3vq5gh6rMS, 5694268]
[folio, [941.0, 81.0, 163.0, 18.0], 3vq5gh6rMS, 5694268]
[folio, [941.0, 99.0, 163.0, 18.0], 3vq5gh6rMS, 5694268]
[folio, [941.0, 117.0, 163.0, 18.0], 3vq5gh6rMS, 5694268]
[folio, [941.0, 135.0, 163.0, 18.0], 3vq5gh6rMS, 5694268]
[folio, [941.0, 153.0, 163.0, 18.0], 3vq5gh6rMS, 5694268]
[paragraph, [417.0, 176.0, 331.0, 18.0], 93YKKw1qFe, 5694268]
[paragraph, [417.0, 194.0, 331.0, 18.0], 93YKKw1qFe, 5694268]
[paragraph, [417.0, 212.0, 331.0, 18.0], 93YKKw1qFe, 5694268]
[paragraph, [417.0, 230.0, 331.0, 18.0], 93YKKw1qFe, 5694268]
[paragraph, [417.0, 248.0, 331.0, 18.0], 93YKKw1qFe, 5694268]
[paragraph, [417.0, 266.0, 331.0, 18.0], 93YKKw1qFe, 5694268]
[paragraph, [417.0, 284.0, 331.0, 18.0], 93YKKw1qFe, 5694268]
[paragraph, [417.0, 302.0, 331.0, 18.0], 93YKKw1qFe, 5694268]
[paragraph, [417.0, 320.0, 331.0, 18.0], 93YKKw1qFe, 5694268]
[paragraph, [417.0, 338.0, 331.0, 18.0], 93YKKw1qFe, 5694268]
[paragraph, [417.0, 356.0, 331.0, 18.0], 93YKKw1qFe, 5694268]
[paragraph, [417.0, 374.0, 331.0, 18.0], 93YKKw1qFe, 5694268]
[paragraph, [72.0, 177.0, 329.0, 18.0], shoonya_1sX7QLK4483KEJ, 5694268]
[paragraph, [72.0, 195.0, 329.0, 18.0], shoonya_1sX7QLK4483KEJ, 5694268]
[paragraph, [72.0, 213.0, 329.0, 18.0], shoonya_1sX7QLK4483KEJ, 5694268]
[paragraph, [763.0, 177.0, 338.0, 18.0], ZpnohKT3j1, 5694268]
[paragraph, [763.0, 195.0, 338.0, 18.0], ZpnohKT3j1, 5694268]
[paragraph, [763.0, 213.0, 338.0, 18.0], ZpnohKT3j1, 5694268]
[paragraph, [763.0, 231.0, 338.0, 18.0], ZpnohKT3j1, 5694268]
[paragraph, [763.0, 249.0, 338.0, 18.0], ZpnohKT3j1, 5694268]
[paragraph, [78.0, 246.0, 334.0, 18.0], US3guMPAmN, 5694268]
[paragraph, [78.0, 264.0, 334.0, 18.0], US3guMPAmN, 5694268]
[paragraph, [78.0, 282.0, 334.0, 18.0], US3guMPAmN, 5694268]
[paragraph, [758.0, 274.0, 337.0, 18.0], I-9Ji8dktX, 5694268]
[paragraph, [758.0, 292.0, 337.0, 18.0], I-9Ji8dktX, 5694268]
[paragraph, [758.0, 310.0, 337.0, 18.0], I-9Ji8dktX, 5694268]
[paragraph, [758.0, 328.0, 337.0, 18.0], I-9Ji8dktX, 5694268]
[paragraph, [758.0, 346.0, 337.0, 18.0], I-9Ji8dktX, 5694268]
[paragraph, [758.0, 364.0, 337.0, 18.0], I-9Ji8dktX, 5694268]
[paragraph, [758.0, 382.0, 337.0, 18.0], I-9Ji8dktX, 5694268]
[paragraph, [758.0, 400.0, 337.0, 18.0], I-9Ji8dktX, 5694268]
[paragraph, [758.0, 418.0, 337.0, 18.0], I-9Ji8dktX, 5694268]
[paragraph, [758.0, 436.0, 337.0, 18.0], I-9Ji8dktX, 5694268]
[paragraph, [758.0, 454.0, 337.0, 18.0], I-9Ji8dktX, 5694268]
[paragraph, [758.0, 472.0, 337.0, 18.0], I-9Ji8dktX, 5694268]
[paragraph, [82.0, 310.0, 341.0, 18.0], AieXuN5XXO, 5694268]
[paragraph, [82.0, 328.0, 341.0, 18.0], AieXuN5XXO, 5694268]
[paragraph, [82.0, 346.0, 341.0, 18.0], AieXuN5XXO, 5694268]
[paragraph, [82.0, 364.0, 341.0, 18.0], AieXuN5XXO, 5694268]
[paragraph, [75.0, 394.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 412.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 430.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 448.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 466.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 484.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 502.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 520.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 538.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 556.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 574.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 592.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 610.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 628.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 646.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 664.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 682.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 700.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 718.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 736.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
[paragraph, [75.0, 754.0, 337.0, 18.0], 2_GkCoT6uP, 5694268]
