[1320, 1176]
[folio, [72.0, 59.0, 169.0, 18.0], shoonya_0sI8GUSH8H4I08, 5693851]
[folio, [72.0, 77.0, 169.0, 18.0], shoonya_0sI8GUSH8H4I08, 5693851]
[folio, [72.0, 95.0, 169.0, 18.0], shoonya_0sI8GUSH8H4I08, 5693851]
[folio, [72.0, 113.0, 169.0, 18.0], shoonya_0sI8GUSH8H4I08, 5693851]
[folio, [72.0, 131.0, 169.0, 18.0], shoonya_0sI8GUSH8H4I08, 5693851]
[paragraph, [416.0, 183.0, 314.0, 18.0], swdyeWtnfP, 5693851]
[paragraph, [416.0, 201.0, 314.0, 18.0], swdyeWtnfP, 5693851]
[paragraph, [416.0, 219.0, 314.0, 18.0], swdyeWtnfP, 5693851]
[paragraph, [416.0, 237.0, 314.0, 18.0], swdyeWtnfP, 5693851]
[paragraph, [416.0, 255.0, 314.0, 18.0], swdyeWtnfP, 5693851]
[paragraph, [416.0, 273.0, 314.0, 18.0], swdyeWtnfP, 5693851]
[paragraph, [416.0, 291.0, 314.0, 18.0], swdyeWtnfP, 5693851]
[paragraph, [416.0, 309.0, 314.0, 18.0], swdyeWtnfP, 5693851]
[paragraph, [416.0, 327.0, 314.0, 18.0], swdyeWtnfP, 5693851]
[paragraph, [416.0, 345.0, 314.0, 18.0], swdyeWtnfP, 5693851]
[paragraph, [416.0, 363.0, 314.0, 18.0], swdyeWtnfP, 5693851]
[paragraph, [416.0, 381.0, 314.0, 18.0], swdyeWtnfP, 5693851]
[paragraph, [745.0, 183.0, 317.0, 18.0], fYP6oSjPzj, 5693851]
[paragraph, [745.0, 201.0, 317.0, 18.0], fYP6oSjPzj, 5693851]
[paragraph, [79.0, 186.0, 317.0, 18.0], eE8rXYPX_V, 5693851]
[paragraph, [79.0, 204.0, 317.0, 18.0], eE8rXYPX_V, 5693851]
[paragraph, [79.0, 222.0, 317.0, 18.0], eE8rXYPX_V, 5693851]
[paragraph, [79.0, 240.0, 317.0, 18.0], eE8rXYPX_V, 5693851]
[paragraph, [79.0, 258.0, 317.0, 18.0], eE8rXYPX_V, 5693851]
[paragraph, [79.0, 276.0, 317.0, 18.0], eE8rXYPX_V, 5693851]
[paragraph, [79.0, 294.0, 317.0, 18.0], eE8rXYPX_V, 5693851]
[paragraph, [79.0, 312.0, 317.0, 18.0], eE8rXYPX_V, 5693851]
[paragraph, [79.0, 330.0, 317.0, 18.0], eE8rXYPX_V, 5693851]
[paragraph, [79.0, 348.0, 317.0, 18.0], eE8rXYPX_V, 5693851]
[paragraph, [79.0, 366.0, 317.0, 18.0], eE8rXYPX_V, 5693851]
[paragraph, [79.0, 384.0, 317.0, 18.0], eE8rXYPX_V, 5693851]
[paragraph, [79.0, 402.0, 317.0, 18.0], eE8rXYPX_V, 5693851]
[paragraph, [79.0, 420.0, 317.0, 18.0], eE8rXYPX_V, 5693851]
[paragraph, [79.0, 438.0, 317.0, 18.0], eE8rXYPX_V, 5693851]
[paragraph, [79.0, 456.0, 317.0, 18.0], eE8rXYPX_V, 5693851]
[paragraph, [751.0, 239.0, 314.0, 18.0], GMTY604UQb, 5693851]
[paragraph, [751.0, 257.0, 314.0, 18.0], GMTY604UQb, 5693851]
[paragraph, [751.0, 275.0, 314.0, 18.0], GMTY604UQb, 5693851]
[paragraph, [751.0, 293.0, 314.0, 18.0], GMTY604UQb, 5693851]
[paragraph, [748.0, 325.0, 318.0, 18.0], wzs-yLJdQl, 5693851]
[paragraph, [748.0, 343.0, 318.0, 18.0], wzs-yLJdQl, 5693851]
[paragraph, [748.0, 386.0, 314.0, 18.0], V8TVu1KONc, 5693851]
[paragraph, [748.0, 404.0, 314.0, 18.0], V8TVu1KONc, 5693851]
[paragraph, [748.0, 422.0, 314.0, 18.0], V8TVu1KONc, 5693851]
[paragraph, [419.0, 416.0, 308.0, 18.0], ybvWMsXzKs, 5693851]
[paragraph, [419.0, 434.0, 308.0, 18.0], ybvWMsXzKs, 5693851]
[paragraph, [419.0, 452.0, 308.0, 18.0], ybvWMsXzKs, 5693851]
[paragraph, [419.0, 470.0, 308.0, 18.0], ybvWMsXzKs, 5693851]
[paragraph, [419.0, 488.0, 308.0, 18.0], ybvWMsXzKs, 5693851]
[paragraph, [419.0, 506.0, 308.0, 18.0], ybvWMsXzKs, 5693851]
[paragraph, [419.0, 524.0, 308.0, 18.0], ybvWMsXzKs, 5693851]
[paragraph, [751.0, 466.0, 311.0, 18.0], ffSE96qU34, 5693851]
[paragraph, [751.0, 484.0, 311.0, 18.0], ffSE96qU34, 5693851]
[paragraph, [80.0, 527.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 545.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 563.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 581.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 599.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 617.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 635.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 653.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 671.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 689.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 707.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 725.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 743.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 761.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 779.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 797.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 815.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 833.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 851.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 869.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 887.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 905.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 923.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 941.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 959.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 977.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 995.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 1013.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 1031.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 1049.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 1067.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
[paragraph, [80.0, 1085.0, 317.0, 18.0], nU_Jd1Mb6T, 5693851]
