[674, 487]
[quote, [101.0, 46.0, 123.0, 18.0], iK1xzL20Xq, 6533962]
[quote, [101.0, 64.0, 123.0, 18.0], iK1xzL20Xq, 6533962]
[quote, [36.0, 183.0, 197.0, 18.0], x0BA_lDrNS, 6533962]
[quote, [293.0, 193.0, 144.0, 18.0], 1CKc2y3MOb, 6533962]
[quote, [293.0, 211.0, 144.0, 18.0], 1CKc2y3MOb, 6533962]
[quote, [238.0, 415.0, 216.0, 18.0], l_2Ina53fz, 6533962]
[quote, [37.0, 418.0, 45.0, 18.0], Q_yR1AxYVC, 6533962]
[quote, [158.0, 423.0, 63.0, 18.0], GXS8V-TAYf, 6533962]
[quote, [327.0, 444.0, 112.0, 18.0], -1uWWJm1i2, 6533962]
[quote, [327.0, 462.0, 112.0, 18.0], -1uWWJm1i2, 6533962]
[quote, [42.0, 513.0, 108.0, 18.0], xQxG52twXW, 6533962]
[quote, [42.0, 531.0, 108.0, 18.0], xQxG52twXW, 6533962]
