[2000, 1414]
[headline, [573.0, 113.0, 719.0, 67.5], shoonya_5sLP832DMES14H, 6533389]
[headline, [573.0, 180.5, 719.0, 67.5], shoonya_5sLP832DMES14H, 6533389]
[headline, [573.0, 248.0, 719.0, 67.5], shoonya_5sLP832DMES14H, 6533389]
[headline, [573.0, 315.5, 719.0, 67.5], shoonya_5sLP832DMES14H, 6533389]
[headline, [573.0, 383.0, 719.0, 67.5], shoonya_5sLP832DMES14H, 6533389]
[headline, [573.0, 450.5, 719.0, 67.5], shoonya_5sLP832DMES14H, 6533389]
[headline, [573.0, 518.0, 719.0, 67.5], shoonya_5sLP832DMES14H, 6533389]
[headline, [573.0, 585.5, 719.0, 67.5], shoonya_5sLP832DMES14H, 6533389]
[author, [72.0, 570.0, 120.0, 36.0], DZrg6WcBwF, 6533389]
[paragraph, [67.0, 678.0, 444.0, 36.0], 3dA7rnATPU, 6533389]
[paragraph, [67.0, 714.0, 444.0, 36.0], 3dA7rnATPU, 6533389]
[paragraph, [67.0, 750.0, 444.0, 36.0], 3dA7rnATPU, 6533389]
[paragraph, [67.0, 786.0, 444.0, 36.0], 3dA7rnATPU, 6533389]
[paragraph, [67.0, 822.0, 444.0, 36.0], 3dA7rnATPU, 6533389]
[paragraph, [67.0, 858.0, 444.0, 36.0], 3dA7rnATPU, 6533389]
[paragraph, [67.0, 894.0, 444.0, 36.0], 3dA7rnATPU, 6533389]
[paragraph, [570.0, 1388.0, 786.0, 36.0], iSir17gvjv, 6533389]
[paragraph, [570.0, 1424.0, 786.0, 36.0], iSir17gvjv, 6533389]
[paragraph, [570.0, 1460.0, 786.0, 36.0], iSir17gvjv, 6533389]
[paragraph, [570.0, 1496.0, 786.0, 36.0], iSir17gvjv, 6533389]
[paragraph, [570.0, 1532.0, 786.0, 36.0], iSir17gvjv, 6533389]
[paragraph, [570.0, 1568.0, 786.0, 36.0], iSir17gvjv, 6533389]
[paragraph, [570.0, 1604.0, 786.0, 36.0], iSir17gvjv, 6533389]
[paragraph, [570.0, 1640.0, 786.0, 36.0], iSir17gvjv, 6533389]
[folio, [62.0, 1879.0, 253.0, 36.0], IyJGEnLaJ8, 6533389]
