[2000, 1414]
[headline, [49.0, 67.0, 341.0, 67.5], mpe59FBPaw, 6533369]
[headline, [49.0, 134.5, 341.0, 67.5], mpe59FBPaw, 6533369]
[paragraph, [49.0, 327.0, 223.0, 36.0], yW3q2iIsFo, 6533369]
[paragraph, [49.0, 363.0, 223.0, 36.0], yW3q2iIsFo, 6533369]
[paragraph, [49.0, 399.0, 223.0, 36.0], yW3q2iIsFo, 6533369]
[paragraph, [60.0, 540.0, 223.0, 36.0], fzfqWsIw83, 6533369]
[paragraph, [60.0, 576.0, 223.0, 36.0], fzfqWsIw83, 6533369]
[paragraph, [60.0, 612.0, 223.0, 36.0], fzfqWsIw83, 6533369]
[paragraph, [44.0, 742.0, 223.0, 36.0], dBlaZ46CdJ, 6533369]
[paragraph, [44.0, 778.0, 223.0, 36.0], dBlaZ46CdJ, 6533369]
[paragraph, [44.0, 814.0, 223.0, 36.0], dBlaZ46CdJ, 6533369]
[paragraph, [54.0, 954.0, 223.0, 36.0], 3_7Ib-wqAd, 6533369]
[paragraph, [54.0, 990.0, 223.0, 36.0], 3_7Ib-wqAd, 6533369]
[paragraph, [54.0, 1026.0, 223.0, 36.0], 3_7Ib-wqAd, 6533369]
[paragraph, [58.0, 1172.0, 223.0, 36.0], G0wi3nV26U, 6533369]
[paragraph, [58.0, 1208.0, 223.0, 36.0], G0wi3nV26U, 6533369]
[paragraph, [58.0, 1244.0, 223.0, 36.0], G0wi3nV26U, 6533369]
[paragraph, [42.0, 1374.0, 223.0, 36.0], 4H7neJnzmD, 6533369]
[paragraph, [42.0, 1410.0, 223.0, 36.0], 4H7neJnzmD, 6533369]
[paragraph, [42.0, 1446.0, 223.0, 36.0], 4H7neJnzmD, 6533369]
[paragraph, [53.0, 1587.0, 223.0, 36.0], ESsPJF9C0Q, 6533369]
[paragraph, [53.0, 1623.0, 223.0, 36.0], ESsPJF9C0Q, 6533369]
[paragraph, [53.0, 1659.0, 223.0, 36.0], ESsPJF9C0Q, 6533369]
[contact-info, [952.0, 1662.0, 399.0, 36.0], hhGvWPryeg, 6533369]
[contact-info, [952.0, 1698.0, 399.0, 36.0], hhGvWPryeg, 6533369]
[contact-info, [952.0, 1734.0, 399.0, 36.0], hhGvWPryeg, 6533369]
[contact-info, [952.0, 1770.0, 399.0, 36.0], hhGvWPryeg, 6533369]
[contact-info, [952.0, 1806.0, 399.0, 36.0], hhGvWPryeg, 6533369]
[contact-info, [952.0, 1842.0, 399.0, 36.0], hhGvWPryeg, 6533369]
[contact-info, [952.0, 1878.0, 399.0, 36.0], hhGvWPryeg, 6533369]
[website-link, [966.0, 1681.0, 260.0, 18.0], iULpFOgMHl, 6533369]
[website-link, [966.0, 1699.0, 260.0, 18.0], iULpFOgMHl, 6533369]
