[792, 612]
[quote, [401.0, 36.0, 100.0, 18.0], ZkHvCeZ-aH, 5653778]
[quote, [401.0, 54.0, 100.0, 18.0], ZkHvCeZ-aH, 5653778]
[quote, [401.0, 72.0, 100.0, 18.0], ZkHvCeZ-aH, 5653778]
[quote, [401.0, 90.0, 100.0, 18.0], ZkHvCeZ-aH, 5653778]
[quote, [187.0, 44.0, 107.0, 18.0], fAk3ZPIKtS, 5653778]
[quote, [187.0, 62.0, 107.0, 18.0], fAk3ZPIKtS, 5653778]
[quote, [187.0, 80.0, 107.0, 18.0], fAk3ZPIKtS, 5653778]
[quote, [175.0, 226.0, 123.0, 18.0], 63IwO6yg5B, 5653778]
[quote, [175.0, 244.0, 123.0, 18.0], 63IwO6yg5B, 5653778]
[quote, [175.0, 262.0, 123.0, 18.0], 63IwO6yg5B, 5653778]
[quote, [387.0, 229.0, 115.0, 18.0], dKJZK0nv2w, 5653778]
[quote, [387.0, 247.0, 115.0, 18.0], dKJZK0nv2w, 5653778]
[quote, [387.0, 265.0, 115.0, 18.0], dKJZK0nv2w, 5653778]
[quote, [116.0, 400.0, 368.0, 18.0], JujZI51Vnd, 5653778]
[quote, [116.0, 418.0, 368.0, 18.0], JujZI51Vnd, 5653778]
[quote, [116.0, 436.0, 368.0, 18.0], JujZI51Vnd, 5653778]
[quote, [116.0, 454.0, 368.0, 18.0], JujZI51Vnd, 5653778]
[quote, [116.0, 472.0, 368.0, 18.0], JujZI51Vnd, 5653778]
[quote, [116.0, 490.0, 368.0, 18.0], JujZI51Vnd, 5653778]
[quote, [116.0, 508.0, 368.0, 18.0], JujZI51Vnd, 5653778]
[quote, [116.0, 526.0, 368.0, 18.0], JujZI51Vnd, 5653778]
[paragraph, [112.0, 625.0, 389.0, 18.0], shoonya_1sJVIAUOG5W6K5, 5653778]
[paragraph, [112.0, 643.0, 389.0, 18.0], shoonya_1sJVIAUOG5W6K5, 5653778]
[paragraph, [112.0, 661.0, 389.0, 18.0], shoonya_1sJVIAUOG5W6K5, 5653778]
