[792, 612]
[paragraph, [270.0, 69.0, 136.0, 18.0], CMD-msgFCO, 5654058]
[paragraph, [270.0, 87.0, 136.0, 18.0], CMD-msgFCO, 5654058]
[paragraph, [270.0, 105.0, 136.0, 18.0], CMD-msgFCO, 5654058]
[paragraph, [270.0, 123.0, 136.0, 18.0], CMD-msgFCO, 5654058]
[paragraph, [459.0, 72.0, 95.0, 18.0], shoonya_9sZZ6FWXC5RP3Z, 5654058]
[paragraph, [134.0, 129.0, 147.0, 18.0], osR4jbcN6o, 5654058]
[paragraph, [134.0, 147.0, 147.0, 18.0], osR4jbcN6o, 5654058]
[paragraph, [134.0, 165.0, 147.0, 18.0], osR4jbcN6o, 5654058]
[paragraph, [134.0, 183.0, 147.0, 18.0], osR4jbcN6o, 5654058]
[paragraph, [264.0, 202.0, 94.0, 18.0], shoonya_4sZP6GDYSYWJXT, 5654058]
[paragraph, [264.0, 220.0, 94.0, 18.0], shoonya_4sZP6GDYSYWJXT, 5654058]
[paragraph, [264.0, 238.0, 94.0, 18.0], shoonya_4sZP6GDYSYWJXT, 5654058]
[paragraph, [264.0, 256.0, 94.0, 18.0], shoonya_4sZP6GDYSYWJXT, 5654058]
[paragraph, [68.0, 269.0, 129.0, 18.0], shoonya_1sF0149MWTXVXX, 5654058]
[paragraph, [68.0, 287.0, 129.0, 18.0], shoonya_1sF0149MWTXVXX, 5654058]
[paragraph, [68.0, 305.0, 129.0, 18.0], shoonya_1sF0149MWTXVXX, 5654058]
[paragraph, [68.0, 323.0, 129.0, 18.0], shoonya_1sF0149MWTXVXX, 5654058]
[paragraph, [68.0, 341.0, 129.0, 18.0], shoonya_1sF0149MWTXVXX, 5654058]
[paragraph, [396.0, 270.0, 177.0, 18.0], shoonya_6sWF2L859RJ3XL, 5654058]
[paragraph, [396.0, 288.0, 177.0, 18.0], shoonya_6sWF2L859RJ3XL, 5654058]
[paragraph, [396.0, 306.0, 177.0, 18.0], shoonya_6sWF2L859RJ3XL, 5654058]
[paragraph, [396.0, 324.0, 177.0, 18.0], shoonya_6sWF2L859RJ3XL, 5654058]
[paragraph, [396.0, 342.0, 177.0, 18.0], shoonya_6sWF2L859RJ3XL, 5654058]
[paragraph, [318.0, 381.0, 250.0, 18.0], shoonya_8s5YVQSTSP4NGL, 5654058]
[paragraph, [318.0, 399.0, 250.0, 18.0], shoonya_8s5YVQSTSP4NGL, 5654058]
[paragraph, [168.0, 428.0, 146.0, 18.0], shoonya_2sFGI7071GPAMU, 5654058]
[paragraph, [168.0, 446.0, 146.0, 18.0], shoonya_2sFGI7071GPAMU, 5654058]
[paragraph, [168.0, 464.0, 146.0, 18.0], shoonya_2sFGI7071GPAMU, 5654058]
[paragraph, [168.0, 482.0, 146.0, 18.0], shoonya_2sFGI7071GPAMU, 5654058]
[paragraph, [168.0, 500.0, 146.0, 18.0], shoonya_2sFGI7071GPAMU, 5654058]
[paragraph, [373.0, 499.0, 177.0, 18.0], shoonya_3sDHJD6EPF8SR5, 5654058]
[paragraph, [373.0, 517.0, 177.0, 18.0], shoonya_3sDHJD6EPF8SR5, 5654058]
[paragraph, [373.0, 535.0, 177.0, 18.0], shoonya_3sDHJD6EPF8SR5, 5654058]
[paragraph, [373.0, 553.0, 177.0, 18.0], shoonya_3sDHJD6EPF8SR5, 5654058]
[paragraph, [61.0, 626.0, 160.0, 18.0], shoonya_0sJ1YLOUSAS8YX, 5654058]
[paragraph, [61.0, 644.0, 160.0, 18.0], shoonya_0sJ1YLOUSAS8YX, 5654058]
[paragraph, [61.0, 662.0, 160.0, 18.0], shoonya_0sJ1YLOUSAS8YX, 5654058]
[paragraph, [61.0, 680.0, 160.0, 18.0], shoonya_0sJ1YLOUSAS8YX, 5654058]
[paragraph, [445.0, 673.0, 97.0, 18.0], N4f3w3DuGh, 5654058]
[paragraph, [445.0, 691.0, 97.0, 18.0], N4f3w3DuGh, 5654058]
[folio, [464.0, 728.0, 75.0, 18.0], Wkp8lts6vD, 5654058]
