[792, 612]
[folio, [486.0, 53.0, 76.0, 18.0], jQzgt8Bscj, 5654635]
[folio, [486.0, 71.0, 76.0, 18.0], jQzgt8Bscj, 5654635]
[paragraph, [50.0, 59.0, 265.0, 18.0], shoonya_2sOKQMNT3KM35J, 5654635]
[paragraph, [50.0, 77.0, 265.0, 18.0], shoonya_2sOKQMNT3KM35J, 5654635]
[paragraph, [50.0, 95.0, 265.0, 18.0], shoonya_2sOKQMNT3KM35J, 5654635]
[paragraph, [50.0, 113.0, 265.0, 18.0], shoonya_2sOKQMNT3KM35J, 5654635]
[paragraph, [50.0, 131.0, 265.0, 18.0], shoonya_2sOKQMNT3KM35J, 5654635]
[paragraph, [50.0, 149.0, 265.0, 18.0], shoonya_2sOKQMNT3KM35J, 5654635]
[paragraph, [50.0, 178.0, 264.0, 18.0], shoonya_1sNOF7AMMZBCQB, 5654635]
[paragraph, [50.0, 196.0, 264.0, 18.0], shoonya_1sNOF7AMMZBCQB, 5654635]
[paragraph, [50.0, 214.0, 264.0, 18.0], shoonya_1sNOF7AMMZBCQB, 5654635]
[paragraph, [50.0, 232.0, 264.0, 18.0], shoonya_1sNOF7AMMZBCQB, 5654635]
[paragraph, [50.0, 250.0, 264.0, 18.0], shoonya_1sNOF7AMMZBCQB, 5654635]
[paragraph, [50.0, 268.0, 264.0, 18.0], shoonya_1sNOF7AMMZBCQB, 5654635]
[paragraph, [50.0, 286.0, 264.0, 18.0], shoonya_1sNOF7AMMZBCQB, 5654635]
[paragraph, [50.0, 304.0, 264.0, 18.0], shoonya_1sNOF7AMMZBCQB, 5654635]
[paragraph, [50.0, 322.0, 264.0, 18.0], shoonya_1sNOF7AMMZBCQB, 5654635]
[paragraph, [50.0, 340.0, 264.0, 18.0], shoonya_1sNOF7AMMZBCQB, 5654635]
[chapter-title, [387.0, 201.0, 169.0, 30.0], lZpY1RE1Pe, 5654635]
[chapter-title, [387.0, 231.0, 169.0, 30.0], lZpY1RE1Pe, 5654635]
[chapter-title, [387.0, 261.0, 169.0, 30.0], lZpY1RE1Pe, 5654635]
[author, [437.0, 325.0, 67.0, 18.0], QY1nNF1JNp, 5654635]
[paragraph, [50.0, 378.0, 265.0, 18.0], shoonya_0sTPXC3H07N0QV, 5654635]
[paragraph, [50.0, 396.0, 265.0, 18.0], shoonya_0sTPXC3H07N0QV, 5654635]
[paragraph, [50.0, 414.0, 265.0, 18.0], shoonya_0sTPXC3H07N0QV, 5654635]
[paragraph, [50.0, 432.0, 265.0, 18.0], shoonya_0sTPXC3H07N0QV, 5654635]
[paragraph, [50.0, 450.0, 265.0, 18.0], shoonya_0sTPXC3H07N0QV, 5654635]
[paragraph, [50.0, 468.0, 265.0, 18.0], shoonya_0sTPXC3H07N0QV, 5654635]
[paragraph, [50.0, 486.0, 265.0, 18.0], shoonya_0sTPXC3H07N0QV, 5654635]
[paragraph, [50.0, 504.0, 265.0, 18.0], shoonya_0sTPXC3H07N0QV, 5654635]
[paragraph, [50.0, 522.0, 265.0, 18.0], shoonya_0sTPXC3H07N0QV, 5654635]
[paragraph, [124.0, 592.0, 434.0, 18.0], shoonya_3sMV9QVE5B8556, 5654635]
[paragraph, [124.0, 610.0, 434.0, 18.0], shoonya_3sMV9QVE5B8556, 5654635]
[paragraph, [124.0, 628.0, 434.0, 18.0], shoonya_3sMV9QVE5B8556, 5654635]
[paragraph, [124.0, 646.0, 434.0, 18.0], shoonya_3sMV9QVE5B8556, 5654635]
[paragraph, [124.0, 664.0, 434.0, 18.0], shoonya_3sMV9QVE5B8556, 5654635]
[paragraph, [124.0, 682.0, 434.0, 18.0], shoonya_3sMV9QVE5B8556, 5654635]
[paragraph, [124.0, 700.0, 434.0, 18.0], shoonya_3sMV9QVE5B8556, 5654635]
[folio, [70.0, 738.0, 64.0, 18.0], 8Pm_XQQdBx, 5654635]
