[1725, 1275]
[folio, [862.0, 62.0, 343.0, 36.0], hv-JyygADh, 5712464]
[folio, [862.0, 98.0, 343.0, 36.0], hv-JyygADh, 5712464]
[paragraph, [58.0, 140.0, 237.0, 36.0], shoonya_8sH76AFHM9M86D, 5712464]
[paragraph, [641.0, 145.0, 573.0, 36.0], shoonya_2s45D5AGEA8UXT, 5712464]
[paragraph, [641.0, 181.0, 573.0, 36.0], shoonya_2s45D5AGEA8UXT, 5712464]
[paragraph, [641.0, 217.0, 573.0, 36.0], shoonya_2s45D5AGEA8UXT, 5712464]
[paragraph, [641.0, 253.0, 573.0, 36.0], shoonya_2s45D5AGEA8UXT, 5712464]
[paragraph, [641.0, 289.0, 573.0, 36.0], shoonya_2s45D5AGEA8UXT, 5712464]
[paragraph, [61.0, 173.0, 573.0, 36.0], shoonya_5sSWV1MSTWVS2Q, 5712464]
[paragraph, [61.0, 209.0, 573.0, 36.0], shoonya_5sSWV1MSTWVS2Q, 5712464]
[paragraph, [61.0, 245.0, 573.0, 36.0], shoonya_5sSWV1MSTWVS2Q, 5712464]
[paragraph, [61.0, 281.0, 573.0, 36.0], shoonya_5sSWV1MSTWVS2Q, 5712464]
[paragraph, [61.0, 317.0, 573.0, 36.0], shoonya_5sSWV1MSTWVS2Q, 5712464]
[paragraph, [61.0, 353.0, 573.0, 36.0], shoonya_5sSWV1MSTWVS2Q, 5712464]
[paragraph, [61.0, 389.0, 573.0, 36.0], shoonya_5sSWV1MSTWVS2Q, 5712464]
[paragraph, [643.0, 329.0, 569.0, 36.0], IdkxJrUrhl, 5712464]
[paragraph, [643.0, 365.0, 569.0, 36.0], IdkxJrUrhl, 5712464]
[paragraph, [643.0, 401.0, 569.0, 36.0], IdkxJrUrhl, 5712464]
[paragraph, [643.0, 437.0, 569.0, 36.0], IdkxJrUrhl, 5712464]
[paragraph, [643.0, 473.0, 569.0, 36.0], IdkxJrUrhl, 5712464]
[paragraph, [643.0, 509.0, 569.0, 36.0], IdkxJrUrhl, 5712464]
[paragraph, [643.0, 545.0, 569.0, 36.0], IdkxJrUrhl, 5712464]
[paragraph, [643.0, 581.0, 569.0, 36.0], IdkxJrUrhl, 5712464]
[paragraph, [643.0, 617.0, 569.0, 36.0], IdkxJrUrhl, 5712464]
[paragraph, [57.0, 485.0, 576.0, 36.0], PiiTSsOiwY, 5712464]
[paragraph, [57.0, 521.0, 576.0, 36.0], PiiTSsOiwY, 5712464]
[paragraph, [57.0, 557.0, 576.0, 36.0], PiiTSsOiwY, 5712464]
[paragraph, [57.0, 593.0, 576.0, 36.0], PiiTSsOiwY, 5712464]
[paragraph, [57.0, 629.0, 576.0, 36.0], PiiTSsOiwY, 5712464]
[paragraph, [57.0, 665.0, 576.0, 36.0], PiiTSsOiwY, 5712464]
[paragraph, [57.0, 701.0, 576.0, 36.0], PiiTSsOiwY, 5712464]
[paragraph, [57.0, 737.0, 576.0, 36.0], PiiTSsOiwY, 5712464]
[paragraph, [641.0, 689.0, 573.0, 36.0], shoonya_0s9CSA093W2R2R, 5712464]
[paragraph, [641.0, 725.0, 573.0, 36.0], shoonya_0s9CSA093W2R2R, 5712464]
[paragraph, [641.0, 761.0, 573.0, 36.0], shoonya_0s9CSA093W2R2R, 5712464]
[paragraph, [641.0, 797.0, 573.0, 36.0], shoonya_0s9CSA093W2R2R, 5712464]
[paragraph, [641.0, 833.0, 573.0, 36.0], shoonya_0s9CSA093W2R2R, 5712464]
[paragraph, [641.0, 869.0, 573.0, 36.0], shoonya_0s9CSA093W2R2R, 5712464]
[paragraph, [61.0, 781.0, 570.0, 36.0], shoonya_6sEUZEXPMYFLOG, 5712464]
[paragraph, [61.0, 817.0, 570.0, 36.0], shoonya_6sEUZEXPMYFLOG, 5712464]
[paragraph, [61.0, 853.0, 570.0, 36.0], shoonya_6sEUZEXPMYFLOG, 5712464]
[paragraph, [61.0, 889.0, 570.0, 36.0], shoonya_6sEUZEXPMYFLOG, 5712464]
[paragraph, [61.0, 925.0, 570.0, 36.0], shoonya_6sEUZEXPMYFLOG, 5712464]
[paragraph, [61.0, 961.0, 570.0, 36.0], shoonya_6sEUZEXPMYFLOG, 5712464]
[section-title, [646.0, 933.0, 563.0, 49.5], xtZiP0Ud_G, 5712464]
[paragraph, [641.0, 1002.0, 582.0, 36.0], shoonya_1sVOA08FUHM9PW, 5712464]
[paragraph, [641.0, 1038.0, 582.0, 36.0], shoonya_1sVOA08FUHM9PW, 5712464]
[paragraph, [641.0, 1074.0, 582.0, 36.0], shoonya_1sVOA08FUHM9PW, 5712464]
[paragraph, [641.0, 1110.0, 582.0, 36.0], shoonya_1sVOA08FUHM9PW, 5712464]
[paragraph, [641.0, 1146.0, 582.0, 36.0], shoonya_1sVOA08FUHM9PW, 5712464]
[paragraph, [641.0, 1182.0, 582.0, 36.0], shoonya_1sVOA08FUHM9PW, 5712464]
[paragraph, [641.0, 1218.0, 582.0, 36.0], shoonya_1sVOA08FUHM9PW, 5712464]
[paragraph, [641.0, 1254.0, 582.0, 36.0], shoonya_1sVOA08FUHM9PW, 5712464]
[paragraph, [641.0, 1290.0, 582.0, 36.0], shoonya_1sVOA08FUHM9PW, 5712464]
[paragraph, [641.0, 1326.0, 582.0, 36.0], shoonya_1sVOA08FUHM9PW, 5712464]
[paragraph, [49.0, 1027.0, 582.0, 36.0], h-GqZE0yUK, 5712464]
[paragraph, [49.0, 1063.0, 582.0, 36.0], h-GqZE0yUK, 5712464]
[paragraph, [49.0, 1099.0, 582.0, 36.0], h-GqZE0yUK, 5712464]
[paragraph, [49.0, 1135.0, 582.0, 36.0], h-GqZE0yUK, 5712464]
[paragraph, [49.0, 1171.0, 582.0, 36.0], h-GqZE0yUK, 5712464]
