[1763, 1275]
[paragraph, [660.0, 31.0, 613.0, 36.0], shoonya_5sC9PUKBAS5LGO, 5713199]
[paragraph, [660.0, 67.0, 613.0, 36.0], shoonya_5sC9PUKBAS5LGO, 5713199]
[paragraph, [660.0, 103.0, 613.0, 36.0], shoonya_5sC9PUKBAS5LGO, 5713199]
[paragraph, [660.0, 139.0, 613.0, 36.0], shoonya_5sC9PUKBAS5LGO, 5713199]
[paragraph, [660.0, 175.0, 613.0, 36.0], shoonya_5sC9PUKBAS5LGO, 5713199]
[paragraph, [46.0, 37.0, 613.0, 36.0], shoonya_3sJS464C8W59KR, 5713199]
[paragraph, [46.0, 73.0, 613.0, 36.0], shoonya_3sJS464C8W59KR, 5713199]
[paragraph, [46.0, 109.0, 613.0, 36.0], shoonya_3sJS464C8W59KR, 5713199]
[paragraph, [46.0, 145.0, 613.0, 36.0], shoonya_3sJS464C8W59KR, 5713199]
[paragraph, [46.0, 181.0, 613.0, 36.0], shoonya_3sJS464C8W59KR, 5713199]
[paragraph, [46.0, 217.0, 613.0, 36.0], shoonya_3sJS464C8W59KR, 5713199]
[paragraph, [46.0, 253.0, 613.0, 36.0], shoonya_3sJS464C8W59KR, 5713199]
[paragraph, [46.0, 289.0, 613.0, 36.0], shoonya_3sJS464C8W59KR, 5713199]
[paragraph, [46.0, 325.0, 613.0, 36.0], shoonya_3sJS464C8W59KR, 5713199]
[paragraph, [46.0, 361.0, 613.0, 36.0], shoonya_3sJS464C8W59KR, 5713199]
[paragraph, [659.0, 218.0, 606.0, 36.0], w_HnUNBwuT, 5713199]
[paragraph, [659.0, 254.0, 606.0, 36.0], w_HnUNBwuT, 5713199]
[paragraph, [659.0, 290.0, 606.0, 36.0], w_HnUNBwuT, 5713199]
[paragraph, [659.0, 326.0, 606.0, 36.0], w_HnUNBwuT, 5713199]
[paragraph, [659.0, 362.0, 606.0, 36.0], w_HnUNBwuT, 5713199]
[paragraph, [44.0, 422.0, 614.0, 36.0], shoonya_2sMR8NK7D41LN9, 5713199]
[paragraph, [44.0, 458.0, 614.0, 36.0], shoonya_2sMR8NK7D41LN9, 5713199]
[paragraph, [44.0, 494.0, 614.0, 36.0], shoonya_2sMR8NK7D41LN9, 5713199]
[paragraph, [44.0, 530.0, 614.0, 36.0], shoonya_2sMR8NK7D41LN9, 5713199]
[paragraph, [44.0, 566.0, 614.0, 36.0], shoonya_2sMR8NK7D41LN9, 5713199]
[paragraph, [44.0, 602.0, 614.0, 36.0], shoonya_2sMR8NK7D41LN9, 5713199]
[paragraph, [44.0, 638.0, 614.0, 36.0], shoonya_2sMR8NK7D41LN9, 5713199]
[paragraph, [44.0, 674.0, 614.0, 36.0], shoonya_2sMR8NK7D41LN9, 5713199]
[paragraph, [44.0, 710.0, 614.0, 36.0], shoonya_2sMR8NK7D41LN9, 5713199]
[paragraph, [44.0, 746.0, 614.0, 36.0], shoonya_2sMR8NK7D41LN9, 5713199]
[paragraph, [657.0, 424.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 460.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 496.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 532.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 568.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 604.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 640.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 676.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 712.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 748.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 784.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 820.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 856.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 892.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 928.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 964.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 1000.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 1036.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 1072.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 1108.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 1144.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 1180.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 1216.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 1252.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 1288.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 1324.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 1360.0, 617.0, 36.0], shoonya_1sN7KH3PV68UF5, 5713199]
[paragraph, [657.0, 1407.0, 614.0, 36.0], shoonya_0s13F9DVKTI2QR, 5713199]
[paragraph, [657.0, 1443.0, 614.0, 36.0], shoonya_0s13F9DVKTI2QR, 5713199]
[paragraph, [657.0, 1479.0, 614.0, 36.0], shoonya_0s13F9DVKTI2QR, 5713199]
[paragraph, [657.0, 1515.0, 614.0, 36.0], shoonya_0s13F9DVKTI2QR, 5713199]
[paragraph, [657.0, 1551.0, 614.0, 36.0], shoonya_0s13F9DVKTI2QR, 5713199]
[paragraph, [657.0, 1587.0, 614.0, 36.0], shoonya_0s13F9DVKTI2QR, 5713199]
[paragraph, [657.0, 1623.0, 614.0, 36.0], shoonya_0s13F9DVKTI2QR, 5713199]
