[792, 567]
[folio, [13.0, 17.0, 191.0, 18.0], bQeMLPhdFK, 5713016]
[section-title, [124.0, 66.0, 303.0, 30.0], shoonya_1sX9JAPALQWSLA, 5713016]
[section-title, [124.0, 96.0, 303.0, 30.0], shoonya_1sX9JAPALQWSLA, 5713016]
[section-title, [124.0, 126.0, 303.0, 30.0], shoonya_1sX9JAPALQWSLA, 5713016]
[figure-caption, [16.0, 190.0, 130.0, 18.0], h3OCLUUAGd, 5713016]
[figure-caption, [16.0, 208.0, 130.0, 18.0], h3OCLUUAGd, 5713016]
[figure-caption, [16.0, 226.0, 130.0, 18.0], h3OCLUUAGd, 5713016]
[figure-caption, [16.0, 244.0, 130.0, 18.0], h3OCLUUAGd, 5713016]
[figure-caption, [16.0, 262.0, 130.0, 18.0], h3OCLUUAGd, 5713016]
[figure-caption, [16.0, 280.0, 130.0, 18.0], h3OCLUUAGd, 5713016]
[figure-caption, [16.0, 298.0, 130.0, 18.0], h3OCLUUAGd, 5713016]
[figure-caption, [16.0, 316.0, 130.0, 18.0], h3OCLUUAGd, 5713016]
[figure-caption, [16.0, 334.0, 130.0, 18.0], h3OCLUUAGd, 5713016]
[figure-caption, [16.0, 352.0, 130.0, 18.0], h3OCLUUAGd, 5713016]
[figure-caption, [16.0, 370.0, 130.0, 18.0], h3OCLUUAGd, 5713016]
[figure-caption, [16.0, 388.0, 130.0, 18.0], h3OCLUUAGd, 5713016]
[figure-caption, [16.0, 406.0, 130.0, 18.0], h3OCLUUAGd, 5713016]
[paragraph, [319.0, 475.0, 226.0, 18.0], shoonya_3sIL2T018N3UAX, 5713016]
[paragraph, [319.0, 493.0, 226.0, 18.0], shoonya_3sIL2T018N3UAX, 5713016]
[paragraph, [319.0, 511.0, 226.0, 18.0], shoonya_3sIL2T018N3UAX, 5713016]
[paragraph, [319.0, 529.0, 226.0, 18.0], shoonya_3sIL2T018N3UAX, 5713016]
[paragraph, [319.0, 547.0, 226.0, 18.0], shoonya_3sIL2T018N3UAX, 5713016]
[paragraph, [319.0, 565.0, 226.0, 18.0], shoonya_3sIL2T018N3UAX, 5713016]
[paragraph, [319.0, 583.0, 226.0, 18.0], shoonya_3sIL2T018N3UAX, 5713016]
[paragraph, [12.0, 478.0, 294.0, 18.0], shoonya_4s3RYJS29BWYHO, 5713016]
[paragraph, [12.0, 496.0, 294.0, 18.0], shoonya_4s3RYJS29BWYHO, 5713016]
[paragraph, [12.0, 514.0, 294.0, 18.0], shoonya_4s3RYJS29BWYHO, 5713016]
[paragraph, [12.0, 532.0, 294.0, 18.0], shoonya_4s3RYJS29BWYHO, 5713016]
[paragraph, [12.0, 550.0, 294.0, 18.0], shoonya_4s3RYJS29BWYHO, 5713016]
[paragraph, [12.0, 568.0, 294.0, 18.0], shoonya_4s3RYJS29BWYHO, 5713016]
[paragraph, [12.0, 586.0, 294.0, 18.0], shoonya_4s3RYJS29BWYHO, 5713016]
[paragraph, [12.0, 604.0, 294.0, 18.0], shoonya_4s3RYJS29BWYHO, 5713016]
[paragraph, [12.0, 622.0, 294.0, 18.0], shoonya_4s3RYJS29BWYHO, 5713016]
[paragraph, [12.0, 640.0, 294.0, 18.0], shoonya_4s3RYJS29BWYHO, 5713016]
[paragraph, [12.0, 658.0, 294.0, 18.0], shoonya_4s3RYJS29BWYHO, 5713016]
[paragraph, [12.0, 676.0, 294.0, 18.0], shoonya_4s3RYJS29BWYHO, 5713016]
[paragraph, [12.0, 694.0, 294.0, 18.0], shoonya_4s3RYJS29BWYHO, 5713016]
[paragraph, [12.0, 712.0, 294.0, 18.0], shoonya_4s3RYJS29BWYHO, 5713016]
[paragraph, [322.0, 613.0, 222.0, 18.0], shoonya_5sB9CSB04G8ONZ, 5713016]
[paragraph, [322.0, 631.0, 222.0, 18.0], shoonya_5sB9CSB04G8ONZ, 5713016]
[paragraph, [322.0, 649.0, 222.0, 18.0], shoonya_5sB9CSB04G8ONZ, 5713016]
[paragraph, [322.0, 667.0, 222.0, 18.0], shoonya_5sB9CSB04G8ONZ, 5713016]
[paragraph, [322.0, 685.0, 222.0, 18.0], shoonya_5sB9CSB04G8ONZ, 5713016]
[paragraph, [322.0, 703.0, 222.0, 18.0], shoonya_5sB9CSB04G8ONZ, 5713016]
[paragraph, [322.0, 721.0, 222.0, 18.0], shoonya_5sB9CSB04G8ONZ, 5713016]
[folio, [41.0, 748.0, 103.0, 18.0], MDL1-aBbnZ, 5713016]
