[681, 497]
[paragraph, [246.0, 22.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 40.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 58.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 76.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 94.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 112.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 130.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 148.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 166.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 184.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 202.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 220.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 238.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 256.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 274.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 292.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 310.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 328.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 346.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 364.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 382.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 400.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [246.0, 418.0, 229.0, 18.0], shoonya_2sJSNV9KYB9UKF, 5712446]
[paragraph, [27.0, 25.0, 223.0, 18.0], shoonya_5sH3Q7O0AVBSVK, 5712446]
[paragraph, [27.0, 43.0, 223.0, 18.0], shoonya_5sH3Q7O0AVBSVK, 5712446]
[paragraph, [27.0, 61.0, 223.0, 18.0], shoonya_5sH3Q7O0AVBSVK, 5712446]
[paragraph, [27.0, 79.0, 223.0, 18.0], shoonya_5sH3Q7O0AVBSVK, 5712446]
[paragraph, [27.0, 97.0, 223.0, 18.0], shoonya_5sH3Q7O0AVBSVK, 5712446]
[paragraph, [21.0, 145.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [21.0, 163.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [21.0, 181.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [21.0, 199.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [21.0, 217.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [21.0, 235.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [21.0, 253.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [21.0, 271.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [21.0, 289.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [21.0, 307.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [21.0, 325.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [21.0, 343.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [21.0, 361.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [21.0, 379.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [21.0, 397.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [21.0, 415.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [21.0, 433.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [21.0, 451.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [21.0, 469.0, 230.0, 18.0], shoonya_0sJAG6T1GGE51Y, 5712446]
[paragraph, [253.0, 465.0, 224.0, 18.0], shoonya_3sBW0D98EF9NVS, 5712446]
[paragraph, [253.0, 483.0, 224.0, 18.0], shoonya_3sBW0D98EF9NVS, 5712446]
[paragraph, [253.0, 501.0, 224.0, 18.0], shoonya_3sBW0D98EF9NVS, 5712446]
[paragraph, [253.0, 519.0, 224.0, 18.0], shoonya_3sBW0D98EF9NVS, 5712446]
[paragraph, [253.0, 537.0, 224.0, 18.0], shoonya_3sBW0D98EF9NVS, 5712446]
[paragraph, [253.0, 555.0, 224.0, 18.0], shoonya_3sBW0D98EF9NVS, 5712446]
[paragraph, [253.0, 573.0, 224.0, 18.0], shoonya_3sBW0D98EF9NVS, 5712446]
[paragraph, [253.0, 591.0, 224.0, 18.0], shoonya_3sBW0D98EF9NVS, 5712446]
[paragraph, [253.0, 609.0, 224.0, 18.0], shoonya_3sBW0D98EF9NVS, 5712446]
[paragraph, [253.0, 627.0, 224.0, 18.0], shoonya_3sBW0D98EF9NVS, 5712446]
[paragraph, [23.0, 508.0, 227.0, 18.0], shoonya_1sF7LGFD3RBN8N, 5712446]
[paragraph, [23.0, 526.0, 227.0, 18.0], shoonya_1sF7LGFD3RBN8N, 5712446]
[paragraph, [23.0, 544.0, 227.0, 18.0], shoonya_1sF7LGFD3RBN8N, 5712446]
[paragraph, [23.0, 562.0, 227.0, 18.0], shoonya_1sF7LGFD3RBN8N, 5712446]
[paragraph, [23.0, 580.0, 227.0, 18.0], shoonya_1sF7LGFD3RBN8N, 5712446]
[paragraph, [23.0, 598.0, 227.0, 18.0], shoonya_1sF7LGFD3RBN8N, 5712446]
[paragraph, [23.0, 616.0, 227.0, 18.0], shoonya_1sF7LGFD3RBN8N, 5712446]
[paragraph, [23.0, 634.0, 227.0, 18.0], shoonya_1sF7LGFD3RBN8N, 5712446]
[folio, [419.0, 650.0, 58.0, 18.0], m7VdsURMxL, 5712446]
[folio, [193.0, 651.0, 108.0, 18.0], EnV7QyLg4e, 5712446]
