[1518, 1075]
[folio, [547.0, 112.0, 88.0, 36.0], shoonya_9sOPT3CB05SIO0, 5722780]
[paragraph, [111.0, 171.0, 432.0, 36.0], iRGnHFbwPO, 5722780]
[paragraph, [111.0, 207.0, 432.0, 36.0], iRGnHFbwPO, 5722780]
[paragraph, [559.0, 174.0, 427.0, 36.0], shoonya_4sZ0OSP3UAQ0IM, 5722780]
[paragraph, [559.0, 210.0, 427.0, 36.0], shoonya_4sZ0OSP3UAQ0IM, 5722780]
[paragraph, [559.0, 246.0, 427.0, 36.0], shoonya_4sZ0OSP3UAQ0IM, 5722780]
[paragraph, [114.0, 284.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 320.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 356.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 392.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 428.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 464.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 500.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 536.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 572.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 608.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 644.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 680.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 716.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 752.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 788.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 824.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 860.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 896.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 932.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 968.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [114.0, 1004.0, 427.0, 36.0], shoonya_1s42CYQBLP2P22, 5722780]
[paragraph, [558.0, 286.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 322.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 358.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 394.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 430.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 466.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 502.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 538.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 574.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 610.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 646.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 682.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 718.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 754.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 790.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 826.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 862.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 898.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 934.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 970.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 1006.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 1042.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 1078.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 1114.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [558.0, 1150.0, 426.0, 36.0], shoonya_3sUA9VD500KA7A, 5722780]
[paragraph, [115.0, 1093.0, 426.0, 36.0], shoonya_0s9M0PX9Y5QLT3, 5722780]
[paragraph, [115.0, 1129.0, 426.0, 36.0], shoonya_0s9M0PX9Y5QLT3, 5722780]
[paragraph, [115.0, 1165.0, 426.0, 36.0], shoonya_0s9M0PX9Y5QLT3, 5722780]
[paragraph, [115.0, 1201.0, 426.0, 36.0], shoonya_0s9M0PX9Y5QLT3, 5722780]
[paragraph, [115.0, 1237.0, 426.0, 36.0], shoonya_0s9M0PX9Y5QLT3, 5722780]
[paragraph, [115.0, 1273.0, 426.0, 36.0], shoonya_0s9M0PX9Y5QLT3, 5722780]
[paragraph, [558.0, 1222.0, 428.0, 36.0], shoonya_6sF7YJMQ80PZDC, 5722780]
[paragraph, [558.0, 1258.0, 428.0, 36.0], shoonya_6sF7YJMQ80PZDC, 5722780]
[folio, [189.0, 1385.0, 422.0, 36.0], shoonya_5sFGW99X9P8MTY, 5722780]
