[1518, 1075]
[folio, [550.0, 116.0, 73.0, 36.0], 3h09U7OfZE, 5722341]
[paragraph, [554.0, 165.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 201.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 237.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 273.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 309.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 345.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 381.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 417.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 453.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 489.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 525.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 561.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 597.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 633.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 669.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 705.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 741.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 777.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 813.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 849.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 885.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 921.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 957.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 993.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 1029.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 1065.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 1101.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 1137.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 1173.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [554.0, 1209.0, 436.0, 36.0], shoonya_2sSJ4734S9UT8X, 5722341]
[paragraph, [107.0, 173.0, 432.0, 36.0], shoonya_0sBS6ZZKP7CV9D, 5722341]
[paragraph, [107.0, 209.0, 432.0, 36.0], shoonya_0sBS6ZZKP7CV9D, 5722341]
[paragraph, [107.0, 245.0, 432.0, 36.0], shoonya_0sBS6ZZKP7CV9D, 5722341]
[paragraph, [107.0, 281.0, 432.0, 36.0], shoonya_0sBS6ZZKP7CV9D, 5722341]
[paragraph, [107.0, 317.0, 432.0, 36.0], shoonya_0sBS6ZZKP7CV9D, 5722341]
[paragraph, [107.0, 353.0, 432.0, 36.0], shoonya_0sBS6ZZKP7CV9D, 5722341]
[paragraph, [107.0, 389.0, 432.0, 36.0], shoonya_0sBS6ZZKP7CV9D, 5722341]
[paragraph, [107.0, 425.0, 432.0, 36.0], shoonya_0sBS6ZZKP7CV9D, 5722341]
[paragraph, [107.0, 470.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 506.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 542.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 578.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 614.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 650.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 686.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 722.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 758.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 794.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 830.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 866.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 902.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 938.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 974.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 1010.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 1046.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 1082.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 1118.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 1154.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 1190.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
[paragraph, [107.0, 1226.0, 438.0, 36.0], shoonya_1sMHR04QSS5SPW, 5722341]
