[1650, 1275]
[headline, [347.0, 299.0, 563.0, 37.5], shoonya_1sNTUXFKSCOIG2, 5722395]
[headline, [347.0, 336.5, 563.0, 37.5], shoonya_1sNTUXFKSCOIG2, 5722395]
[headline, [347.0, 374.0, 563.0, 37.5], shoonya_1sNTUXFKSCOIG2, 5722395]
[headline, [347.0, 411.5, 563.0, 37.5], shoonya_1sNTUXFKSCOIG2, 5722395]
[sub-headline, [243.0, 513.0, 808.0, 36.0], HlvwJJksHU, 5722395]
[subsub-headline, [307.0, 578.0, 686.0, 43.5], Vcjq3uHCun, 5722395]
[subsub-headline, [307.0, 621.5, 686.0, 43.5], Vcjq3uHCun, 5722395]
[paragraph, [199.0, 691.0, 899.0, 36.0], 2bBtOcJ7AZ, 5722395]
[paragraph, [199.0, 727.0, 899.0, 36.0], 2bBtOcJ7AZ, 5722395]
[paragraph, [199.0, 763.0, 899.0, 36.0], 2bBtOcJ7AZ, 5722395]
[paragraph, [199.0, 799.0, 899.0, 36.0], 2bBtOcJ7AZ, 5722395]
[paragraph, [199.0, 835.0, 899.0, 36.0], 2bBtOcJ7AZ, 5722395]
[paragraph, [199.0, 871.0, 899.0, 36.0], 2bBtOcJ7AZ, 5722395]
[paragraph, [199.0, 907.0, 899.0, 36.0], 2bBtOcJ7AZ, 5722395]
[paragraph, [209.0, 966.0, 878.0, 36.0], shoonya_3sPUSHMGZMB8M0, 5722395]
[paragraph, [209.0, 1002.0, 878.0, 36.0], shoonya_3sPUSHMGZMB8M0, 5722395]
[paragraph, [209.0, 1038.0, 878.0, 36.0], shoonya_3sPUSHMGZMB8M0, 5722395]
[contact-info, [659.0, 1390.0, 444.0, 36.0], vAmAvN4nxI, 5722395]
[contact-info, [659.0, 1426.0, 444.0, 36.0], vAmAvN4nxI, 5722395]
[contact-info, [164.0, 1393.0, 474.0, 36.0], 7tw3G0ZmXZ, 5722395]
[contact-info, [164.0, 1429.0, 474.0, 36.0], 7tw3G0ZmXZ, 5722395]
[contact-info, [408.0, 1488.0, 500.0, 36.0], -eX832gq0L, 5722395]
[folio, [130.0, 1562.0, 277.0, 36.0], shoonya_2sYBWHJFVUV1W0, 5722395]
