[792, 612]
[paragraph, [227.0, 88.0, 152.0, 18.0], uo51tejJ4P, 6516293]
[paragraph, [227.0, 106.0, 152.0, 18.0], uo51tejJ4P, 6516293]
[paragraph, [227.0, 124.0, 152.0, 18.0], uo51tejJ4P, 6516293]
[paragraph, [227.0, 142.0, 152.0, 18.0], uo51tejJ4P, 6516293]
[paragraph, [227.0, 160.0, 152.0, 18.0], uo51tejJ4P, 6516293]
[ordered-list, [396.0, 88.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 106.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 124.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 142.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 160.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 178.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 196.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 214.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 232.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 250.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 268.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 286.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 304.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 322.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 340.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 358.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 376.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 394.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 412.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 430.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 448.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 466.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 484.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 502.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 520.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 538.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 556.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 574.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 592.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 610.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 628.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 646.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[ordered-list, [396.0, 664.0, 168.0, 18.0], 3Td2lMAk7k, 6516293]
[paragraph, [52.0, 90.0, 152.0, 18.0], JK4t7rbEGj, 6516293]
[paragraph, [52.0, 108.0, 152.0, 18.0], JK4t7rbEGj, 6516293]
[paragraph, [49.0, 134.0, 153.0, 18.0], 39rhmGZtTU, 6516293]
[paragraph, [49.0, 152.0, 153.0, 18.0], 39rhmGZtTU, 6516293]
[paragraph, [49.0, 170.0, 153.0, 18.0], 39rhmGZtTU, 6516293]
[paragraph, [228.0, 190.0, 151.0, 18.0], kvxHb6qSac, 6516293]
[paragraph, [228.0, 208.0, 151.0, 18.0], kvxHb6qSac, 6516293]
[paragraph, [228.0, 226.0, 151.0, 18.0], kvxHb6qSac, 6516293]
[paragraph, [228.0, 244.0, 151.0, 18.0], kvxHb6qSac, 6516293]
[paragraph, [228.0, 262.0, 151.0, 18.0], kvxHb6qSac, 6516293]
[paragraph, [228.0, 280.0, 151.0, 18.0], kvxHb6qSac, 6516293]
[paragraph, [48.0, 204.0, 151.0, 18.0], _vEtMoighd, 6516293]
[paragraph, [48.0, 222.0, 151.0, 18.0], _vEtMoighd, 6516293]
[paragraph, [48.0, 240.0, 151.0, 18.0], _vEtMoighd, 6516293]
[paragraph, [48.0, 276.0, 151.0, 18.0], Ob2DADLKyQ, 6516293]
[paragraph, [48.0, 294.0, 151.0, 18.0], Ob2DADLKyQ, 6516293]
[paragraph, [48.0, 312.0, 151.0, 18.0], Ob2DADLKyQ, 6516293]
[paragraph, [228.0, 301.0, 150.0, 18.0], 1PXMkOB4oc, 6516293]
[paragraph, [228.0, 319.0, 150.0, 18.0], 1PXMkOB4oc, 6516293]
[paragraph, [228.0, 337.0, 150.0, 18.0], 1PXMkOB4oc, 6516293]
[paragraph, [228.0, 355.0, 150.0, 18.0], 1PXMkOB4oc, 6516293]
[paragraph, [228.0, 373.0, 150.0, 18.0], 1PXMkOB4oc, 6516293]
[paragraph, [228.0, 391.0, 150.0, 18.0], 1PXMkOB4oc, 6516293]
[paragraph, [48.0, 346.0, 153.0, 18.0], SGZ-VclOJP, 6516293]
[paragraph, [48.0, 364.0, 153.0, 18.0], SGZ-VclOJP, 6516293]
[paragraph, [48.0, 382.0, 153.0, 18.0], SGZ-VclOJP, 6516293]
[paragraph, [48.0, 400.0, 153.0, 18.0], SGZ-VclOJP, 6516293]
[paragraph, [48.0, 418.0, 153.0, 18.0], SGZ-VclOJP, 6516293]
[paragraph, [48.0, 436.0, 153.0, 18.0], SGZ-VclOJP, 6516293]
[paragraph, [48.0, 454.0, 153.0, 18.0], SGZ-VclOJP, 6516293]
[paragraph, [48.0, 472.0, 153.0, 18.0], SGZ-VclOJP, 6516293]
[paragraph, [48.0, 490.0, 153.0, 18.0], SGZ-VclOJP, 6516293]
[paragraph, [48.0, 508.0, 153.0, 18.0], SGZ-VclOJP, 6516293]
[paragraph, [48.0, 526.0, 153.0, 18.0], SGZ-VclOJP, 6516293]
[paragraph, [48.0, 544.0, 153.0, 18.0], SGZ-VclOJP, 6516293]
[paragraph, [226.0, 418.0, 152.0, 18.0], U4W218lI-4, 6516293]
[paragraph, [226.0, 436.0, 152.0, 18.0], U4W218lI-4, 6516293]
[paragraph, [226.0, 454.0, 152.0, 18.0], U4W218lI-4, 6516293]
[paragraph, [229.0, 488.0, 148.0, 18.0], lkoDJkNRug, 6516293]
[ordered-list, [227.0, 517.0, 154.0, 18.0], W1HEdcVprY, 6516293]
[ordered-list, [227.0, 535.0, 154.0, 18.0], W1HEdcVprY, 6516293]
[ordered-list, [227.0, 553.0, 154.0, 18.0], W1HEdcVprY, 6516293]
[ordered-list, [227.0, 571.0, 154.0, 18.0], W1HEdcVprY, 6516293]
[ordered-list, [227.0, 589.0, 154.0, 18.0], W1HEdcVprY, 6516293]
[ordered-list, [227.0, 607.0, 154.0, 18.0], W1HEdcVprY, 6516293]
[ordered-list, [227.0, 625.0, 154.0, 18.0], W1HEdcVprY, 6516293]
[ordered-list, [227.0, 643.0, 154.0, 18.0], W1HEdcVprY, 6516293]
[ordered-list, [227.0, 661.0, 154.0, 18.0], W1HEdcVprY, 6516293]
[paragraph, [46.0, 575.0, 153.0, 18.0], 4U9y7zg_Ac, 6516293]
[paragraph, [46.0, 593.0, 153.0, 18.0], 4U9y7zg_Ac, 6516293]
[paragraph, [46.0, 611.0, 153.0, 18.0], 4U9y7zg_Ac, 6516293]
[paragraph, [46.0, 629.0, 153.0, 18.0], 4U9y7zg_Ac, 6516293]
[paragraph, [49.0, 657.0, 153.0, 18.0], atcPFUg2-p, 6516293]
[folio, [67.0, 698.0, 152.0, 18.0], FcyNskEcay, 6516293]
