[792, 612]
[paragraph, [232.0, 4.0, 97.0, 18.0], shoonya_0sWCR8WWH79BF4, 6515274]
[paragraph, [232.0, 22.0, 97.0, 18.0], shoonya_0sWCR8WWH79BF4, 6515274]
[paragraph, [232.0, 40.0, 97.0, 18.0], shoonya_0sWCR8WWH79BF4, 6515274]
[paragraph, [232.0, 58.0, 97.0, 18.0], shoonya_0sWCR8WWH79BF4, 6515274]
[paragraph, [232.0, 76.0, 97.0, 18.0], shoonya_0sWCR8WWH79BF4, 6515274]
[paragraph, [232.0, 94.0, 97.0, 18.0], shoonya_0sWCR8WWH79BF4, 6515274]
[paragraph, [232.0, 112.0, 97.0, 18.0], shoonya_0sWCR8WWH79BF4, 6515274]
[paragraph, [232.0, 130.0, 97.0, 18.0], shoonya_0sWCR8WWH79BF4, 6515274]
[paragraph, [232.0, 148.0, 97.0, 18.0], shoonya_0sWCR8WWH79BF4, 6515274]
[paragraph, [232.0, 166.0, 97.0, 18.0], shoonya_0sWCR8WWH79BF4, 6515274]
[paragraph, [232.0, 184.0, 97.0, 18.0], shoonya_0sWCR8WWH79BF4, 6515274]
[paragraph, [232.0, 202.0, 97.0, 18.0], shoonya_0sWCR8WWH79BF4, 6515274]
[paragraph, [232.0, 220.0, 97.0, 18.0], shoonya_0sWCR8WWH79BF4, 6515274]
[paragraph, [232.0, 238.0, 97.0, 18.0], shoonya_0sWCR8WWH79BF4, 6515274]
[paragraph, [232.0, 256.0, 97.0, 18.0], shoonya_0sWCR8WWH79BF4, 6515274]
[paragraph, [232.0, 274.0, 97.0, 18.0], shoonya_0sWCR8WWH79BF4, 6515274]
[paragraph, [78.0, 22.0, 145.0, 18.0], shoonya_12sB4HFINYESL2, 6515274]
[paragraph, [78.0, 52.0, 145.0, 18.0], umAnKAvkbS, 6515274]
[paragraph, [78.0, 81.0, 146.0, 18.0], shoonya_16sOIK3KD7O600, 6515274]
[paragraph, [78.0, 111.0, 147.0, 18.0], shoonya_17s98AYFUTAD6B, 6515274]
[paragraph, [78.0, 140.0, 146.0, 18.0], shoonya_14sRK4PT33S9Y6, 6515274]
[paragraph, [78.0, 169.0, 146.0, 18.0], shoonya_4s4KHSD18TD96Y, 6515274]
[paragraph, [78.0, 187.0, 146.0, 18.0], shoonya_4s4KHSD18TD96Y, 6515274]
[paragraph, [78.0, 205.0, 146.0, 18.0], shoonya_4s4KHSD18TD96Y, 6515274]
[paragraph, [78.0, 223.0, 146.0, 18.0], shoonya_4s4KHSD18TD96Y, 6515274]
[paragraph, [78.0, 241.0, 146.0, 18.0], shoonya_4s4KHSD18TD96Y, 6515274]
[paragraph, [78.0, 259.0, 146.0, 18.0], shoonya_4s4KHSD18TD96Y, 6515274]
[paragraph, [78.0, 277.0, 146.0, 18.0], shoonya_4s4KHSD18TD96Y, 6515274]
[paragraph, [78.0, 303.0, 145.0, 18.0], shoonya_7s7F57CK1OXFF2, 6515274]
[paragraph, [78.0, 321.0, 145.0, 18.0], shoonya_7s7F57CK1OXFF2, 6515274]
[paragraph, [78.0, 339.0, 145.0, 18.0], shoonya_7s7F57CK1OXFF2, 6515274]
[paragraph, [387.0, 319.0, 147.0, 18.0], shoonya_3sZ0A9JO3H63G6, 6515274]
[paragraph, [387.0, 337.0, 147.0, 18.0], shoonya_3sZ0A9JO3H63G6, 6515274]
[paragraph, [387.0, 355.0, 147.0, 18.0], shoonya_3sZ0A9JO3H63G6, 6515274]
[paragraph, [387.0, 373.0, 147.0, 18.0], shoonya_3sZ0A9JO3H63G6, 6515274]
[paragraph, [387.0, 391.0, 147.0, 18.0], shoonya_3sZ0A9JO3H63G6, 6515274]
[paragraph, [387.0, 409.0, 147.0, 18.0], shoonya_3sZ0A9JO3H63G6, 6515274]
[paragraph, [387.0, 427.0, 147.0, 18.0], shoonya_3sZ0A9JO3H63G6, 6515274]
[paragraph, [233.0, 321.0, 147.0, 18.0], oXY8wRkX4_, 6515274]
[paragraph, [232.0, 350.0, 151.0, 18.0], shoonya_11s98RQZRRQKIL, 6515274]
[paragraph, [232.0, 368.0, 151.0, 18.0], shoonya_11s98RQZRRQKIL, 6515274]
[paragraph, [232.0, 386.0, 151.0, 18.0], shoonya_11s98RQZRRQKIL, 6515274]
