[576, 360]
[paragraph, [33.0, 135.0, 294.0, 18.0], ozP-cpWoWn, 6516225]
[paragraph, [33.0, 153.0, 294.0, 18.0], ozP-cpWoWn, 6516225]
[paragraph, [33.0, 171.0, 294.0, 18.0], ozP-cpWoWn, 6516225]
[figure-caption, [35.0, 318.0, 142.0, 18.0], FBNernhMBs, 6516225]
[figure-caption, [35.0, 336.0, 142.0, 18.0], FBNernhMBs, 6516225]
[figure-caption, [184.0, 318.0, 139.0, 18.0], WIY5wxHLNU, 6516225]
[figure-caption, [184.0, 336.0, 139.0, 18.0], WIY5wxHLNU, 6516225]
[figure-caption, [184.0, 354.0, 139.0, 18.0], WIY5wxHLNU, 6516225]
[paragraph, [27.0, 391.0, 297.0, 18.0], LJn135HAkD, 6516225]
[paragraph, [27.0, 409.0, 297.0, 18.0], LJn135HAkD, 6516225]
[paragraph, [27.0, 427.0, 297.0, 18.0], LJn135HAkD, 6516225]
[paragraph, [27.0, 445.0, 297.0, 18.0], LJn135HAkD, 6516225]
[paragraph, [29.0, 469.0, 295.0, 18.0], o5sAEdQFBx, 6516225]
[paragraph, [28.0, 501.0, 295.0, 18.0], R6VzLRjT83, 6516225]
