[2000, 1414]
[folio, [289.0, 67.0, 829.0, 36.0], a62T1ClCqi, 6514739]
[flag, [135.0, 144.0, 1139.0, 36.0], shoonya_10sUX1Z3TH7X0I, 6514739]
[flag, [135.0, 180.0, 1139.0, 36.0], shoonya_10sUX1Z3TH7X0I, 6514739]
[flag, [135.0, 216.0, 1139.0, 36.0], shoonya_10sUX1Z3TH7X0I, 6514739]
[flag, [135.0, 252.0, 1139.0, 36.0], shoonya_10sUX1Z3TH7X0I, 6514739]
[flag, [135.0, 288.0, 1139.0, 36.0], shoonya_10sUX1Z3TH7X0I, 6514739]
[flag, [135.0, 324.0, 1139.0, 36.0], shoonya_10sUX1Z3TH7X0I, 6514739]
[paragraph, [66.0, 1321.0, 412.0, 36.0], shoonya_4sCQK16YF5R7NI, 6514739]
[paragraph, [66.0, 1357.0, 412.0, 36.0], shoonya_4sCQK16YF5R7NI, 6514739]
[paragraph, [66.0, 1393.0, 412.0, 36.0], shoonya_4sCQK16YF5R7NI, 6514739]
[paragraph, [66.0, 1470.0, 410.0, 36.0], shoonya_8sGF3K31ODQI3C, 6514739]
[paragraph, [66.0, 1506.0, 410.0, 36.0], shoonya_8sGF3K31ODQI3C, 6514739]
[paragraph, [66.0, 1542.0, 410.0, 36.0], shoonya_8sGF3K31ODQI3C, 6514739]
[paragraph, [64.0, 1673.0, 850.0, 36.0], shoonya_9sFSA6X7TX3LFX, 6514739]
[paragraph, [64.0, 1709.0, 850.0, 36.0], shoonya_9sFSA6X7TX3LFX, 6514739]
[paragraph, [64.0, 1745.0, 850.0, 36.0], shoonya_9sFSA6X7TX3LFX, 6514739]
[paragraph, [64.0, 1781.0, 850.0, 36.0], shoonya_9sFSA6X7TX3LFX, 6514739]
[paragraph, [64.0, 1817.0, 850.0, 36.0], shoonya_9sFSA6X7TX3LFX, 6514739]
[paragraph, [64.0, 1853.0, 850.0, 36.0], shoonya_9sFSA6X7TX3LFX, 6514739]
[contact-info, [212.0, 1926.0, 530.0, 36.0], b1XWzLSWo4, 6514739]
[contact-info, [212.0, 1962.0, 530.0, 36.0], b1XWzLSWo4, 6514739]
